vol_id,page,sentence_id,ent_id,entity,entity_type,start_char,end_char
inu.30000007098001,2,0,0,SIT S UN **,ORG,0,11
inu.30000007098001,3,0,0,|,LOC,0,1
inu.30000007098001,7,0,0,1 R A Y U E,ORG,0,11
inu.30000007098001,7,0,1,Dintre el '+ tie,PER,44,60
inu.30000007098001,8,0,0,NOVELISTAS LATINOAMERICANOS,ORG,10,37
inu.30000007098001,8,0,1,Publicada en junio de 1963,ORG,54,80
inu.30000007098001,8,0,2,Publicada en enero de 1965,ORG,97,123
inu.30000007098001,9,0,0,RAYUELA JULIO CORTÁZAR,PER,0,22
inu.30000007098001,10,0,0,Curkan,LOC,6,12
inu.30000007098001,10,0,1,INDIANA,LOC,15,22
inu.30000007098001,10,1,0,Editorial Sudamericana Sociedad Anónima,ORG,8,47
inu.30000007098001,10,1,1,calle Humberto lo 545,LOC,49,70
inu.30000007098001,10,1,2,Buenos Aires,LOC,72,84
inu.30000007098001,11,0,0,TABLERO DE DIRECCIÓN,ORG,0,20
inu.30000007098001,11,1,0,Fin,MISC,222,225
inu.30000007098001,11,4,0,I,MISC,65,66
inu.30000007098001,12,0,0,ܙ,LOC,0,1
inu.30000007098001,13,1,0,Antiguo y,MISC,52,61
inu.30000007098001,13,1,1,Nuevo Testamento,MISC,62,78
inu.30000007098001,13,4,0,Madrid,LOC,0,6
inu.30000007098001,15,2,0,Perro de San Bernaldo,MISC,75,96
inu.30000007098001,17,0,0,Rien ne vous tue un homme comme d'être,ORG,17,55
inu.30000007098001,17,1,0,JACQUES VACHÉ,PER,0,13
inu.30000007098001,17,1,1,André Breton,PER,23,35
inu.30000007098001,19,0,0,1 Encontraría a la Maga,ORG,0,23
inu.30000007098001,19,1,0,rue de Seine,LOC,56,68
inu.30000007098001,19,1,1,Quai de Conti,LOC,88,101
inu.30000007098001,19,1,2,Pont des Arts,LOC,234,247
inu.30000007098001,19,2,0,Maga,MISC,107,111
inu.30000007098001,19,4,0,Marais,LOC,80,86
inu.30000007098001,19,4,1,Sébastopol,LOC,201,211
inu.30000007098001,19,5,0,Maga,MISC,44,48
inu.30000007098001,19,6,0,Maga,MISC,9,13
inu.30000007098001,19,6,1,París,LOC,144,149
inu.30000007098001,19,6,2,Braque,PER,193,199
inu.30000007098001,19,6,3,Ghirlandaio,PER,202,213
inu.30000007098001,19,6,4,Max Ernst,PER,216,225
inu.30000007098001,19,9,0,Maga,PER,3,7
inu.30000007098001,20,2,0,Maga,PER,26,30
inu.30000007098001,20,2,1,Parc Montsouris,LOC,112,127
inu.30000007098001,20,3,0,Place de la Concorde,LOC,45,65
inu.30000007098001,20,4,0,Maga,PER,175,179
inu.30000007098001,20,4,1,Joinville,PER,242,251
inu.30000007098001,20,10,0,Maga,PER,3,7
inu.30000007098001,20,11,0,Pont des Arts,LOC,24,37
inu.30000007098001,20,12,0,rue des Lombards,LOC,114,130
inu.30000007098001,21,0,0,Léonie,PER,17,23
inu.30000007098001,21,1,0,madame Léonie,PER,21,34
inu.30000007098001,21,2,0,Léonie,PER,42,48
inu.30000007098001,21,2,1,Maga,PER,50,54
inu.30000007098001,21,5,0,Hansel Gretel,PER,361,374
inu.30000007098001,21,5,1,Maga,MISC,387,391
inu.30000007098001,21,5,2,rue des Lombards,LOC,460,476
inu.30000007098001,21,5,3,Pont Saint Michel,LOC,512,529
inu.30000007098001,21,5,4,Pont au Change,LOC,535,549
inu.30000007098001,21,8,0,Chatelet,LOC,142,150
inu.30000007098001,21,8,1,Tour Saint Jacques,ORG,185,203
inu.30000007098001,21,8,2,madame Léonie,PER,266,279
inu.30000007098001,22,0,0,Cortázar pinas,PER,8,22
inu.30000007098001,22,0,1,París,LOC,46,51
inu.30000007098001,22,1,0,rue du Cherche-Midi,LOC,31,50
inu.30000007098001,22,3,0,Boul'Mich',LOC,141,151
inu.30000007098001,22,4,0,Figari,PER,78,84
inu.30000007098001,22,5,0,madame Léonie,PER,48,61
inu.30000007098001,22,8,0,Pont des Arts,LOC,88,101
inu.30000007098001,22,9,0,Maga,PER,28,32
inu.30000007098001,22,11,0,circo Miró,LOC,386,396
inu.30000007098001,22,11,1,Vieira da Silva,LOC,420,435
inu.30000007098001,23,0,0,Harold Lloyd,PER,148,160
inu.30000007098001,23,0,1,Pabst,PER,270,275
inu.30000007098001,23,0,2,Fritz Lang,PER,282,292
inu.30000007098001,23,2,0,Carrefour de l'Odéon,LOC,26,46
inu.30000007098001,23,2,1,Montparnasse,LOC,76,88
inu.30000007098001,23,3,0,Porte d'Orléans,LOC,36,51
inu.30000007098001,23,3,1,Bculevard Jourdan,LOC,128,145
inu.30000007098001,23,3,2,Club de la Serpiente,ORG,193,213
inu.30000007098001,23,4,0,París,LOC,135,140
inu.30000007098001,23,5,0,la Maga,MISC,54,61
inu.30000007098001,23,8,0,Imágenes,MISC,34,42
inu.30000007098001,23,8,1,Olavarría,LOC,151,160
inu.30000007098001,23,10,0,Ese par de zapatos,MISC,4,22
inu.30000007098001,23,10,1,Ernesto Morroni,PER,118,133
inu.30000007098001,23,12,0,Té Sol,LOC,180,186
inu.30000007098001,23,12,1,Buenos Aires,LOC,217,229
inu.30000007098001,24,2,0,Albertinas,MISC,66,76
inu.30000007098001,24,2,1,Floresta,LOC,197,205
inu.30000007098001,24,2,2,Gekrepten,MISC,252,261
inu.30000007098001,24,2,3,Maga,MISC,637,641
inu.30000007098001,24,2,4,Club,MISC,828,832
inu.30000007098001,24,4,0,Maga,MISC,7,11
inu.30000007098001,24,5,0,Melmoths,MISC,26,34
inu.30000007098001,24,8,0,la Maga,MISC,21,28
inu.30000007098001,25,0,0,RAYUELA 1,PER,0,9
inu.30000007098001,25,1,0,Ludwig van,PER,229,239
inu.30000007098001,25,1,1,Salle de Géographie,LOC,686,705
inu.30000007098001,25,2,0,la -Maga,MISC,30,38
inu.30000007098001,25,2,1,Belleville,LOC,76,86
inu.30000007098001,25,2,2,Pantin,LOC,89,95
inu.30000007098001,26,0,0,1 JULIO CORTÁZAR,ORG,0,16
inu.30000007098001,26,1,0,rue Scribe,LOC,244,254
inu.30000007098001,26,2,0,Ronald,PER,14,20
inu.30000007098001,26,2,1,Etienne,PER,23,30
inu.30000007098001,26,5,0,Ronald,PER,0,6
inu.30000007098001,26,7,0,Párker,MISC,68,74
inu.30000007098001,26,12,0,Párker,PER,32,38
inu.30000007098001,27,0,0,Ronald,PER,530,536
inu.30000007098001,27,0,1,Etienne,PER,542,549
inu.30000007098001,27,0,2,Segundo Imperio,LOC,642,657
inu.30000007098001,28,1,0,Jardin des Plantes,LOC,144,162
inu.30000007098001,28,2,0,París,LOC,0,5
inu.30000007098001,28,2,1,Klee,MISC,43,47
inu.30000007098001,28,3,0,La Maga,MISC,0,7
inu.30000007098001,28,3,1,rue du Cherche-Midi,LOC,40,59
inu.30000007098001,28,3,2,rue de la Tombe,LOC,91,106
inu.30000007098001,28,3,3,Issoire,PER,107,114
inu.30000007098001,28,3,4,Klee,PER,151,155
inu.30000007098001,28,3,5,Miró,PER,158,162
inu.30000007098001,28,4,0,la Maga,MISC,169,176
inu.30000007098001,28,6,0,La Maga,MISC,0,7
inu.30000007098001,28,9,0,Rocamadour,PER,39,49
inu.30000007098001,29,0,0,RAYUELA,PER,0,7
