vol_id,page,sentence_id,ent_id,entity,entity_type,start_char,end_char
mdp.39015027201717,2,0,0,THE THE OF UNIVERSITY,ORG,1,22
mdp.39015027201717,3,0,0,UNIVERSITY OF MICHIGAN JOSE,ORG,1,28
mdp.39015027201717,4,0,0,UNI THE NIVERS OF MICHIGAN OF MIC,ORG,1,34
mdp.39015027201717,7,0,0,José Revueltas,PER,0,14
mdp.39015027201717,9,0,0,José Revueltas,PER,0,14
mdp.39015027201717,9,0,1,En algún valle de lágrimas,ORG,15,41
mdp.39015027201717,10,1,0,José Revueltas,PER,34,48
mdp.39015027201717,10,1,1,Ediciones Era,ORG,80,93
mdp.39015027201717,10,1,2,S. A. Avena,LOC,95,106
mdp.39015027201717,10,1,3,México,LOC,112,118
mdp.39015027201717,10,1,4,D. F.,LOC,123,128
mdp.39015027201717,10,1,5,México,LOC,148,154
mdp.39015027201717,10,1,6,Printed and Made in Mexico,ORG,155,181
mdp.39015027201717,11,0,0,Los días terrenales,MISC,56,75
mdp.39015027201717,11,1,0,Los días terrenales,MISC,104,123
mdp.39015027201717,11,2,0,Los muros de agua,MISC,16,33
mdp.39015027201717,11,4,0,Los días terrenales,MISC,172,191
mdp.39015027201717,11,5,0,José Revueltas,PER,0,14
mdp.39015027201717,11,5,1,Margarita García Flores,PER,61,84
mdp.39015027201717,11,5,2,Diorama de la Cultura,MISC,86,107
mdp.39015027201717,11,5,3,Excélsior,MISC,109,118
mdp.39015027201717,13,0,0,Carlos Villela,PER,18,32
mdp.39015027201717,15,0,0,Macedonia,LOC,397,406
mdp.39015027201717,15,5,0,Jamás,LOC,0,5
mdp.39015027201717,16,0,0,Macedonia,LOC,64,73
mdp.39015027201717,16,4,0,Macedonia,LOC,27,36
mdp.39015027201717,16,6,0,Dios,PER,457,461
mdp.39015027201717,16,7,0,Dios,PER,19,23
mdp.39015027201717,17,7,0,Macedonia,LOC,26,35
mdp.39015027201717,18,1,0,Pierrot,PER,111,118
mdp.39015027201717,18,1,1,Pierrot,PER,144,151
mdp.39015027201717,19,1,0,Menchaca,PER,158,166
mdp.39015027201717,19,9,0,Macedonia,LOC,8,17
mdp.39015027201717,20,2,0,Macedonia,LOC,5,14
mdp.39015027201717,20,4,0,Macedonia,LOC,69,78
mdp.39015027201717,20,6,0,Pierrot,PER,0,7
mdp.39015027201717,20,6,1,Pierrot,PER,29,36
mdp.39015027201717,20,6,2,Pierrot,PER,49,56
mdp.39015027201717,20,6,3,Pierrot,PER,84,91
mdp.39015027201717,22,6,0,Buda,PER,102,106
mdp.39015027201717,22,6,1,Macedonia,LOC,226,235
mdp.39015027201717,22,8,0,Macedonia,LOC,55,64
mdp.39015027201717,23,6,0,Virgen Santa,PER,6,18
mdp.39015027201717,23,6,1,Roma,LOC,40,44
mdp.39015027201717,23,7,0,W. C.,LOC,148,153
mdp.39015027201717,25,2,0,Señor,MISC,55,60
mdp.39015027201717,25,4,0,Buda,PER,3,7
mdp.39015027201717,25,5,0,Buda,PER,75,79
mdp.39015027201717,26,5,0,—,PER,54,55
mdp.39015027201717,29,1,0,Premio a la Virtud,MISC,439,457
mdp.39015027201717,29,2,0,Macedonia,LOC,142,151
mdp.39015027201717,30,4,0,Macedonia,LOC,16,25
mdp.39015027201717,30,6,0,Macedonia,LOC,44,53
mdp.39015027201717,30,6,1,República,MISC,120,129
mdp.39015027201717,30,6,2,Macedonia,LOC,201,210
mdp.39015027201717,30,7,0,Pecunia Alter Sanguis,PER,177,198
mdp.39015027201717,31,2,0,Saldaña,PER,23,30
mdp.39015027201717,31,4,0,Saldaña,LOC,52,59
mdp.39015027201717,31,7,0,Saldaña,PER,25,32
mdp.39015027201717,31,7,1,Pecunia Alter Sanguis,PER,219,240
mdp.39015027201717,31,9,0,Saldaña,PER,15,22
mdp.39015027201717,31,10,0,Saldaña,PER,80,87
mdp.39015027201717,31,10,1,Barra de Abogados,ORG,182,199
mdp.39015027201717,31,11,0,Saldaña,PER,0,7
mdp.39015027201717,32,3,0,Saldaña,PER,0,7
mdp.39015027201717,32,4,0,Saldaña,PER,24,31
mdp.39015027201717,32,4,1,-Saldaña,PER,251,259
mdp.39015027201717,32,11,0,Lila la constancia,PER,0,18
mdp.39015027201717,33,1,0,Macedonia,LOC,0,9
mdp.39015027201717,33,3,0,Saldaña,PER,45,52
mdp.39015027201717,33,4,0,Saldaña,PER,60,67
mdp.39015027201717,33,4,1,Equidad,MISC,350,357
mdp.39015027201717,33,5,0,Saldaña,PER,7,14
mdp.39015027201717,34,0,0,Saldaña,PER,236,243
mdp.39015027201717,34,2,0,Saldaña,PER,0,7
mdp.39015027201717,34,6,0,Saldaña,PER,0,7
mdp.39015027201717,34,7,0,Saldaña,PER,94,101
mdp.39015027201717,35,0,0,Equidad,MISC,0,7
mdp.39015027201717,35,1,0,Saldaña,PER,37,44
mdp.39015027201717,35,7,0,Saldaña,PER,68,75
mdp.39015027201717,35,8,0,Saldaña,PER,9,16
mdp.39015027201717,35,10,0,Saldaña,PER,15,22
mdp.39015027201717,35,10,1,Saldaña,PER,309,316
mdp.39015027201717,36,2,0,Saldaña,PER,66,73
mdp.39015027201717,36,4,0,Macedonia,LOC,13,22
mdp.39015027201717,36,4,1,Saldaña,PER,65,72
mdp.39015027201717,36,5,0,mausoleo de la Equidad,LOC,42,64
mdp.39015027201717,40,6,0,callejón de Lecheras,LOC,277,297
mdp.39015027201717,41,1,0,Menchaca,PER,179,187
mdp.39015027201717,41,1,1,Menchaca,PER,353,361
mdp.39015027201717,41,3,0,Macedonia,LOC,744,753
mdp.39015027201717,41,4,0,Tabla Redonda,MISC,21,34
mdp.39015027201717,42,1,0,Menchaca,PER,58,66
mdp.39015027201717,42,2,0,Menchaca,PER,15,23
mdp.39015027201717,42,2,1,Casandra,PER,391,399
mdp.39015027201717,42,7,0,Dios,PER,57,61
mdp.39015027201717,42,7,1,Divina Misericordia,MISC,97,116
mdp.39015027201717,43,0,0,Veracidad,MISC,121,130
mdp.39015027201717,43,1,0,Cervantes,PER,12,21
mdp.39015027201717,43,2,0,Beethoven,PER,174,183
mdp.39015027201717,43,4,0,Beethoven,PER,225,234
mdp.39015027201717,44,0,0,TU NARCTV 13 3!'UMAN DALLE,ORG,0,26
mdp.39015027201717,44,5,0,Moralitos,PER,66,75
mdp.39015027201717,45,1,0,Moralitos,PER,19,28
mdp.39015027201717,45,3,0,Hipólito Cervantes,PER,111,129
mdp.39015027201717,45,6,0,Estabillo,PER,138,147
mdp.39015027201717,48,0,0,DI ALIJOJUN INI,PER,0,15
mdp.39015027201717,48,5,0,Vasos de Sèvres,PER,0,15
mdp.39015027201717,49,3,0,Minerva,PER,12,19
mdp.39015027201717,50,3,0,iglesia del,LOC,163,174
mdp.39015027201717,51,7,0,Al Bazar del Niño Perdido,LOC,277,302
mdp.39015027201717,55,14,0,—,PER,22,23
mdp.39015027201717,56,4,0,Ahora,MISC,0,5
mdp.39015027201717,56,9,0,—,PER,8,9
mdp.39015027201717,57,7,0,Dios,PER,237,241
