vol_id,page,sentence_id,ent_id,entity,entity_type,start_char,end_char
txu.059173017124013,1,0,0,Gabriel García Márquez,PER,1,23
txu.059173017124013,1,0,1,LAC en años de soledad,ORG,47,69
txu.059173017124013,1,0,2,Editorial Sudamericana JOE,ORG,70,96
txu.059173017124013,2,0,0,EXAS AT AUSTIN GEN LIBS,ORG,1,24
txu.059173017124013,2,0,1,Gabriel García Márquez,PER,59,81
txu.059173017124013,2,0,2,Aracataca,LOC,99,108
txu.059173017124013,2,0,3,Colombia,LOC,131,139
txu.059173017124013,2,1,0,Bogotá,LOC,25,31
txu.059173017124013,2,3,0,Los funerales de la Mamá Grande,MISC,37,68
txu.059173017124013,2,4,0,Cien años de soledad,MISC,46,66
txu.059173017124013,2,4,1,Editorial Sudamericana,ORG,82,104
txu.059173017124013,2,5,0,García Márquez,PER,34,48
txu.059173017124013,2,6,0,Il Rómulo Gallegos,MISC,55,73
txu.059173017124013,2,8,0,ICAN COLLECT,ORG,0,12
txu.059173017124013,3,0,0,THE UNIVERSITY OF TEXAS AT AUSTIN,ORG,0,33
txu.059173017124013,3,0,1,UNIVERSITY OF TEXAS LIBRARIES DUE RETURNED,ORG,34,76
txu.059173017124013,3,0,2,RETRAYEN C2007 SEP î 2 2008,ORG,105,132
txu.059173017124013,5,0,0,CIEN AÑOS DE SOLEDAD,ORG,0,20
txu.059173017124013,7,0,0,GABRIEL GARCÍA,PER,0,14
txu.059173017124013,7,0,1,Cien años de soledad,PER,23,43
txu.059173017124013,8,0,0,Arnoldo Mondadori,PER,31,48
txu.059173017124013,8,0,1,Milán,LOC,58,63
txu.059173017124013,8,1,0,"Editorial Sudamericana S.A., Humberto I",ORG,8,47
txu.059173017124013,8,1,1,Buenos Aires,LOC,53,65
txu.059173017124013,8,2,0,Gabriel García Márquez,PER,27,49
txu.059173017124013,8,2,1,ARGENTINA,LOC,75,84
txu.059173017124013,8,2,2,CHILE,LOC,86,91
txu.059173017124013,8,2,3,URUGUAY,LOC,93,100
txu.059173017124013,8,2,4,Humberto I,PER,141,151
txu.059173017124013,8,2,5,Bs.,ORG,157,160
txu.059173017124013,8,4,0,Argentina,LOC,0,9
txu.059173017124013,11,0,0,Aureliano Buendía,PER,67,84
txu.059173017124013,11,1,0,Macondo,LOC,0,7
txu.059173017124013,11,6,0,Melquiades,PER,93,103
txu.059173017124013,11,6,1,Macedonia,LOC,222,231
txu.059173017124013,11,7,0,Melquíades,PER,440,450
txu.059173017124013,11,9,0,José Arcadio Buendía,PER,0,20
txu.059173017124013,11,10,0,Melquiades,PER,0,10
txu.059173017124013,11,11,0,José Arcadio Buendía,PER,5,25
txu.059173017124013,11,12,0,Ursula >,PER,0,8
txu.059173017124013,12,0,0,Gabriel García Márquez,PER,3,25
txu.059173017124013,12,0,1,Iguaran,PER,26,33
txu.059173017124013,12,3,0,Melquiades,PER,138,148
txu.059173017124013,12,5,0,José Arcadio Buendía,PER,7,27
txu.059173017124013,12,7,0,Amsterdam,LOC,128,137
txu.059173017124013,12,10,0,Melquíades,PER,51,61
txu.059173017124013,12,13,0,José Arcadio Buendía,PER,0,20
txu.059173017124013,12,14,0,Melquiades,PER,0,10
txu.059173017124013,12,16,0,Úrsula,PER,0,6
txu.059173017124013,12,18,0,José Arcadio Buendia,PER,0,20
txu.059173017124013,13,0,0,Cien años de soledad,ORG,0,20
txu.059173017124013,13,4,0,José Arcadio Buendía,PER,83,103
txu.059173017124013,13,6,0,Melquiades,PER,48,58
txu.059173017124013,13,7,0,Hermann,PER,76,83
txu.059173017124013,13,8,0,José Arcadio Buendía,PER,0,20
txu.059173017124013,13,11,0,Ursula,PER,119,125
txu.059173017124013,14,0,0,Gabriel García Márquez,PER,3,25
txu.059173017124013,14,5,0,Úrsula,PER,0,6
txu.059173017124013,14,8,0,José Arcadio Buendía,PER,0,20
txu.059173017124013,14,10,0,José Arcadio Buendía,PER,39,59
txu.059173017124013,14,10,1,Melquiades,PER,98,108
txu.059173017124013,14,11,0,Macondo,LOC,183,190
txu.059173017124013,14,12,0,Melquiades,PER,16,26
txu.059173017124013,14,13,0,José Arcadio Buendía,PER,54,74
txu.059173017124013,14,16,0,José Arcadio Buendía,PER,26,46
txu.059173017124013,15,0,0,Cien años de soledad,ORG,0,20
txu.059173017124013,15,1,0,Persia,MISC,27,33
txu.059173017124013,15,1,1,Malasia,LOC,70,77
txu.059173017124013,15,1,2,Alejandría,LOC,93,103
txu.059173017124013,15,1,3,Japón,LOC,123,128
txu.059173017124013,15,1,4,Madagascar,LOC,153,163
txu.059173017124013,15,1,5,Sicilia,LOC,181,188
txu.059173017124013,15,1,6,estrecho de Magallanes,LOC,227,249
txu.059173017124013,15,2,0,Nostradamus,PER,52,63
txu.059173017124013,15,6,0,José Arcadio Buendía,PER,50,70
txu.059173017124013,15,8,0,Aureliano,PER,0,9
txu.059173017124013,15,10,0,José Arcadio,PER,0,12
txu.059173017124013,15,11,0,Ursula,PER,0,6
txu.059173017124013,15,12,0,Melquiades,PER,70,80
txu.059173017124013,15,14,0,Melquíades,PER,22,32
txu.059173017124013,15,16,0,Úrsula,PER,94,100
txu.059173017124013,15,17,0,Melquíades,PER,83,93
txu.059173017124013,16,0,0,Gabriel García Márquez,PER,3,25
txu.059173017124013,16,0,1,María la judía,PER,316,330
txu.059173017124013,16,1,0,Melquiades,PER,23,33
txu.059173017124013,16,1,1,Moisés,PER,124,130
txu.059173017124013,16,1,2,Zósimo,PER,133,139
txu.059173017124013,16,1,3,Gran Magisterio,LOC,221,236
txu.059173017124013,16,2,0,José Arcadio Buendia,PER,64,84
txu.059173017124013,16,2,1,Úrsula,PER,95,101
txu.059173017124013,16,3,0,Úrsula,PER,0,6
txu.059173017124013,16,4,0,José Arcadio Buendia,PER,9,29
txu.059173017124013,16,6,0,Chipre,LOC,148,154
txu.059173017124013,16,6,1,Úrsula,LOC,246,252
txu.059173017124013,16,7,0,Úrsula,PER,30,36
txu.059173017124013,16,9,0,Melquiades,PER,88,98
txu.059173017124013,16,11,0,Melquíades,PER,39,49
txu.059173017124013,17,0,0,Cien años de soledad,ORG,0,20
txu.059173017124013,17,1,0,José Arcadio Buendía,PER,16,36
txu.059173017124013,17,1,1,Mel,PER,72,75
txu.059173017124013,17,4,0,Úrsula,PER,59,65
txu.059173017124013,17,6,0,Macondo,LOC,57,64
txu.059173017124013,17,6,1,Melquíades,PER,127,137
txu.059173017124013,17,7,0,José Arcadio Buendía,PER,14,34
txu.059173017124013,17,11,0,Úrsula,PER,19,25
txu.059173017124013,17,15,0,José Arcadio Buendía,PER,0,20
txu.059173017124013,18,0,0,Gabriel García Márquez,PER,3,25
txu.059173017124013,18,1,0,Macondo,LOC,15,22
txu.059173017124013,18,3,0,José Arcadio Buendía,PER,35,55
txu.059173017124013,18,5,0,Úrsula,PER,72,78
txu.059173017124013,18,6,0,Melquíades,PER,37,47
txu.059173017124013,18,8,0,José Arcadio Buendía,PER,25,45
txu.059173017124013,18,8,1,Úrsula,PER,144,150
txu.059173017124013,18,10,0,Macona do,LOC,213,222
txu.059173017124013,18,11,0,José Arcadio Buendia,PER,0,20
txu.059173017124013,18,13,0,Riohacha,LOC,97,105
txu.059173017124013,18,13,1,Aureliano Buendía,PER,165,182
txu.059173017124013,18,13,2,Sir Francis Drake,PER,195,212
txu.059173017124013,19,0,0,Macondo,LOC,98,105
txu.059173017124013,19,5,0,José Arcadio Buendía,PER,31,51
txu.059173017124013,19,6,0,Macondo,LOC,123,130
txu.059173017124013,20,0,0,Gabriel García Márquez,PER,3,25
txu.059173017124013,20,2,0,José Arcadio Buendía,PER,19,39
txu.059173017124013,20,13,0,José Arcadio Buendía,PER,81,101
txu.059173017124013,20,16,0,Aureliano Buendía,PER,32,49
txu.059173017124013,20,18,0,José Arcadio Buendía,PER,5,25
txu.059173017124013,21,0,0,Cien años de soledad,ORG,0,20
txu.059173017124013,21,1,0,Macondo,LOC,8,15
txu.059173017124013,21,2,0,Macondo,LOC,16,23
txu.059173017124013,21,2,1,José Arcadio Buendía,PER,111,131
txu.059173017124013,21,4,0,Ursula,PER,53,59
txu.059173017124013,21,6,0,Macondo,LOC,117,124
txu.059173017124013,21,7,0,Ursula,PER,15,21
txu.059173017124013,21,9,0,José Arcadio Buendía,PER,0,20
txu.059173017124013,21,10,0,Ursula,PER,0,6
txu.059173017124013,21,13,0,Ursula,PER,55,61
txu.059173017124013,21,14,0,Úrsula,PER,0,6
txu.059173017124013,21,15,0,—,PER,19,20
txu.059173017124013,21,18,0,Ursula,PER,0,6
txu.059173017124013,21,19,0,José Arcadio Buendía,PER,0,20
txu.059173017124013,22,0,0,Gabriel García Márquez,PER,3,25
txu.059173017124013,22,2,0,Ursula,PER,5,11
txu.059173017124013,22,4,0,José Arcadio Buendía,PER,0,20
txu.059173017124013,22,5,0,Úrsula,MISC,188,194
txu.059173017124013,22,7,0,Úrsula,PER,9,15
txu.059173017124013,22,8,0,—,PER,12,13
txu.059173017124013,22,10,0,José Arcadio,PER,0,12
txu.059173017124013,22,13,0,Macondo,LOC,93,100
txu.059173017124013,22,14,0,Aureliano,PER,0,9
txu.059173017124013,22,14,1,Macondo,LOC,45,52
txu.059173017124013,23,0,0,Cien años de soledad,ORG,0,20
txu.059173017124013,23,0,1,Aureliano,PER,108,117
txu.059173017124013,23,3,0,Ursula,PER,0,6
txu.059173017124013,23,7,0,Africa,LOC,80,86
txu.059173017124013,23,7,1,mar Egeo,LOC,219,227
txu.059173017124013,23,7,2,Salónica,LOC,272,280
txu.059173017124013,23,8,0,Aureliano Buendía,PER,240,257
txu.059173017124013,23,8,1,Memphis,LOC,586,593
txu.059173017124013,24,0,0,Gabriel García Márquez,PER,3,25
txu.059173017124013,24,0,1,José Arcadio Buendía,PER,447,467
txu.059173017124013,24,2,0,Macondo,LOC,18,25
txu.059173017124013,24,3,0,José Arcadio Buendia,PER,236,256
txu.059173017124013,24,3,1,Melquiades,PER,288,298
txu.059173017124013,24,5,0,Melquíades,PER,38,48
txu.059173017124013,24,6,0,José Arcadio Buendía,PER,70,90
txu.059173017124013,24,7,0,Melquiades,PER,186,196
txu.059173017124013,24,8,0,José Arcadio Buendía,PER,25,45
txu.059173017124013,24,9,0,Melquiades,PER,54,64
txu.059173017124013,24,9,1,Singapur,LOC,113,121
txu.059173017124013,24,9,2,mar de Java,LOC,184,195
txu.059173017124013,24,11,0,Memphis,LOC,96,103
txu.059173017124013,24,11,1,Salomón,PER,179,186
txu.059173017124013,24,12,0,José Arcadio Buendía,PER,23,43
txu.059173017124013,25,0,0,Cien años de soledad,ORG,0,20
txu.059173017124013,25,3,0,José Arcadio Buendía,PER,75,95
txu.059173017124013,25,7,0,José Arcadio Buendía,PER,0,20
txu.059173017124013,25,9,0,José Arcadio Buendia,PER,0,20
txu.059173017124013,25,11,0,José Arcadio,PER,11,23
txu.059173017124013,25,12,0,Aureliano,PER,0,9
txu.059173017124013,25,15,0,Melquiades,PER,132,142
txu.059173017124013,26,0,0,Francis Drake,PER,17,30
txu.059173017124013,26,0,1,Riohacha,LOC,40,48
txu.059173017124013,26,0,2,Ursula Iguarán,PER,83,97
txu.059173017124013,26,7,0,José Arcadio Buendía,PER,91,111
txu.059173017124013,26,7,1,Úrsula,LOC,139,145
txu.059173017124013,26,9,0,Úrsula,PER,22,28
txu.059173017124013,26,9,1,Francis Drake,PER,162,175
txu.059173017124013,26,9,2,Rio,LOC,185,188
txu.059173017124013,27,0,0,Cien años de soledad,ORG,0,20
txu.059173017124013,27,5,0,Úrsula,LOC,11,17
txu.059173017124013,27,5,1,José Arcadio Buendía,PER,40,60
txu.059173017124013,27,7,0,José,PER,0,4
txu.059173017124013,27,8,0,Arcadio Buendía,PER,0,15
txu.059173017124013,27,10,0,Úrsula,PER,52,58
txu.059173017124013,27,11,0,Úrsula,PER,69,75
txu.059173017124013,27,14,0,Úrsula,PER,216,222
txu.059173017124013,27,15,0,José Arcadio Buendía,PER,0,20
txu.059173017124013,27,16,0,Úrsula,PER,9,15
txu.059173017124013,28,0,0,26 Gabriel García Márquez,PER,0,25
txu.059173017124013,28,0,1,José Arcadio Buendía,PER,118,138
txu.059173017124013,28,0,2,Prudencio Aguilar,PER,169,186
txu.059173017124013,28,1,0,José Arcadio Buendía,PER,71,91
txu.059173017124013,28,4,0,José Arcadio Buendía,PER,0,20
txu.059173017124013,28,6,0,Prudencio Aguilar,PER,11,28
txu.059173017124013,28,8,0,Prudencio Aguilar,PER,69,86
txu.059173017124013,28,10,0,José Arcadio Buendía,PER,12,32
txu.059173017124013,28,10,1,Aureliano Buendía,PER,119,136
txu.059173017124013,28,11,0,José Arcadio Buendía,PER,56,76
txu.059173017124013,28,13,0,Ursula,PER,0,6
txu.059173017124013,28,15,0,José Arcadio Buendía,PER,0,20
txu.059173017124013,28,18,0,Prudencio Aguilar,PER,210,227
txu.059173017124013,28,20,0,Úrsula,PER,34,40
txu.059173017124013,28,20,1,Prudencio Aguilar,PER,80,97
txu.059173017124013,28,26,0,Ursula,PER,20,26
txu.059173017124013,28,26,1,Prudencio Aguilar,PER,42,59
txu.059173017124013,29,0,0,Cien años de soledad,ORG,0,20
txu.059173017124013,29,2,0,José Arcadio Buendía,PER,0,20
txu.059173017124013,29,4,0,José Arcadio Buendia,PER,25,45
txu.059173017124013,29,6,0,Prudencio Aguilar,PER,0,17
txu.059173017124013,29,6,1,José Arcadio Buendía,PER,31,51
txu.059173017124013,29,9,0,Ursula,PER,40,46
txu.059173017124013,29,12,0,José Arcadio Buendia,PER,72,92
txu.059173017124013,29,13,0,Prudencio,PER,12,21
txu.059173017124013,29,13,1,—,PER,30,31
txu.059173017124013,29,17,0,José Arcadio Buendía,PER,17,37
txu.059173017124013,29,18,0,José Arcadio Buendía,PER,17,37
txu.059173017124013,29,18,1,Prudencio Aguilar,PER,178,195
txu.059173017124013,29,19,0,Úrsula,MISC,22,28
txu.059173017124013,29,21,0,Riohacha,LOC,62,70
txu.059173017124013,29,23,0,Ursula,PER,92,98
txu.059173017124013,30,0,0,Gabriel García Márquez,PER,3,25
txu.059173017124013,30,6,0,Aureliano Buendia,PER,58,75
txu.059173017124013,30,6,1,Riohacha,LOC,125,133
txu.059173017124013,30,8,0,José Arcadio Buendía,PER,0,20
txu.059173017124013,30,9,0,Macondo,LOC,174,181
txu.059173017124013,30,12,0,José Arcadio Buendía,PER,2,22
txu.059173017124013,30,15,0,Macondo,LOC,0,7
txu.059173017124013,30,17,0,Aureliano,PER,99,108
txu.059173017124013,31,0,0,Cien años de soledad,ORG,0,20
txu.059173017124013,31,2,0,Melquíades,PER,23,33
txu.059173017124013,31,2,1,Ursula,LOC,153,159
txu.059173017124013,31,3,0,José Arcadio,PER,9,21
txu.059173017124013,31,7,0,Ursula,PER,10,16
txu.059173017124013,31,8,0,Úrsula,PER,0,6
txu.059173017124013,31,10,0,Úrsula,PER,0,6
txu.059173017124013,31,15,0,José Arcadio,PER,93,105
txu.059173017124013,31,19,0,José Arcadio,PER,0,12
txu.059173017124013,31,21,0,José Arcadio,PER,5,17
txu.059173017124013,32,0,0,Gabriel García Márquez,PER,3,25
txu.059173017124013,33,3,0,Úrsula,MISC,410,416
txu.059173017124013,33,4,0,Pilar Ternera,PER,11,24
txu.059173017124013,33,5,0,Macondo,LOC,62,69
txu.059173017124013,33,8,0,José Arcadio,PER,42,54
txu.059173017124013,34,0,0,Gabriel García Márquez,PER,3,25
txu.059173017124013,34,3,0,Úrsula,LOC,201,207
txu.059173017124013,34,5,0,Ursula,PER,0,6
txu.059173017124013,34,5,1,Dios,MISC,43,47
txu.059173017124013,34,5,2,José Arcadio Buendía,PER,219,239
txu.059173017124013,34,8,0,José Arcadio,PER,0,12
