vol_id,page,sentence_id,ent_id,entity,entity_type,start_char,end_char
uc1.32106012247349,00000001,0,0,NARRATIVA CARLOS,ORG,1,17
uc1.32106012247349,00000001,0,1,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ LA MUERTE DE ARTEMIO CRUZ MONDADORI",ORG,31,103
uc1.32106012247349,00000002,0,0,D Daniel de Labra,PER,2,19
uc1.32106012247349,00000005,0,0,Artemio Cruz,PER,13,25
uc1.32106012247349,00000007,0,0,Carlos Fuentes,PER,0,14
uc1.32106012247349,00000007,0,1,Artemio Cruz,PER,28,40
uc1.32106012247349,00000008,0,0,"UMM Library, UC Santa Cruz 1995",ORG,0,31
uc1.32106012247349,00000008,1,0,1962 Carlos Fuentes,PER,0,19
uc1.32106012247349,00000008,1,1,España,LOC,55,61
uc1.32106012247349,00000008,1,2,"Grijalbo Comercial, S. A.)",ORG,74,100
uc1.32106012247349,00000008,1,3,Aragó,LOC,102,107
uc1.32106012247349,00000008,2,0,Barcelona,LOC,0,9
uc1.32106012247349,00000008,2,1,"Impreso y encuadernado en Artes Gráficas Huertas, S. A. Fuenlabrada",ORG,61,128
uc1.32106012247349,00000008,2,2,Madrid,LOC,130,136
uc1.32106012247349,00000009,0,0,Norteamérica,LOC,36,48
uc1.32106012247349,00000009,0,1,Latinoamérica,LOC,83,96
uc1.32106012247349,00000009,1,0,PQ 7597,ORG,0,7
uc1.32106012247349,00000011,1,0,"MONTAIGNE, Ensayos",ORG,0,18
uc1.32106012247349,00000011,1,1,", El gran teatro del mundo",ORG,128,154
uc1.32106012247349,00000011,1,2,"Moi seul, je sais ce que j'aurais pu faire",ORG,155,197
uc1.32106012247349,00000011,2,0,"STENDHAL,",PER,0,9
uc1.32106012247349,00000011,4,0,Canción popular mexicana,ORG,0,24
uc1.32106012247349,00000013,7,0,Mineral,LOC,0,7
uc1.32106012247349,00000014,2,0,Párpados,LOC,0,8
uc1.32106012247349,00000014,3,0,Párpados,LOC,0,8
uc1.32106012247349,00000014,11,0,Pómulos,LOC,0,7
uc1.32106012247349,00000014,13,0,Nace,LOC,0,4
uc1.32106012247349,00000014,14,0,Mueca,LOC,0,5
uc1.32106012247349,00000014,15,0,Mueca,LOC,0,5
uc1.32106012247349,00000014,16,0,Mueca,LOC,0,5
uc1.32106012247349,00000014,18,0,Mueca,LOC,0,5
uc1.32106012247349,00000014,20,0,Tabaco,LOC,0,6
uc1.32106012247349,00000014,21,0,Tabaco,LOC,0,6
uc1.32106012247349,00000014,53,0,Teresa,PER,0,6
uc1.32106012247349,00000014,60,0,Catalina,PER,9,17
uc1.32106012247349,00000014,62,0,Teresa,PER,0,6
uc1.32106012247349,00000015,3,0,Teresa,PER,3,9
uc1.32106012247349,00000015,14,0,Jé,PER,0,2
uc1.32106012247349,00000015,15,0,Padilla,PER,16,23
uc1.32106012247349,00000015,19,0,Padilla,PER,35,42
uc1.32106012247349,00000015,20,0,Padilla,PER,4,11
uc1.32106012247349,00000015,22,0,Coyoacán,LOC,98,106
uc1.32106012247349,00000015,24,0,Padilla,PER,24,31
uc1.32106012247349,00000015,29,0,Gloria,PER,12,18
uc1.32106012247349,00000015,34,0,Catalina,PER,0,8
uc1.32106012247349,00000015,45,0,Catalina,PER,25,33
uc1.32106012247349,00000015,49,0,Padilla,MISC,0,7
uc1.32106012247349,00000015,56,0,Regina,PER,0,6
uc1.32106012247349,00000015,56,1,Regina,PER,28,34
uc1.32106012247349,00000015,57,0,Regina,PER,0,6
uc1.32106012247349,00000016,11,0,Artemio Cruz,PER,5,17
uc1.32106012247349,00000016,11,1,Hermosillo,LOC,26,36
uc1.32106012247349,00000016,11,2,México,LOC,39,45
uc1.32106012247349,00000016,13,0,Artemio Cruz,PER,5,17
uc1.32106012247349,00000016,13,1,Artemio Cruz,PER,47,59
uc1.32106012247349,00000016,14,0,Artemio Cruz,PER,5,17
uc1.32106012247349,00000016,17,0,Artemio Cruz,PER,0,12
uc1.32106012247349,00000016,19,0,Artemio Cruz,PER,3,15
uc1.32106012247349,00000016,23,0,Artemio Cruz,PER,0,12
uc1.32106012247349,00000016,25,0,Artemio Cruz,PER,0,12
uc1.32106012247349,00000016,27,0,Artemio Cruz,PER,0,12
uc1.32106012247349,00000016,28,0,Artemio Cruz,PER,0,12
uc1.32106012247349,00000016,32,0,Artemio Cruz,PER,0,12
uc1.32106012247349,00000016,34,0,Artemio Cruz,PER,5,17
uc1.32106012247349,00000016,34,1,Artemio Cruz,PER,71,83
uc1.32106012247349,00000016,38,0,Hermosillo,LOC,23,33
uc1.32106012247349,00000016,38,1,Compañía Mexicana de Aviación,ORG,90,119
uc1.32106012247349,00000016,38,2,Sonora,LOC,148,154
uc1.32106012247349,00000016,38,3,México,LOC,222,228
uc1.32106012247349,00000016,38,4,D. F.,LOC,230,235
uc1.32106012247349,00000016,40,0,Valle de México,LOC,483,498
uc1.32106012247349,00000017,5,0,Sonora,LOC,11,17
uc1.32106012247349,00000017,5,1,Sonora,LOC,468,474
uc1.32106012247349,00000017,5,2,Sinaloa,LOC,476,483
uc1.32106012247349,00000017,5,3,Distrito Federal,LOC,489,505
uc1.32106012247349,00000017,22,0,plaza del Caballito,LOC,161,180
uc1.32106012247349,00000018,2,0,Padilla,PER,46,53
uc1.32106012247349,00000018,2,1,Padilla,PER,113,120
uc1.32106012247349,00000018,5,0,Couto,MISC,96,101
uc1.32106012247349,00000018,5,1,Sonora,LOC,146,152
uc1.32106012247349,00000018,7,0,Padilla,PER,24,31
uc1.32106012247349,00000018,9,0,Puebla,LOC,189,195
uc1.32106012247349,00000018,9,1,Guadalajara,LOC,197,208
uc1.32106012247349,00000018,9,2,Monterrey,LOC,210,219
uc1.32106012247349,00000018,9,3,Culiacán,LOC,221,229
uc1.32106012247349,00000018,9,4,Hermosillo,LOC,231,241
uc1.32106012247349,00000018,9,5,Guaymas,LOC,243,250
uc1.32106012247349,00000018,9,6,Acapulco-,LOC,252,261
uc1.32106012247349,00000018,9,7,Jáltipan,LOC,286,294
uc1.32106012247349,00000018,9,8,Hidalgo,LOC,309,316
uc1.32106012247349,00000018,9,9,Tarahumara,LOC,350,360
uc1.32106012247349,00000018,9,10,Zurich,LOC,838,844
uc1.32106012247349,00000018,9,11,Londres,LOC,846,853
uc1.32106012247349,00000018,9,12,Nueva York,LOC,856,866
uc1.32106012247349,00000018,10,0,Padilla,PER,83,90
uc1.32106012247349,00000018,11,0,estado de Puebla,LOC,60,76
uc1.32106012247349,00000018,11,1,Puebla,LOC,153,159
uc1.32106012247349,00000018,11,2,Presidente,MISC,227,237
uc1.32106012247349,00000018,11,3,ciudad de México,LOC,285,301
uc1.32106012247349,00000018,11,4,Chicago,LOC,571,578
uc1.32106012247349,00000018,11,5,Nueva York,LOC,580,590
uc1.32106012247349,00000018,11,6,México,LOC,608,614
uc1.32106012247349,00000018,11,7,Alemán,PER,761,767
uc1.32106012247349,00000019,1,0,Lázaro Cárdenas,PER,171,186
uc1.32106012247349,00000020,0,0,Catalina,PER,301,309
uc1.32106012247349,00000020,0,1,Teresa,PER,311,317
uc1.32106012247349,00000020,0,2,Artemio Cruz,PER,718,730
uc1.32106012247349,00000020,2,0,Sidi Barrani,LOC,104,116
uc1.32106012247349,00000020,2,1,Alamein,LOC,122,129
uc1.32106012247349,00000020,2,2,Rommel,PER,158,164
uc1.32106012247349,00000020,2,3,Montgomery,PER,167,177
uc1.32106012247349,00000020,2,4,África,LOC,363,369
uc1.32106012247349,00000021,15,0,Sanborn's,LOC,213,222
uc1.32106012247349,00000022,22,0,Palacio de Bellas Artes,LOC,65,88
uc1.32106012247349,00000022,22,1,Correo,LOC,319,325
uc1.32106012247349,00000022,22,2,Banco de México,ORG,402,417
uc1.32106012247349,00000022,22,3,Sanborn's,LOC,611,620
uc1.32106012247349,00000023,0,0,convento de San Francisco,ORG,3,28
uc1.32106012247349,00000023,1,0,Isabel la Católica,PER,40,58
uc1.32106012247349,00000023,1,1,Madero,PER,519,525
uc1.32106012247349,00000023,7,0,-Joan Crawford,PER,0,14
uc1.32106012247349,00000023,8,0,Joan Crawford,PER,0,13
uc1.32106012247349,00000023,12,0,Crofor,LOC,9,15
uc1.32106012247349,00000023,15,0,Cro,LOC,0,3
uc1.32106012247349,00000024,4,0,Cro-for,LOC,39,46
uc1.32106012247349,00000024,20,0,Domos,PER,216,221
uc1.32106012247349,00000024,21,0,Piritas,PER,0,7
uc1.32106012247349,00000024,22,0,Domos,PER,0,5
uc1.32106012247349,00000024,23,0,Piritas,LOC,0,7
uc1.32106012247349,00000024,24,0,Domos,LOC,0,5
uc1.32106012247349,00000025,11,0,O.K.,PER,130,134
uc1.32106012247349,00000025,11,1,O.K.,PER,149,153
uc1.32106012247349,00000025,11,2,O.K.,PER,155,159
uc1.32106012247349,00000025,11,3,O.K.,PER,161,165
uc1.32106012247349,00000026,0,0,Canada Dry,MISC,362,372
uc1.32106012247349,00000026,12,0,Padilla,PER,96,103
uc1.32106012247349,00000027,3,0,Avenida 5 de Mayo,LOC,41,58
uc1.32106012247349,00000027,15,0,Padilla,PER,33,40
uc1.32106012247349,00000027,24,0,Bellas Artes,LOC,46,58
uc1.32106012247349,00000027,27,0,Las Lomas,LOC,73,82
uc1.32106012247349,00000028,6,0,Catalina,PER,0,8
uc1.32106012247349,00000028,16,0,Teresa,PER,0,6
uc1.32106012247349,00000028,34,0,Padilla,PER,4,11
uc1.32106012247349,00000028,36,0,Coyoacán,LOC,98,106
uc1.32106012247349,00000028,38,0,Padilla,PER,24,31
uc1.32106012247349,00000028,48,0,Artemio,PER,5,12
uc1.32106012247349,00000028,48,1,Don Artemio,PER,16,27
uc1.32106012247349,00000028,51,0,Padilla,PER,26,33
uc1.32106012247349,00000029,3,0,Padilla,LOC,4,11
uc1.32106012247349,00000029,5,0,Padilla,LOC,4,11
uc1.32106012247349,00000029,8,0,Teresa,PER,0,6
uc1.32106012247349,00000029,9,0,Teresa,PER,171,177
uc1.32106012247349,00000029,14,0,Aaaaj,LOC,0,5
uc1.32106012247349,00000029,15,0,Aaaaj,LOC,0,5
uc1.32106012247349,00000029,17,0,Santa Madre Iglesia,ORG,72,91
uc1.32106012247349,00000029,19,0,Teresa,PER,680,686
uc1.32106012247349,00000030,6,0,Padilla,PER,21,28
uc1.32106012247349,00000030,7,0,Padilla,PER,0,7
uc1.32106012247349,00000030,9,0,Bohemia,LOC,230,237
uc1.32106012247349,00000030,10,0,Serafín,PER,10,17
uc1.32106012247349,00000030,40,0,Padilla,PER,30,37
uc1.32106012247349,00000031,8,0,Dios,PER,65,69
uc1.32106012247349,00000031,8,1,Diablo,PER,72,78
uc1.32106012247349,00000032,10,0,Catalina,PER,7,15
uc1.32106012247349,00000032,16,0,Catalina,PER,13,21
uc1.32106012247349,00000032,29,0,Dios,PER,98,102
uc1.32106012247349,00000033,0,0,Iglesia,ORG,264,271
uc1.32106012247349,00000033,7,0,Artemio Cruz,PER,175,187
uc1.32106012247349,00000034,0,0,Gonzalo Bernal,PER,67,81
uc1.32106012247349,00000034,0,1,Perales,LOC,99,106
uc1.32106012247349,00000034,1,0,Gamaliel Bernal,PER,32,47
uc1.32106012247349,00000034,10,0,Puebla,LOC,35,41
uc1.32106012247349,00000034,11,0,don Gamaliel,PER,562,574
uc1.32106012247349,00000035,11,0,don Gamaliel,PER,16,28
uc1.32106012247349,00000035,18,0,Bernal,PER,27,33
uc1.32106012247349,00000036,0,0,don Gamaliel,PER,46,58
uc1.32106012247349,00000036,2,0,don Gamaliel,PER,125,137
uc1.32106012247349,00000036,8,0,Bernal,PER,9,15
uc1.32106012247349,00000036,11,0,Catalina,PER,9,17
uc1.32106012247349,00000037,11,0,Gamaliel,PER,4,12
uc1.32106012247349,00000037,22,0,Guapo,PER,0,5
uc1.32106012247349,00000038,2,0,don Gamaliel,PER,84,96
uc1.32106012247349,00000038,3,0,—,PER,17,18
uc1.32106012247349,00000038,4,0,Puebla,LOC,131,137
uc1.32106012247349,00000038,9,0,don Gamaliel,PER,86,98
uc1.32106012247349,00000038,18,0,Juárez,PER,76,82
uc1.32106012247349,00000038,18,1,Puebla,LOC,220,226
uc1.32106012247349,00000038,18,2,Gamaliel Bernal,PER,265,280
uc1.32106012247349,00000038,19,0,Carranza,PER,42,50
uc1.32106012247349,00000038,19,1,Gonzalo Bernal,PER,93,107
uc1.32106012247349,00000038,19,2,Perales,LOC,111,118
uc1.32106012247349,00000038,19,3,Puebla,LOC,139,145
uc1.32106012247349,00000039,0,0,Revolución,MISC,43,53
uc1.32106012247349,00000039,1,0,Puebla,LOC,38,44
uc1.32106012247349,00000039,1,1,Bernal,PER,63,69
uc1.32106012247349,00000039,3,0,Puebla,LOC,15,21
uc1.32106012247349,00000039,3,1,Cholula,LOC,60,67
uc1.32106012247349,00000039,3,2,Gonzalo Bernal,PER,184,198
uc1.32106012247349,00000039,3,3,Bernal,PER,268,274
uc1.32106012247349,00000039,5,0,Puebla,LOC,16,22
uc1.32106012247349,00000039,20,0,Gamaliel,PER,36,44
uc1.32106012247349,00000039,24,0,padre Páez,PER,18,28
uc1.32106012247349,00000039,26,0,don Gamaliel,PER,58,70
uc1.32106012247349,00000039,26,1,don Gamaliel,PER,81,93
uc1.32106012247349,00000040,7,0,Padre,MISC,52,57
uc1.32106012247349,00000040,8,0,México,LOC,153,159
uc1.32106012247349,00000040,8,1,República liberal,ORG,171,188
uc1.32106012247349,00000040,9,0,Páez,PER,231,235
uc1.32106012247349,00000040,14,0,Remigio Páez,PER,5,17
uc1.32106012247349,00000040,18,0,Iglesia permanente,ORG,162,180
uc1.32106012247349,00000041,0,0,Espíritu Santo,MISC,157,171
uc1.32106012247349,00000041,0,1,Providencia,MISC,258,269
uc1.32106012247349,00000041,0,2,Providencia,MISC,276,287
uc1.32106012247349,00000041,0,3,Santa Madre Iglesia,ORG,574,593
uc1.32106012247349,00000041,1,0,Dios,PER,0,4
uc1.32106012247349,00000041,1,1,Luzbel,PER,27,33
uc1.32106012247349,00000041,1,2,Gabriel,PER,81,88
