vol_id,page,sentence_id,ent_id,entity,entity_type,start_char,end_char
uc1.b3161628,00000002,0,0,SITY O REUN EUND ITY OF SITY C,ORG,1,31
uc1.b3161628,00000005,0,0,VERSITY OF EUNIVE,ORG,6,23
uc1.b3161628,00000007,0,0,Augusto Roa,PER,1,12
uc1.b3161628,00000012,0,0,CARLOS ALONSO,PER,27,40
uc1.b3161628,00000013,0,0,Augusto Roa,PER,18,29
uc1.b3161628,00000014,1,0,CERRO DEL AGUA,LOC,0,14
uc1.b3161628,00000014,1,1,MEXICO,LOC,20,26
uc1.b3161628,00000014,1,2,D. F.,LOC,31,36
uc1.b3161628,00000014,1,3,MADRID,LOC,92,98
uc1.b3161628,00000014,1,4,ESPAÑA,LOC,103,109
uc1.b3161628,00000014,1,5,BUENOS AIRES,LOC,159,171
uc1.b3161628,00000014,1,6,ARGENTINA,LOC,173,182
uc1.b3161628,00000014,1,7,Siglo XXI,ORG,256,265
uc1.b3161628,00000014,1,8,Argentina Editores S.A. Perú,ORG,266,294
uc1.b3161628,00000014,1,9,Buenos Aires,LOC,300,312
uc1.b3161628,00000014,1,10,Siglo XXI,ORG,330,339
uc1.b3161628,00000014,1,11,México,LOC,378,384
uc1.b3161628,00000014,1,12,Impreso en Argentina,ORG,435,455
uc1.b3161628,00000014,1,13,Printed in Argentina,ORG,456,476
uc1.b3161628,00000015,0,0,Dictador de la Repuba,PER,14,35
uc1.b3161628,00000015,0,1,Plaza de la República,LOC,143,164
uc1.b3161628,00000015,3,0,Lean,MISC,49,53
uc1.b3161628,00000015,4,0,Excelencia,LOC,37,47
uc1.b3161628,00000015,8,0,Usía,PER,12,16
uc1.b3161628,00000015,9,0,Gaceta,MISC,19,25
uc1.b3161628,00000016,3,0,Peña,PER,13,17
uc1.b3161628,00000016,3,1,Molas,PER,22,27
uc1.b3161628,00000016,4,0,Molas,PER,29,34
uc1.b3161628,00000016,4,1,Primer Consulado,LOC,65,81
uc1.b3161628,00000016,4,2,Primera Dictadura,MISC,100,117
uc1.b3161628,00000016,5,0,Asamblea,LOC,46,54
uc1.b3161628,00000016,6,0,Altos,LOC,185,190
uc1.b3161628,00000016,7,0,Excelencia,MISC,41,51
uc1.b3161628,00000016,9,0,Mariano Antonio Molas,PER,55,76
uc1.b3161628,00000016,10,0,Manuel Pedro de Peña,PER,32,52
uc1.b3161628,00000016,12,0,Independencia,MISC,39,52
uc1.b3161628,00000016,23,0,Monte Sinaí,LOC,29,40
uc1.b3161628,00000016,28,0,Decretos Supremos,MISC,32,49
uc1.b3161628,00000016,35,0,Excelencia,MISC,14,24
uc1.b3161628,00000016,36,0,Molas,PER,59,64
uc1.b3161628,00000016,38,0,Molas,PER,23,28
uc1.b3161628,00000016,38,1,Peña,PER,40,44
uc1.b3161628,00000017,2,0,Usía,PER,21,25
uc1.b3161628,00000017,3,0,Vuecencia,PER,16,25
uc1.b3161628,00000017,4,0,Patiño,PER,26,32
uc1.b3161628,00000017,7,0,Peña,PER,21,25
uc1.b3161628,00000017,7,1,Molas,PER,30,35
uc1.b3161628,00000017,11,0,Clamor,MISC,19,25
uc1.b3161628,00000017,11,1,Molas,PER,49,54
uc1.b3161628,00000017,16,0,Señor,MISC,34,39
uc1.b3161628,00000017,37,0,Memoria,MISC,0,7
uc1.b3161628,00000018,0,0,Gobierno,LOC,27,35
uc1.b3161628,00000018,6,0,Atenas,LOC,47,53
uc1.b3161628,00000018,7,0,Areópago,LOC,0,8
uc1.b3161628,00000018,7,1,Continente,LOC,56,66
uc1.b3161628,00000018,8,0,el Paraguay,LOC,61,72
uc1.b3161628,00000018,15,0,Manuel Pedro de Peña,PER,7,27
uc1.b3161628,00000018,18,0,Real Academia,ORG,102,115
uc1.b3161628,00000018,21,0,Mariano Antonio Molas,PER,10,31
uc1.b3161628,00000018,21,1,Molas,PER,44,49
uc1.b3161628,00000018,21,2,Molas,PER,69,74
uc1.b3161628,00000018,21,3,Antigua Provincia del Paraguay,LOC,162,192
uc1.b3161628,00000018,22,0,la Patria,LOC,47,56
uc1.b3161628,00000018,23,0,Provincia Gigante de las Indias,LOC,66,97
uc1.b3161628,00000018,23,1,virreinato del Río de la Plata,LOC,157,187
uc1.b3161628,00000018,26,0,Pedro Martell,PER,20,33
uc1.b3161628,00000018,31,0,Charles Andreu-Legard,PER,66,87
uc1.b3161628,00000018,31,1,Bastilla,ORG,109,117
uc1.b3161628,00000019,9,0,Petrona Regalada,PER,22,38
uc1.b3161628,00000019,11,0,Señor,MISC,21,26
uc1.b3161628,00000019,13,0,Espíritu Santo,MISC,87,101
uc1.b3161628,00000019,22,0,Larios Galván,PER,15,28
uc1.b3161628,00000019,27,0,Señor,MISC,19,24
uc1.b3161628,00000019,34,0,Vuecencia,PER,14,23
uc1.b3161628,00000019,36,0,Patiño,PER,7,13
uc1.b3161628,00000019,37,0,Señor,MISC,8,13
uc1.b3161628,00000020,2,0,Excelencia,MISC,67,77
uc1.b3161628,00000020,8,0,Petrona Regalada,PER,31,47
uc1.b3161628,00000020,10,0,Su Merced,PER,27,36
uc1.b3161628,00000020,12,0,Usía,PER,8,12
uc1.b3161628,00000020,13,0,Petrona Regalada,PER,28,44
uc1.b3161628,00000020,19,0,Patiño,PER,8,14
uc1.b3161628,00000020,25,0,Manía inofensiva,ORG,0,16
uc1.b3161628,00000020,26,0,Catecismo Patrio Reformado,MISC,3,29
uc1.b3161628,00000020,29,0,Panés,PER,50,55
uc1.b3161628,00000021,2,0,agüerías,LOC,17,25
uc1.b3161628,00000021,2,1,Petrona Regalada,PER,53,69
uc1.b3161628,00000021,11,0,Larios Galván,PER,144,157
uc1.b3161628,00000021,14,0,Primera Junta Gubernativa,MISC,21,46
uc1.b3161628,00000021,15,0,Supremo Gobierno,LOC,12,28
uc1.b3161628,00000021,25,0,Petrona Regalada,PER,12,28
uc1.b3161628,00000021,44,0,França Velho,PER,24,36
uc1.b3161628,00000022,10,0,Sultán,MISC,6,12
uc1.b3161628,00000022,16,0,França Velho,PER,33,45
uc1.b3161628,00000022,33,0,Enserenado,LOC,0,10
uc1.b3161628,00000022,37,0,Petrona Regalada,PER,30,46
uc1.b3161628,00000022,42,0,Señor de la Paciencia,PER,38,59
uc1.b3161628,00000022,43,0,Dios Ensangrentado,PER,31,49
uc1.b3161628,00000022,44,0,Talismán,LOC,0,8
uc1.b3161628,00000022,45,0,Grada,LOC,0,5
uc1.b3161628,00000023,11,0,Sombra,MISC,0,6
uc1.b3161628,00000023,19,0,Rabelais,PER,101,109
uc1.b3161628,00000023,22,0,Broma famosa que llevará mi nombre,ORG,0,34
uc1.b3161628,00000023,22,1,Patiño,PER,82,88
uc1.b3161628,00000023,23,0,Excelencia,PER,47,57
uc1.b3161628,00000023,25,0,Señor,MISC,14,19
uc1.b3161628,00000023,27,0,Excelencia,MISC,31,41
uc1.b3161628,00000023,32,0,de la Peña,PER,22,32
uc1.b3161628,00000023,40,0,Patiño,PER,10,16
uc1.b3161628,00000024,13,0,Pelaje verde,PER,0,12
