vol_id,page,sentence_id,ent_id,entity,entity_type,start_char,end_char
uc1.b3881288,00000001,0,0,UC-NRLF B,ORG,1,10
uc1.b3881288,00000001,0,1,Sabato SOBRE HEROES Y TUMBAS,PER,27,55
uc1.b3881288,00000001,0,2,Seix Barral,LOC,75,86
uc1.b3881288,00000001,0,3,Biblioteca Breve,ORG,87,103
uc1.b3881288,00000002,0,0,Barbara Klemm,PER,7,20
uc1.b3881288,00000002,0,1,Ernesto Sabato,PER,21,35
uc1.b3881288,00000002,0,2,Rojas,LOC,45,50
uc1.b3881288,00000002,0,3,provincia de Buenos Aires,LOC,52,77
uc1.b3881288,00000002,0,4,Universidad de La Plata,ORG,144,167
uc1.b3881288,00000002,0,5,Laboratorio Curie,LOC,207,224
uc1.b3881288,00000002,1,0,Uno y el Universo,MISC,133,150
uc1.b3881288,00000002,1,1,Seix Barral,MISC,178,189
uc1.b3881288,00000002,1,2,Hombres y engranajes,MISC,198,218
uc1.b3881288,00000002,1,3,Seix Barral,MISC,246,257
uc1.b3881288,00000002,1,4,El escritor y sus fantasmas,MISC,266,293
uc1.b3881288,00000002,1,5,Seix Barral,MISC,321,332
uc1.b3881288,00000002,1,6,Apologías y rechazos,MISC,341,361
uc1.b3881288,00000002,1,7,Seix Barral,MISC,363,374
uc1.b3881288,00000007,0,0,ERNESTO SABATO SOBRE HÉROES Y TUMBAS,PER,0,36
uc1.b3881288,00000007,0,1,ERNESTO SABATO,MISC,96,110
uc1.b3881288,00000007,0,2,Seix Barral,PER,111,122
uc1.b3881288,00000007,0,3,Biblioteca Breve X,ORG,123,141
uc1.b3881288,00000008,0,0,Mario Blanco,PER,33,45
uc1.b3881288,00000008,0,1,Ernesto Sabato,PER,48,62
uc1.b3881288,00000008,0,2,"Editorial Seix Barral, S.A.",ORG,159,186
uc1.b3881288,00000008,0,3,Córcega,LOC,187,194
uc1.b3881288,00000008,0,4,Barcelona,LOC,206,215
uc1.b3881288,00000008,0,5,Argentina,LOC,237,246
uc1.b3881288,00000008,0,6,Argentina,LOC,315,324
