vol_id,page,sentence_id,ent_id,entity,entity_type,start_char,end_char
ien.35556008293953,2,0,0,Northwestern University Library,ORG,1,32
ien.35556008293953,2,0,1,"Evanston, Illinois 60201",LOC,33,57
ien.35556008293953,3,0,0,cerra de Chaco,LOC,0,14
ien.35556008293953,3,0,1,Meguay Planih Qyentina,PER,55,77
ien.35556008293953,5,0,0,Augusto Roa Bastos,PER,0,18
ien.35556008293953,5,0,1,Hijo de hombre,ORG,19,33
ien.35556008293953,5,0,2,Biblioteca clásica y contemporánea,ORG,36,70
ien.35556008293953,6,0,0,Northwestern University Library,ORG,1,32
ien.35556008293953,6,0,1,"Evanston, Illinois",LOC,33,51
ien.35556008293953,9,0,0,HIJO DE HOMBRE,PER,0,14
ien.35556008293953,10,0,0,究,LOC,0,1
ien.35556008293953,10,0,1,​,LOC,2,3
ien.35556008293953,11,0,0,"EDITORIAL LOSADA, S. A. BUENOS AIRES",ORG,49,85
ien.35556008293953,12,0,0,Marca y caracteristicas gráficas registradas en la Oficina de Palentes Marcas de la Vación,ORG,128,218
ien.35556008293953,12,0,1,"Editorial Losada, S. A. Bucnos",ORG,221,251
ien.35556008293953,12,0,2,Aires,LOC,252,257
ien.35556008293953,12,0,3,SILVIO BALDESSARI,PER,326,343
ien.35556008293953,12,0,4,"IMPRENTA DE LOS BUENOS AIRES, S, A. Rondeau 3274",ORG,454,502
ien.35556008293953,12,0,5,Buenos Aires,LOC,504,516
ien.35556008293953,12,0,6,Argentina,LOC,518,527
ien.35556008293953,12,0,7,Northwestern University Library,ORG,528,559
ien.35556008293953,15,0,0,Pealidad = ab del Parepay,LOC,0,25
ien.35556008293953,15,3,0,EZEQUIEL,PER,0,8
ien.35556008293953,15,3,1,HIMNO DE LOS MUERTOS DE LOS GUARANIES,PER,186,223
ien.35556008293953,17,0,0,I HIJO DE HOMBRE,PER,0,16
ien.35556008293953,17,5,0,Macario,PER,212,219
ien.35556008293953,17,6,0,Francia,LOC,150,157
ien.35556008293953,17,9,0,Macario Pitogüé,PER,7,22
ien.35556008293953,17,10,0,Goiburú,PER,13,20
ien.35556008293953,17,12,0,Karaí thuc coi,LOC,0,14
ien.35556008293953,17,14,0,Tembleque,PER,0,9
ien.35556008293953,17,15,0,Itapé,LOC,29,34
ien.35556008293953,18,0,0,Lima,LOC,28,32
ien.35556008293953,18,0,1,Guaira,LOC,112,118
ien.35556008293953,18,6,0,Villa Encarnación,LOC,47,64
ien.35556008293953,18,19,0,Santa Clara,PER,87,98
ien.35556008293953,18,21,0,Borja,LOC,85,90
ien.35556008293953,18,21,1,Villarrica,LOC,93,103
ien.35556008293953,19,1,0,cerro de Itapé,LOC,50,64
ien.35556008293953,19,3,0,rancho del Cristo,LOC,102,119
ien.35556008293953,19,4,0,viernes Santo,MISC,43,56
ien.35556008293953,19,5,0,Cristo,PER,3,9
ien.35556008293953,19,7,0,Descendimiento,MISC,49,63
ien.35556008293953,19,8,0,Crucificado,PER,51,62
ien.35556008293953,19,11,0,Cristo,PER,60,66
ien.35556008293953,19,16,0,Cristo,PER,61,67
ien.35556008293953,19,17,0,Viernes de la Pasión,MISC,288,308
ien.35556008293953,19,19,0,Cristo,PER,80,86
ien.35556008293953,19,19,1,Dios,PER,166,170
ien.35556008293953,19,21,0,Dios,PER,6,10
ien.35556008293953,20,1,0,Cristo del cerrito,PER,36,54
ien.35556008293953,20,3,0,Gaspar Mora,PER,86,97
ien.35556008293953,20,8,0,Macario,LOC,52,59
ien.35556008293953,20,17,0,Francia,LOC,42,49
ien.35556008293953,20,18,0,Crismas,PER,15,22
ien.35556008293953,20,19,0,Macario,PER,0,7
ien.35556008293953,20,19,1,Dictadura Perpetua,MISC,69,87
ien.35556008293953,20,20,0,Pilar,PER,21,26
ien.35556008293953,20,20,1,El Supremo,LOC,51,61
ien.35556008293953,21,2,0,Macario,PER,0,7
ien.35556008293953,21,12,0,—,PER,32,33
ien.35556008293953,21,18,0,Karai Guasú,LOC,3,14
ien.35556008293953,21,25,0,El Supremo,PER,18,28
ien.35556008293953,21,28,0,Karai Guasú,PER,107,118
ien.35556008293953,22,1,0,Plaza de Armas,LOC,17,31
ien.35556008293953,22,1,1,Noche de Reyes,MISC,36,50
ien.35556008293953,22,2,0,Karaí Guasú,PER,85,96
ien.35556008293953,22,5,0,Macario,PER,0,7
ien.35556008293953,22,7,0,Pilar,PER,62,67
ien.35556008293953,22,7,1,Macario,PER,78,85
ien.35556008293953,22,8,0,Karaí Guasú,LOC,77,88
ien.35556008293953,22,9,0,Pilar,PER,76,81
ien.35556008293953,22,9,1,Itapúa,LOC,100,106
ien.35556008293953,22,9,2,Candelaria,LOC,112,122
ien.35556008293953,22,9,3,Santa Ana,LOC,186,195
ien.35556008293953,22,11,0,Karaí,LOC,3,8
