vol_id,page,sentence_id,ent_id,entity,entity_type,start_char,end_char
inu.39000002009087,1,0,0,Juntacadáveres,LOC,9,23
inu.39000002009087,1,0,1,Juan Carlos Onetti,PER,24,42
inu.39000002009087,1,0,2,Seix Barral,ORG,57,68
inu.39000002009087,1,0,3,Biblioteca Breve,ORG,69,85
inu.39000002009087,2,0,0,Doris Lessing,PER,48,61
inu.39000002009087,2,0,1,Instrucciones para un viaje al infierno,MISC,63,102
inu.39000002009087,2,0,2,Luis Martín-Santos,PER,112,130
inu.39000002009087,2,0,3,Tiempo de destrucción,MISC,132,153
inu.39000002009087,2,0,4,H. Arendt,PER,163,172
inu.39000002009087,2,0,5,La condición humana (Ciencias Humanas,MISC,174,211
inu.39000002009087,2,0,6,Victor Erlich,PER,213,226
inu.39000002009087,2,0,7,Ciencias Humanas,LOC,248,264
inu.39000002009087,2,0,8,Betty R. Scharf,PER,266,281
inu.39000002009087,2,0,9,Ciencias Humanas,LOC,322,338
inu.39000002009087,2,0,10,N. Goodman,PER,340,350
inu.39000002009087,2,0,11,Ciencias Humanas,LOC,376,392
inu.39000002009087,2,0,12,Guillermo Cabrera Infante,PER,394,419
inu.39000002009087,2,0,13,Juan Goytisolo,PER,432,446
inu.39000002009087,2,0,14,Juan sin Tierra,PER,448,463
inu.39000002009087,2,0,15,Mario Vargas Llosa,PER,473,491
inu.39000002009087,2,0,16,Rafael Alberti,PER,520,534
inu.39000002009087,2,1,0,Roman Jakobson,PER,9,23
inu.39000002009087,2,1,1,Max Aub,PER,75,82
inu.39000002009087,2,1,2,Carlo Cassola,PER,115,128
inu.39000002009087,2,1,3,La tala del bosque,MISC,130,148
inu.39000002009087,2,1,4,G. Cabrera Infante,PER,159,177
inu.39000002009087,2,1,5,Carlos Fuentes,PER,212,226
inu.39000002009087,2,1,6,Terra nostra,ORG,228,240
inu.39000002009087,2,1,7,Rosa Chacel,PER,250,261
inu.39000002009087,2,1,8,Barrio de MaraviHas,LOC,263,282
inu.39000002009087,2,1,9,Michael Riffaterre,PER,292,310
inu.39000002009087,2,1,10,Ensayos de estilística estructural (Ciencias Humanas),MISC,312,365
inu.39000002009087,2,1,11,Jorge Semprún,PER,366,379
inu.39000002009087,2,1,12,E. Blanco-Amor,PER,405,419
inu.39000002009087,7,0,0,JUAN CARLOS,PER,0,11
inu.39000002009087,7,0,1,"BARRAL, S. A. BARCELONA",ORG,89,112
inu.39000002009087,7,0,2,MÉXICO df,ORG,121,130
inu.39000002009087,7,0,3,NDIANA URVING,PER,131,144
inu.39000002009087,8,0,0,Alfa,LOC,23,27
inu.39000002009087,8,0,1,Montevideo,LOC,29,39
inu.39000002009087,8,0,2,Carles Ameller,PER,90,104
inu.39000002009087,8,0,3,Juan Carlos Onetti,PER,187,205
inu.39000002009087,8,0,4,"Editorial Seix Barral, S. A.",ORG,297,325
inu.39000002009087,8,0,5,Tambor del Bruc,LOC,326,341
inu.39000002009087,8,0,6,Sant Joan Despí,LOC,346,361
inu.39000002009087,8,0,7,Barcelona,LOC,363,372
inu.39000002009087,8,0,8,Printed in Spain,ORG,433,449
inu.39000002009087,9,0,0,SUSANA SOCA,PER,5,16
inu.39000002009087,11,0,0,Enduro,LOC,80,86
inu.39000002009087,11,0,1,Junta,PER,88,93
inu.39000002009087,11,0,2,Santa María,LOC,207,218
inu.39000002009087,11,5,0,Barthé,PER,0,6
inu.39000002009087,11,8,0,María Bonita,PER,71,83
inu.39000002009087,11,8,1,Irene,PER,142,147
inu.39000002009087,11,8,2,Nelly,PER,175,180
inu.39000002009087,11,9,0,María Bonita,PER,32,44
inu.39000002009087,11,11,0,Santa María,LOC,7,18
inu.39000002009087,11,12,0,Nelly,PER,36,41
inu.39000002009087,11,13,0,Irene,PER,0,5
inu.39000002009087,12,3,0,María Bonita,PER,24,36
inu.39000002009087,12,4,0,Junta,PER,138,143
inu.39000002009087,12,7,0,Nelly—,PER,28,34
inu.39000002009087,12,9,0,María Bonita,PER,51,63
inu.39000002009087,12,10,0,Irene,PER,0,5
inu.39000002009087,12,11,0,Junta,PER,27,32
inu.39000002009087,12,15,0,Escuela Experimental,LOC,28,48
inu.39000002009087,12,15,1,Colonia,LOC,194,201
inu.39000002009087,12,18,0,Club,LOC,72,76
inu.39000002009087,13,0,0,hotel Plaza,LOC,0,11
inu.39000002009087,15,0,0,Tito,PER,115,119
inu.39000002009087,15,2,0,Tito,PER,288,292
inu.39000002009087,15,3,0,Tito,PER,28,32
inu.39000002009087,15,3,1,Cooperativa,LOC,56,67
inu.39000002009087,15,5,0,Tito,PER,42,46
inu.39000002009087,15,6,0,Tito,PER,13,17
inu.39000002009087,15,7,0,Tito,PER,40,44
inu.39000002009087,15,7,1,Bergner,PER,119,126
inu.39000002009087,15,7,2,Liga,MISC,161,165
inu.39000002009087,16,1,0,Julita,PER,71,77
inu.39000002009087,16,2,0,Acalycanto,LOC,0,10
inu.39000002009087,16,3,0,Tito,PER,33,37
inu.39000002009087,16,4,0,El Triunfo,LOC,291,301
inu.39000002009087,16,5,0,-Juntacadáveres,LOC,0,15
inu.39000002009087,16,5,1,Tito,PER,25,29
inu.39000002009087,16,7,0,"Larsen, Junta",PER,0,13
inu.39000002009087,16,7,1,El Liberal,PER,155,165
inu.39000002009087,16,7,2,Julita,PER,249,255
inu.39000002009087,16,8,0,Administración,MISC,147,161
inu.39000002009087,17,0,0,Experimental,MISC,170,182
inu.39000002009087,17,0,1,Santa María,LOC,281,292
inu.39000002009087,17,1,0,Ford de,MISC,367,374
inu.39000002009087,17,1,1,Carlos,PER,375,381
inu.39000002009087,17,2,0,Carlos,PER,0,6
inu.39000002009087,17,3,0,Tito,PER,0,4
inu.39000002009087,17,4,0,Junta,PER,0,5
inu.39000002009087,17,7,0,Larsen,PER,204,210
inu.39000002009087,17,7,1,Junta,PER,212,217
inu.39000002009087,17,7,2,Juntacadáveres,PER,220,234
inu.39000002009087,17,8,0,Junta,PER,196,201
inu.39000002009087,17,9,0,Junta,MISC,117,122
inu.39000002009087,18,0,0,Junta,MISC,50,55
inu.39000002009087,18,2,0,la Capital,LOC,22,32
inu.39000002009087,18,3,0,Ford de,MISC,248,255
inu.39000002009087,18,3,1,Carlos,PER,256,262
inu.39000002009087,18,6,0,Tito,PER,10,14
inu.39000002009087,18,7,0,Escuela,MISC,184,191
inu.39000002009087,18,8,0,Soria,LOC,124,129
inu.39000002009087,18,8,1,Colonia,LOC,183,190
inu.39000002009087,18,9,0,Carlos,PER,13,19
inu.39000002009087,18,9,1,Larsen,PER,131,137
inu.39000002009087,18,10,0,Santa María,LOC,82,93
inu.39000002009087,18,11,0,Ford,PER,54,58
inu.39000002009087,19,0,0,Santa María,PER,19,30
inu.39000002009087,19,2,0,Tito,PER,19,23
inu.39000002009087,19,4,0,Julita,PER,99,105
inu.39000002009087,19,5,0,Tito,PER,20,24
inu.39000002009087,19,8,0,Julita,PER,96,102
inu.39000002009087,21,0,0,Santa María,LOC,44,55
inu.39000002009087,21,0,1,Díaz Grey,PER,93,102
inu.39000002009087,21,0,2,Plaza,LOC,144,149
inu.39000002009087,21,0,3,Marcos,MISC,183,189
inu.39000002009087,21,3,0,Marcos,MISC,23,29
inu.39000002009087,21,4,0,Marcos—,PER,10,17
inu.39000002009087,21,7,0,Díaz Grey,PER,15,24
inu.39000002009087,21,10,0,Junta,MISC,82,87
inu.39000002009087,21,11,0,Marcos,MISC,53,59
inu.39000002009087,21,14,0,Díaz Grey,PER,0,9
inu.39000002009087,21,14,1,Junta,PER,20,25
inu.39000002009087,22,3,0,Díaz Grey,PER,0,9
inu.39000002009087,22,3,1,Barthé,PER,67,73
inu.39000002009087,22,4,0,Concejo,ORG,125,132
inu.39000002009087,22,4,1,Barthé,PER,195,201
inu.39000002009087,22,6,0,Barthé,PER,0,6
inu.39000002009087,22,6,1,Secretaría,LOC,87,97
inu.39000002009087,23,2,0,Barthé,PER,90,96
inu.39000002009087,23,5,0,Díaz Grey,PER,44,53
inu.39000002009087,23,6,0,Barthé,PER,0,6
inu.39000002009087,23,8,0,Barthé,PER,33,39
inu.39000002009087,24,6,0,Díaz Grey,PER,89,98
inu.39000002009087,24,8,0,Barthé,PER,24,30
inu.39000002009087,24,11,0,Barthé,PER,9,15
inu.39000002009087,24,15,0,Díaz Grey,PER,108,117
inu.39000002009087,24,18,0,Díaz Grey,PER,108,117
inu.39000002009087,25,0,0,Díaz,PER,17,21
inu.39000002009087,25,0,1,Grey,PER,22,26
inu.39000002009087,25,4,0,Arcelo,PER,0,6
inu.39000002009087,25,7,0,Barthé,PER,0,6
inu.39000002009087,25,9,0,Díaz Grey,PER,14,23
inu.39000002009087,25,11,0,Arcelo,PER,3,9
inu.39000002009087,25,12,0,Barthé,PER,16,22
inu.39000002009087,25,13,0,Díaz Grey,PER,24,33
inu.39000002009087,25,16,0,Barthé,PER,16,22
inu.39000002009087,25,22,0,Arcelo,PER,10,16
inu.39000002009087,25,24,0,Concejo,LOC,21,28
inu.39000002009087,26,3,0,Colonia,LOC,55,62
inu.39000002009087,26,4,0,Arcelo,PER,18,24
inu.39000002009087,26,11,0,Díaz Grey,PER,9,18
inu.39000002009087,26,14,0,Barthé,PER,96,102
inu.39000002009087,26,15,0,Díaz Grey,PER,0,9
inu.39000002009087,26,18,0,Barthé,PER,46,52
inu.39000002009087,27,0,0,IV BARTHÉ,ORG,0,9
inu.39000002009087,27,0,1,Barthé,PER,215,221
inu.39000002009087,27,1,0,Capital,LOC,17,24
inu.39000002009087,27,2,0,”,PER,25,26
inu.39000002009087,27,3,0,Díaz Grey,PER,76,85
inu.39000002009087,27,6,0,Díaz Grey-,PER,9,19
inu.39000002009087,27,11,0,Finca El Descanso,LOC,27,44
inu.39000002009087,27,11,1,Barthé,PER,66,72
inu.39000002009087,27,11,2,Colonia,LOC,82,89
inu.39000002009087,27,11,3,Rosario,LOC,105,112
inu.39000002009087,27,18,0,Euclides Barthé,PER,0,15
inu.39000002009087,28,0,0,Díaz Grey,PER,227,236
inu.39000002009087,28,0,1,Santa María,LOC,248,259
inu.39000002009087,28,0,2,Colonia,LOC,269,276
inu.39000002009087,28,0,3,Colonia,LOC,448,455
inu.39000002009087,28,1,0,Díaz Grey,PER,423,432
inu.39000002009087,28,5,0,Barthé,PER,0,6
inu.39000002009087,29,1,0,Díaz Grey,PER,50,59
inu.39000002009087,29,3,0,',PER,5,6
