vol_id,page,sentence_id,ent_id,entity,entity_type,start_char,end_char
mdp.49015000002668,1,0,0,MARIO VARGAS,PER,1,13
mdp.49015000002668,1,0,1,JANES P&J LITERARIA,PER,66,85
mdp.49015000002668,2,0,0,Mario Vargas Llosa,PER,0,18
mdp.49015000002668,2,0,1,Arequipa,LOC,29,37
mdp.49015000002668,2,0,2,Bolivia,LOC,64,71
mdp.49015000002668,2,0,3,Letras,MISC,105,111
mdp.49015000002668,2,1,0,Vargas Llosa,PER,55,67
mdp.49015000002668,2,1,1,Revue Française,ORG,116,131
mdp.49015000002668,2,1,2,Perú,LOC,138,142
mdp.49015000002668,2,1,3,Europa,LOC,165,171
mdp.49015000002668,2,1,4,Francia,LOC,173,180
mdp.49015000002668,2,1,5,España,LOC,182,188
mdp.49015000002668,2,1,6,Inglaterra,LOC,242,252
mdp.49015000002668,2,2,0,Premio Leopoldo Alas,MISC,66,86
mdp.49015000002668,2,3,0,La ciudad y los perros,MISC,19,41
mdp.49015000002668,2,3,1,Premio Biblioteca Breve,MISC,53,76
mdp.49015000002668,2,3,2,La casa verde,MISC,124,137
mdp.49015000002668,2,3,3,Conversación en la catedral,MISC,215,242
mdp.49015000002668,2,3,4,Pantaleón y las visitadoras,MISC,251,278
mdp.49015000002668,2,3,5,La tía Julia y el escribidor,MISC,288,316
mdp.49015000002668,2,4,0,Vargas Llosa,PER,68,80
mdp.49015000002668,2,4,1,La señorita de Tacna,MISC,108,128
mdp.49015000002668,2,5,0,Universidades de Río Piedras,ORG,121,149
mdp.49015000002668,2,5,1,Puerto Rico,LOC,151,162
mdp.49015000002668,2,5,2,Washington State,LOC,165,181
mdp.49015000002668,2,5,3,Columbia,LOC,183,191
mdp.49015000002668,2,5,4,Cambridge,LOC,194,203
mdp.49015000002668,2,5,5,Smithsonian Institution,ORG,213,236
mdp.49015000002668,2,5,6,Washington,LOC,240,250
mdp.49015000002668,2,6,0,Lima,LOC,20,24
mdp.49015000002668,3,0,0,DATE DUE,ORG,0,8
mdp.49015000002668,5,0,0,PLAZA & JANES,PER,0,13
mdp.49015000002668,7,0,0,La guerra del fin del mundo,ORG,0,27
mdp.49015000002668,9,0,0,La guerra del fin del mundo,ORG,0,27
mdp.49015000002668,9,0,1,Mario Vargas Llosa,PER,28,46
mdp.49015000002668,9,0,2,"Plaza & Janés Editores, S.A.",ORG,47,75
mdp.49015000002668,10,0,0,JORDI SANCHEZ,PER,32,45
mdp.49015000002668,10,1,0,LUIS A. LAGOS y ALEX ZISMAN,PER,22,49
mdp.49015000002668,10,1,1,Mayo,LOC,191,195
mdp.49015000002668,10,1,2,Mayo,LOC,274,278
mdp.49015000002668,10,2,0,Mario Vargas Llosa,PER,0,18
mdp.49015000002668,10,2,1,España,LOC,68,74
mdp.49015000002668,10,2,2,"JANES EDITORES, S. A. Virgen de Guadalupe",ORG,92,133
mdp.49015000002668,10,3,0,Esplugues de Llobregat,LOC,0,22
mdp.49015000002668,10,3,1,España,LOC,169,175
mdp.49015000002668,10,3,2,Editorial SEIX,ORG,185,199
mdp.49015000002668,10,3,3,"BARRAL, S. A.",ORG,200,213
mdp.49015000002668,10,3,4,Tambor del Bruc,LOC,214,229
mdp.49015000002668,10,3,5,Sant Joan Despí,LOC,236,251
mdp.49015000002668,10,3,6,España,LOC,350,356
mdp.49015000002668,10,3,7,Depósito Legal: B. 30559 1986,ORG,358,387
mdp.49015000002668,10,3,8,Printed in Spain,ORG,388,404
mdp.49015000002668,10,3,9,España,LOC,416,422
mdp.49015000002668,10,3,10,Constitució,LOC,441,452
mdp.49015000002668,10,4,0,Barcelona,LOC,6,15
mdp.49015000002668,11,0,0,Euclides,PER,2,10
mdp.49015000002668,11,0,1,Nélida Piñon,PER,58,70
mdp.49015000002668,13,0,0,​DOS al 11m re,ORG,5,19
mdp.49015000002668,13,0,1,​ADED,LOC,28,33
mdp.49015000002668,13,1,0,​Vista de Canudos tirada do alto da,ORG,8,43
mdp.49015000002668,13,1,1,Academico Martins Horcades,PER,57,83
mdp.49015000002668,15,0,0,Anti-Christo nasceu,LOC,4,23
mdp.49015000002668,15,0,1,Brasil,LOC,31,37
mdp.49015000002668,19,13,0,Credo,MISC,10,15
mdp.49015000002668,19,13,1,Padre Nuestro,MISC,20,33
mdp.49015000002668,19,13,2,Avemarías,MISC,40,49
mdp.49015000002668,19,16,0,Señor,MISC,99,104
mdp.49015000002668,19,17,0,Buen Jesús,PER,32,42
mdp.49015000002668,20,7,0,Norte del Brasil,LOC,40,56
mdp.49015000002668,20,11,0,Juicio Final,MISC,79,91
mdp.49015000002668,20,12,0,Buen Jesús,PER,24,34
mdp.49015000002668,20,14,0,Dios,PER,33,37
mdp.49015000002668,20,15,0,Padre,MISC,21,26
mdp.49015000002668,21,0,0,Aquel,PER,5,10
mdp.49015000002668,21,1,0,Perro,MISC,60,65
mdp.49015000002668,21,1,1,Demonio,MISC,112,119
mdp.49015000002668,21,6,0,Éſ,PER,0,2
mdp.49015000002668,21,14,0,casa del Señor,LOC,93,107
mdp.49015000002668,21,15,0,Buen Jesús,PER,163,173
mdp.49015000002668,21,17,0,Moisés,PER,144,150
mdp.49015000002668,21,17,1,Dios,PER,212,216
mdp.49015000002668,21,19,0,Imperio,MISC,31,38
mdp.49015000002668,21,19,1,República,MISC,65,74
mdp.49015000002668,21,19,2,Tucano,LOC,93,99
mdp.49015000002668,21,19,3,Soure,LOC,101,106
mdp.49015000002668,21,19,4,Amparo,LOC,108,114
mdp.49015000002668,21,19,5,Pombal,LOC,117,123
mdp.49015000002668,21,19,6,Bom Conselho,LOC,221,233
mdp.49015000002668,21,19,7,Geremoabo,LOC,238,247
mdp.49015000002668,21,19,8,Massacará,LOC,252,261
mdp.49015000002668,21,19,9,Inhambupe,LOC,267,276
mdp.49015000002668,21,19,10,Monte Santo,LOC,355,366
mdp.49015000002668,21,19,11,Entre Ríos,LOC,371,381
mdp.49015000002668,21,19,12,Abadía,LOC,386,392
mdp.49015000002668,21,19,13,Barracão,LOC,398,406
mdp.49015000002668,21,19,14,Itapicurú,LOC,458,467
mdp.49015000002668,21,19,15,Cumbe,LOC,469,474
mdp.49015000002668,21,19,16,Natuba,LOC,476,482
mdp.49015000002668,21,19,17,Mocambo,LOC,484,491
mdp.49015000002668,21,20,0,Alagoinhas,PER,67,77
mdp.49015000002668,21,20,1,Uauá,LOC,79,83
mdp.49015000002668,21,20,2,Jacobina,LOC,85,93
mdp.49015000002668,21,20,3,Itabaiana,LOC,95,104
mdp.49015000002668,21,20,4,Campos,LOC,106,112
mdp.49015000002668,21,20,5,Itabaianinha,LOC,114,126
mdp.49015000002668,21,20,6,Gerú,LOC,128,132
mdp.49015000002668,21,20,7,Riachão,LOC,134,141
mdp.49015000002668,21,20,8,Lagarto,PER,143,150
mdp.49015000002668,21,20,9,Simão Dias,LOC,152,162
mdp.49015000002668,21,21,0,Norte,LOC,116,121
mdp.49015000002668,22,0,0,Antonio Vicente,PER,11,26
mdp.49015000002668,22,0,1,Mendes Maciel,PER,41,54
mdp.49015000002668,22,1,0,Jornal de Notícias –,LOC,59,79
mdp.49015000002668,22,4,0,Dirección,MISC,48,57
mdp.49015000002668,22,5,0,Avisos Pagados,ORG,92,106
mdp.49015000002668,22,7,0,Lavativas Giffoni//,MISC,52,71
mdp.49015000002668,22,7,1,Flores Blancas,LOC,114,128
mdp.49015000002668,22,7,2,Vías Urinarias//,LOC,158,174
mdp.49015000002668,22,7,3,Madame A. de Carvalho//,PER,187,210
mdp.49015000002668,22,7,4,Primero de Marzo,LOC,215,231
mdp.49015000002668,22,16,0,Dirección,MISC,116,125
mdp.49015000002668,22,19,0,Jornal de Notícias,LOC,33,51
mdp.49015000002668,22,20,0,Partido Republicano Progresista,ORG,80,111
mdp.49015000002668,22,20,1,Brasil Unido,LOC,116,128
mdp.49015000002668,22,22,0,Epaminondas Gonçalves,PER,6,27
mdp.49015000002668,23,2,0,Director,MISC,12,20
mdp.49015000002668,23,7,0,Epaminondas,PER,0,11
mdp.49015000002668,23,9,0,Director,MISC,3,11
mdp.49015000002668,23,9,1,Canudos,LOC,148,155
mdp.49015000002668,23,9,2,Plaza de la Libertad,LOC,198,218
mdp.49015000002668,23,12,0,Jornal de Notícias,ORG,6,24
mdp.49015000002668,23,13,0,Canudos,LOC,44,51
mdp.49015000002668,23,14,0,Epaminondas,PER,10,21
mdp.49015000002668,23,17,0,Director,MISC,3,11
mdp.49015000002668,23,21,0,Epaminondas Gonçalves,PER,30,51
mdp.49015000002668,23,21,1,Bahía,LOC,96,101
mdp.49015000002668,23,22,0,República,MISC,43,52
mdp.49015000002668,23,23,0,Estado,LOC,53,59
mdp.49015000002668,23,25,0,Diário de Bahia,PER,40,55
mdp.49015000002668,23,26,0,Barón de Cañabrava,PER,7,25
mdp.49015000002668,23,26,1,Canudos,LOC,39,46
mdp.49015000002668,24,0,0,Avisos Pagados,ORG,22,36
mdp.49015000002668,24,1,0,Dirección,LOC,140,149
mdp.49015000002668,24,1,1,Epaminondas Gonçalves,PER,157,178
mdp.49015000002668,24,2,0,Estado de Bahía,LOC,37,52
mdp.49015000002668,24,2,1,Luis Viana,PER,74,84
mdp.49015000002668,24,2,2,Salvador,LOC,100,108
mdp.49015000002668,24,2,3,Noveno Batallón de Infantería,MISC,126,155
mdp.49015000002668,24,2,4,Teniente Pires Ferreira,PER,170,193
mdp.49015000002668,24,2,5,Canudos,LOC,223,230
mdp.49015000002668,24,2,6,Sebastianista Antonio Consejero,PER,301,332
mdp.49015000002668,24,4,0,Director,MISC,56,64
mdp.49015000002668,24,6,0,-Galileo Gall,PER,0,13
mdp.49015000002668,24,7,0,Bahía,LOC,51,56
mdp.49015000002668,24,8,0,Pombal,LOC,16,22
mdp.49015000002668,24,10,0,Pombal,PER,33,39
mdp.49015000002668,24,10,1,Tiburcio da Mota,PER,68,84
mdp.49015000002668,24,11,0,Pombal,LOC,25,31
mdp.49015000002668,24,12,0,Pombal,LOC,44,50
mdp.49015000002668,24,12,1,Tiburcio da Mota,PER,173,189
mdp.49015000002668,24,14,0,Don Casimiro,PER,11,23
mdp.49015000002668,24,14,1,Laguna del Buey,LOC,176,191
mdp.49015000002668,24,15,0,Don Casimiro,PER,0,12
mdp.49015000002668,24,15,1,Antonio,PER,23,30
mdp.49015000002668,25,0,0,Barón de Cañabrava,PER,13,31
mdp.49015000002668,25,1,0,Antonio,PER,2,9
mdp.49015000002668,25,1,1,Pombal,LOC,65,71
mdp.49015000002668,25,1,2,Tiburcio da Mota,PER,169,185
mdp.49015000002668,25,1,3,Pombal,LOC,202,208
mdp.49015000002668,25,2,0,cachaça,PER,105,112
mdp.49015000002668,25,3,0,Antonio,PER,34,41
mdp.49015000002668,25,4,0,Tuerto,MISC,61,67
mdp.49015000002668,25,5,0,Pombal,LOC,107,113
mdp.49015000002668,25,6,0,Tuerto,MISC,179,185
mdp.49015000002668,25,6,1,Antonio,PER,211,218
mdp.49015000002668,25,7,0,Dios,PER,40,44
mdp.49015000002668,25,8,0,Beatito,MISC,174,181
mdp.49015000002668,25,10,0,Cristo,PER,117,123
mdp.49015000002668,25,11,0,Judas,PER,68,73
mdp.49015000002668,25,11,1,Magdalena,PER,101,110
mdp.49015000002668,25,11,2,San Francisco de Sales,PER,193,215
mdp.49015000002668,25,12,0,Antonio,PER,0,7
mdp.49015000002668,25,13,0,Tuerto,MISC,45,51
mdp.49015000002668,25,13,1,Tuerto,MISC,219,225
mdp.49015000002668,25,15,0,Beatito,MISC,32,39
mdp.49015000002668,25,16,0,Pombal,LOC,301,307
mdp.49015000002668,26,0,0,Don Casimiro,PER,74,86
mdp.49015000002668,26,1,0,Virgen,MISC,107,113
mdp.49015000002668,26,1,1,Buen Jesús,PER,119,129
mdp.49015000002668,26,2,0,Beatito,MISC,20,27
mdp.49015000002668,26,3,0,Pombal,LOC,44,50
mdp.49015000002668,26,3,1,Adelfo,PER,90,96
mdp.49015000002668,26,3,2,Ferreira,PER,151,159
mdp.49015000002668,26,5,0,Antonio,PER,2,9
mdp.49015000002668,26,5,1,Simeón,PER,56,62
mdp.49015000002668,26,5,2,Pombal,PER,147,153
mdp.49015000002668,26,6,0,Beatito,MISC,23,30
mdp.49015000002668,26,6,1,Consejero,MISC,359,368
mdp.49015000002668,26,6,2,Beatito,MISC,373,380
mdp.49015000002668,26,7,0,Padre Moraes,PER,3,15
mdp.49015000002668,26,8,0,Dios,PER,51,55
mdp.49015000002668,26,9,0,Beatito,MISC,3,10
mdp.49015000002668,26,9,1,el Tuerto,PER,58,67
mdp.49015000002668,26,10,0,Pombal,LOC,98,104
mdp.49015000002668,26,10,1,Don Casimiro,PER,413,425
mdp.49015000002668,26,11,0,Beatito,MISC,3,10
mdp.49015000002668,26,11,1,Pombal,LOC,35,41
mdp.49015000002668,26,12,0,Beatito,MISC,14,21
mdp.49015000002668,26,12,1,Pombal,LOC,68,74
mdp.49015000002668,26,13,0,Pombal,LOC,72,78
mdp.49015000002668,26,13,1,Beatito,MISC,83,90
mdp.49015000002668,27,2,0,Consejero,MISC,36,45
mdp.49015000002668,27,2,1,Pombal,LOC,49,55
mdp.49015000002668,27,2,2,Antonio el Beatito,PER,57,75
mdp.49015000002668,27,3,0,Consejero,MISC,51,60
mdp.49015000002668,27,4,0,Pombal,PER,16,22
mdp.49015000002668,27,6,0,Consejero,MISC,3,12
mdp.49015000002668,27,6,1,Beatito,MISC,99,106
mdp.49015000002668,27,6,2,Buen Jesús,PER,202,212
mdp.49015000002668,27,8,0,Consejero,MISC,28,37
mdp.49015000002668,27,9,0,Dios,PER,59,63
mdp.49015000002668,27,10,0,Beatito,MISC,3,10
mdp.49015000002668,27,11,0,Consejero,MISC,3,12
mdp.49015000002668,27,13,0,Beatito,MISC,18,25
mdp.49015000002668,27,14,0,Consejero,MISC,32,41
mdp.49015000002668,27,14,1,Pombal,LOC,259,265
mdp.49015000002668,27,14,2,Beatito,MISC,335,342
mdp.49015000002668,27,16,0,Moraes,PER,9,15
mdp.49015000002668,27,16,1,Dios,PER,139,143
mdp.49015000002668,27,16,2,Diablo,MISC,243,249
mdp.49015000002668,27,17,0,Antonio,PER,5,12
mdp.49015000002668,27,18,0,Consejero,MISC,23,32
mdp.49015000002668,27,19,0,Pombal,LOC,10,16
mdp.49015000002668,27,19,1,Beatito,MISC,21,28
mdp.49015000002668,27,19,2,Umberto Salustiano,PER,62,80
mdp.49015000002668,28,1,0,Pombal,PER,5,11
mdp.49015000002668,28,2,0,Dios,PER,124,128
mdp.49015000002668,28,2,1,Beatito,MISC,371,378
mdp.49015000002668,28,4,0,Consejero,MISC,13,22
mdp.49015000002668,28,4,1,Beatito,MISC,55,62
mdp.49015000002668,28,6,0,Consejero,MISC,55,64
mdp.49015000002668,28,6,1,Beatito,MISC,143,150
mdp.49015000002668,28,7,0,Consejero,MISC,3,12
mdp.49015000002668,28,8,0,Consejero,MISC,87,96
