vol_id,page,sentence_id,ent_id,entity,entity_type,start_char,end_char
pst.000009472877,1,0,0,Lezama Lima,PER,279,290
pst.000009472877,1,0,1,Argumental de,PER,358,371
pst.000009472877,1,0,2,José Cemia,PER,395,405
pst.000009472877,1,1,0,Lezama,PER,28,34
pst.000009472877,1,1,1,Carlos Monsiväis,PER,142,158
pst.000009472877,1,1,2,José Lezama,PER,159,170
pst.000009472877,7,0,0,José Lezama,PER,1,12
pst.000009472877,7,0,1,Alianza Tirac,ORG,27,40
pst.000009472877,8,0,0,THE PENNSYLVANIA STATE UNIVERSITY LIBRARIES STATE PENN VERSITY THE 1855 BEHREN COLLEGE LIDIARY,ORG,1,95
pst.000009472877,11,0,0,Paradiso,LOC,0,8
pst.000009472877,13,0,0,José Lezama,PER,0,11
pst.000009472877,13,0,1,Paradiso Alianza,ORG,17,33
pst.000009472877,13,0,2,PENNSYLVANIA STATE UNIVERSITY COMMONWEALTH CAMPUS LIBRARIES BEHREND,ORG,42,109
pst.000009472877,14,0,0,México,LOC,32,38
pst.000009472877,14,0,1,Julio Cortázar,PER,85,99
pst.000009472877,14,0,2,Carlos Monsiváis,PER,102,118
pst.000009472877,14,0,3,"Ediciones Era, S. A.",ORG,160,180
pst.000009472877,14,0,4,México,LOC,182,188
pst.000009472877,14,0,5,"Alianza Editorial, S. A.",ORG,191,215
pst.000009472877,14,0,6,Madrid,LOC,217,223
pst.000009472877,14,0,7,Calle Milán,ORG,230,241
pst.000009472877,14,0,8,Lavel,LOC,321,326
pst.000009472877,14,1,0,Los Llanos,LOC,0,10
pst.000009472877,14,2,0,Humanes (Madrid),LOC,0,16
pst.000009472877,14,2,1,Printed in Spain,ORG,17,33
pst.000009472877,15,0,0,Baldovina,PER,22,31
pst.000009472877,15,2,0,Baldovina,PER,0,9
pst.000009472877,15,4,0,Truni,PER,15,20
pst.000009472877,15,8,0,Baldovina,PER,44,53
pst.000009472877,16,2,0,Baldovina,PER,0,9
pst.000009472877,16,3,0,Coronel,MISC,19,26
pst.000009472877,16,3,1,Coronel,MISC,224,231
pst.000009472877,16,3,2,Baldovina,PER,261,270
pst.000009472877,16,3,3,Baldovina,PER,534,543
pst.000009472877,16,4,0,Baldovina,PER,22,31
pst.000009472877,16,4,1,casa del,LOC,39,47
pst.000009472877,16,4,2,Jefe,PER,48,52
pst.000009472877,16,8,0,José Cemí,PER,57,66
pst.000009472877,16,8,1,Jefe,MISC,102,106
pst.000009472877,16,8,2,Baldovina,PER,205,214
pst.000009472877,16,10,0,Jefe,PER,53,57
pst.000009472877,16,11,0,Juan Izquierdo,PER,56,70
pst.000009472877,16,12,0,Jefe,MISC,243,247
pst.000009472877,17,1,0,Coronel,PER,24,31
pst.000009472877,17,4,0,José Cemí,PER,71,80
pst.000009472877,17,4,1,Violante,PER,357,365
pst.000009472877,17,5,0,Coronel,MISC,15,22
pst.000009472877,17,5,1,Enciclopedia Británica,MISC,27,49
pst.000009472877,17,5,2,Felipe Trigo,PER,64,76
pst.000009472877,17,5,3,primera Guerra Mundial,MISC,105,127
pst.000009472877,17,5,4,Siberia,LOC,321,328
pst.000009472877,17,5,5,Kamchatka,LOC,338,347
pst.000009472877,17,6,0,Coronel,MISC,28,35
pst.000009472877,18,0,0,Rialta,PER,69,75
pst.000009472877,18,0,1,Coronel,PER,110,117
pst.000009472877,18,1,0,Baldovina,PER,10,19
pst.000009472877,18,4,0,Baldovina,PER,7,16
pst.000009472877,18,7,0,Baldovina,PER,9,18
pst.000009472877,18,12,0,Baldovinano,PER,39,50
pst.000009472877,18,14,0,Coronel,PER,75,82
pst.000009472877,19,2,0,Baldovina,PER,168,177
pst.000009472877,19,3,0,Baldovina,PER,7,16
pst.000009472877,19,4,0,Zoar,PER,11,15
pst.000009472877,19,4,1,Truni,PER,18,23
pst.000009472877,19,4,2,Morla,PER,39,44
pst.000009472877,19,4,3,Coronel,MISC,63,70
pst.000009472877,19,4,4,Baldovina,PER,101,110
pst.000009472877,19,5,0,Coronel,MISC,150,157
pst.000009472877,19,6,0,Coronel,PER,24,31
pst.000009472877,19,7,0,Zoar,PER,11,15
pst.000009472877,19,8,0,Truni,PER,11,16
pst.000009472877,19,9,0,Baldovina,PER,0,9
pst.000009472877,19,10,0,Zoar,PER,22,26
pst.000009472877,19,11,0,Truni,PER,0,5
pst.000009472877,19,11,1,Trinidad,PER,7,15
pst.000009472877,19,12,0,Zoar,PER,4,8
pst.000009472877,19,12,1,Padre,MISC,25,30
pst.000009472877,19,12,2,Baldovina,PER,32,41
pst.000009472877,19,12,3,Truni,PER,60,65
pst.000009472877,19,12,4,Espíritu Santo,PER,74,88
pst.000009472877,19,13,0,Baldovina,PER,0,9
pst.000009472877,20,0,0,Zoar,PER,30,34
pst.000009472877,20,1,0,Truni,PER,0,5
pst.000009472877,20,2,0,San Cristóbal,LOC,8,21
pst.000009472877,20,5,0,Truni,PER,0,5
pst.000009472877,20,5,1,Iván el Terrible,PER,114,130
pst.000009472877,20,6,0,Zoar,PER,13,17
pst.000009472877,20,7,0,Zoar,PER,65,69
pst.000009472877,20,7,1,Truni,PER,128,133
pst.000009472877,20,8,0,Europa,LOC,80,86
pst.000009472877,20,9,0,Baldovina,PER,35,44
pst.000009472877,20,9,1,Zoar,PER,71,75
pst.000009472877,20,9,2,Truni,PER,90,95
pst.000009472877,20,10,0,Baldovina,PER,7,16
pst.000009472877,20,10,1,Cemí,PER,51,55
pst.000009472877,20,14,0,Baldovina,PER,24,33
pst.000009472877,20,15,0,Zoar,PER,39,43
pst.000009472877,20,15,1,Truni,PER,62,67
pst.000009472877,20,16,0,Truni,PER,178,183
pst.000009472877,20,17,0,Truni,PER,26,31
pst.000009472877,20,20,0,Truni,PER,59,64
pst.000009472877,20,21,0,—,PER,7,8
pst.000009472877,21,2,0,Cemí,PER,19,23
pst.000009472877,21,3,0,Baldovina,PER,0,9
pst.000009472877,21,8,0,Baldovina,PER,0,9
pst.000009472877,21,18,0,Coronel,PER,186,193
pst.000009472877,22,0,0,Las estaciones,MISC,36,50
pst.000009472877,22,1,0,Baldovina,PER,11,20
pst.000009472877,22,2,0,Coronel,PER,8,15
pst.000009472877,22,2,1,Rialta,PER,30,36
pst.000009472877,22,4,0,El Coronel,PER,155,165
pst.000009472877,22,4,1,Baldovina,PER,229,238
pst.000009472877,22,7,0,Erinnias,PER,48,56
pst.000009472877,22,8,0,Baldovina,PER,17,26
pst.000009472877,22,9,0,Coronel,PER,24,31
pst.000009472877,22,10,0,Coronel,PER,3,10
pst.000009472877,22,11,0,Santa Flora,PER,46,57
pst.000009472877,22,12,0,Arca,MISC,153,157
pst.000009472877,22,13,0,José Cemí,PER,0,9
pst.000009472877,22,14,0,Pepito,PER,127,133
pst.000009472877,22,14,1,Pepito,PER,135,141
pst.000009472877,23,3,0,Augusta,PER,10,17
pst.000009472877,23,6,0,Juan Izquierdo,PER,27,41
pst.000009472877,23,8,0,Cá,PER,0,2
pst.000009472877,23,11,0,Marie Monnier,PER,137,150
pst.000009472877,23,11,1,Rialta,PER,165,171
pst.000009472877,23,12,0,Chantilly,LOC,200,209
pst.000009472877,23,12,1,Malinas,LOC,218,225
pst.000009472877,23,14,0,Rialta,PER,25,31
pst.000009472877,23,15,0,Augusta,PER,10,17
pst.000009472877,24,1,0,Federico Uhrbach,PER,154,170
pst.000009472877,24,2,0,Edad Media,MISC,112,122
pst.000009472877,24,4,0,Juan Izquierdo,PER,54,68
pst.000009472877,24,4,1,Salleron,LOC,139,147
pst.000009472877,24,5,0,Augusta,PER,10,17
pst.000009472877,24,5,1,Georgia,LOC,122,129
pst.000009472877,24,6,0,José Cemí,PER,0,9
pst.000009472877,24,6,1,Abuela,MISC,66,72
pst.000009472877,24,7,0,Coronel,MISC,69,76
pst.000009472877,24,7,1,Amsterdam,LOC,241,250
pst.000009472877,24,7,2,Liverpool,LOC,256,265
pst.000009472877,25,2,0,Coronel,MISC,112,119
pst.000009472877,25,2,1,Mont Blanc,LOC,211,221
pst.000009472877,25,3,0,Augusta,PER,73,80
pst.000009472877,25,4,0,Abuela,PER,3,9
pst.000009472877,25,10,0,José Cemí,PER,21,30
pst.000009472877,25,10,1,Juan Izquierdo,PER,75,89
pst.000009472877,25,10,2,Jefe,MISC,255,259
pst.000009472877,25,10,3,Jefe,MISC,292,296
pst.000009472877,25,10,4,West Point,ORG,333,343
pst.000009472877,25,11,0,Campos,PER,74,80
pst.000009472877,25,11,1,María Cristina,PER,102,116
pst.000009472877,25,12,0,Jefe,MISC,150,154
pst.000009472877,25,12,1,Luis Leng,PER,203,212
