vol_id,page,sentence_id,ent_id,entity,entity_type,start_char,end_char
txu.059173004388781,1,0,0,Jorge Luis BORGES,PER,1,18
txu.059173004388781,2,0,0,UNIVERSITY OF TEXAS AT AUSTIN GEN LIBS,ORG,0,38
txu.059173004388781,2,0,1,THE NETTIE LEE BENSON LATIN AMERICAN,ORG,69,105
txu.059173004388781,2,0,2,COLLECTION of The General Libraries,ORG,106,141
txu.059173004388781,2,0,3,University of Texas at Austin,ORG,142,171
txu.059173004388781,2,0,4,Harley Browning,PER,185,200
txu.059173004388781,3,0,0,LIBRARY USE ONLY,ORG,1,17
txu.059173004388781,7,0,0,Jorge Luis BORGES,PER,0,17
txu.059173004388781,8,0,0,"R.B.A., Proyectos Editoriales, S.A. Emecé Editores, S.A.,",ORG,21,78
txu.059173004388781,8,0,1,Buenos Aires,LOC,79,91
txu.059173004388781,8,0,2,"Alianza Editorial, S.A.,",ORG,100,124
txu.059173004388781,8,0,3,Madrid,LOC,125,131
txu.059173004388781,8,0,4,"Editorial Planeta-De Agostini, S.A.,",ORG,157,193
txu.059173004388781,8,0,5,Córcega,LOC,199,206
txu.059173004388781,8,0,6,Barcelona (España),LOC,223,241
txu.059173004388781,8,0,7,Neslé Soulé,PER,263,274
txu.059173004388781,8,0,8,Printed in Spain,ORG,322,338
txu.059173004388781,8,0,9,España,LOC,350,356
txu.059173004388781,8,0,10,Marco Ibérica,ORG,371,384
txu.059173004388781,8,0,11,"Distribuidora de Ediciones, S.A. Carretera de Irún",ORG,386,436
txu.059173004388781,8,1,0,Fuencarral,LOC,20,30
txu.059173004388781,8,1,1,Madrid-34,LOC,32,41
txu.059173004388781,8,1,2,CAYFOSA,LOC,53,60
txu.059173004388781,8,1,3,Carretera de Caldas,LOC,62,81
txu.059173004388781,8,2,0,Santa Perpètua de Mogoda,LOC,6,30
txu.059173004388781,8,2,1,Barcelona,LOC,32,41
txu.059173004388781,9,0,0,Esther Zemborain de Torres,PER,2,28
txu.059173004388781,11,0,0,El jardín de senderos que se bifurcan,ORG,0,37
txu.059173004388781,13,1,0,El jardín de senderos que se bifurcan,MISC,11,48
txu.059173004388781,13,2,0,Babiloniano,PER,47,58
txu.059173004388781,13,3,0,Babel,PER,56,61
txu.059173004388781,13,3,1,Sur,LOC,160,163
txu.059173004388781,13,3,2,Leucipo,PER,206,213
txu.059173004388781,13,3,3,Lasswitz,PER,219,227
txu.059173004388781,13,3,4,Lewis Carroll,PER,232,245
txu.059173004388781,13,3,5,Aristóteles,PER,251,262
txu.059173004388781,13,4,0,Las ruinas circulares,MISC,3,24
txu.059173004388781,13,4,1,Pierre Menard,PER,44,57
txu.059173004388781,13,4,2,Quijote,MISC,69,76
txu.059173004388781,14,2,0,Carlyle,PER,13,20
txu.059173004388781,14,2,1,Sartor Resartus,MISC,24,39
txu.059173004388781,14,2,2,Butler,PER,45,51
txu.059173004388781,14,2,3,The Fair Haven,MISC,55,69
txu.059173004388781,14,5,0,Tlön,MISC,10,14
txu.059173004388781,14,5,1,Uqbar,MISC,16,21
txu.059173004388781,14,5,2,Orbis Tertius,MISC,23,36
txu.059173004388781,14,5,3,Examen de la obra de Herbert Quain,MISC,41,75
txu.059173004388781,14,5,4,El acercamiento a Almotásim,MISC,77,104
txu.059173004388781,14,6,0,The Sacred Fount,MISC,41,57
txu.059173004388781,14,7,0,James,PER,38,43
txu.059173004388781,14,7,1,B,MISC,58,59
txu.059173004388781,14,7,2,A,MISC,69,70
txu.059173004388781,14,7,3,C,MISC,73,74
txu.059173004388781,14,7,4,El acercamiento a Almotásim,MISC,79,106
txu.059173004388781,14,7,5,B,MISC,140,141
txu.059173004388781,14,7,6,Z,MISC,170,171
txu.059173004388781,14,7,7,B,MISC,181,182
txu.059173004388781,14,8,0,Jorge Luis Borges,PER,2,19
txu.059173004388781,14,8,1,Buenos Aires,LOC,20,32
txu.059173004388781,15,0,0,Uqbar,LOC,6,11
txu.059173004388781,15,0,1,Orbis Tertius,PER,13,26
txu.059173004388781,15,0,2,Uqbar,PER,106,111
txu.059173004388781,15,1,0,calle Gaona,LOC,65,76
txu.059173004388781,15,1,1,Ramos Mejía,LOC,81,92
txu.059173004388781,15,1,2,The Anglo-American Cyclopaedia,MISC,130,160
txu.059173004388781,15,1,3,Nueva York,LOC,162,172
txu.059173004388781,15,1,4,Encyclopaedia Britannica,MISC,237,261
txu.059173004388781,15,3,0,Bioy Casares,PER,0,12
txu.059173004388781,16,0,0,Aulti,PER,0,5
txu.059173004388781,16,2,0,Bioy Casares,PER,9,21
txu.059173004388781,16,2,1,Uqbar,LOC,60,65
txu.059173004388781,16,3,0,The Anglo-American Cyclopaedia,ORG,67,97
txu.059173004388781,16,3,1,Uqbar,MISC,134,139
txu.059173004388781,16,5,0,Upsala,LOC,68,74
txu.059173004388781,16,5,1,Ural-Altaic Languages,MISC,117,138
txu.059173004388781,16,5,2,Uqbar,LOC,166,171
txu.059173004388781,16,6,0,Bioy,PER,0,4
txu.059173004388781,16,7,0,Ukbar,MISC,47,52
txu.059173004388781,16,7,1,Ucbar,MISC,54,59
txu.059173004388781,16,7,2,Ooqbar,MISC,61,67
txu.059173004388781,16,7,3,Ookbar,MISC,69,75
txu.059173004388781,16,7,4,Oukbahr,MISC,77,84
txu.059173004388781,16,7,5,Irak,LOC,134,138
txu.059173004388781,16,7,6,Asia Menor,LOC,145,155
txu.059173004388781,16,9,0,Bioy,PER,110,114
txu.059173004388781,16,10,0,Justus Perthes,PER,41,55
txu.059173004388781,16,11,0,Bioy,PER,18,22
txu.059173004388781,16,11,1,Buenos Aires,LOC,38,50
txu.059173004388781,16,12,0,Uqbar,PER,47,52
txu.059173004388781,16,12,1,Enciclopedia,MISC,79,91
txu.059173004388781,17,1,0,Enciclopedia,MISC,15,27
txu.059173004388781,17,5,0,Erdkunde,MISC,75,83
txu.059173004388781,17,5,1,Ritter,PER,87,93
txu.059173004388781,17,5,2,Uqbar,PER,130,135
txu.059173004388781,17,6,0,Bioy,PER,21,25
txu.059173004388781,17,6,1,Anglo-American Cyclopaedia,MISC,58,84
txu.059173004388781,17,7,0,Tor-Ups,MISC,61,68
txu.059173004388781,17,8,0,Uqbar,MISC,62,67
txu.059173004388781,17,10,0,Encyclopaedia Britannica,MISC,67,91
txu.059173004388781,17,11,0,Bioy,PER,0,4
txu.059173004388781,17,13,0,Bioy,PER,24,28
txu.059173004388781,17,16,0,Jorasán,LOC,83,90
txu.059173004388781,18,0,0,Uqbart Armenia,LOC,2,16
txu.059173004388781,18,0,1,Erzerum,LOC,18,25
txu.059173004388781,18,1,0,Esmerdis,PER,49,57
txu.059173004388781,18,2,0,Uqbar,LOC,42,47
txu.059173004388781,18,3,0,Tsai Jaldún,LOC,46,57
txu.059173004388781,18,3,1,delta del Axa,LOC,63,76
txu.059173004388781,18,7,0,Uqbar,LOC,54,59
txu.059173004388781,18,7,1,Mlejnas,LOC,196,203
txu.059173004388781,18,7,2,Tlön,LOC,209,213
txu.059173004388781,18,7,3,Uqbar,LOC,357,362
txu.059173004388781,18,7,4,Bernard Quaritch,PER,407,423
txu.059173004388781,18,8,0,Lesbare und lesenswerthe Bemerkungen über das Land Ukkbar in Klein-Asien,MISC,12,84
txu.059173004388781,18,8,1,Johannes Valentinus Andreä,PER,112,138
txu.059173004388781,18,9,0,Haslam,PER,44,50
txu.059173004388781,18,9,1,A general history of labyrinths,MISC,72,103
txu.059173004388781,19,0,0,De Quincey,MISC,57,67
txu.059173004388781,19,0,1,Writings,MISC,69,77
txu.059173004388781,19,0,2,Rosa-Cruz,LOC,212,221
txu.059173004388781,19,1,0,Biblioteca Nacional,LOC,24,43
txu.059173004388781,19,2,0,Uqbar,LOC,138,143
txu.059173004388781,19,3,0,Enciclopedia de Bioy,MISC,24,44
txu.059173004388781,19,4,0,Carlos Mastronardi,PER,18,36
txu.059173004388781,19,4,1,Corrientes,LOC,103,113
txu.059173004388781,19,4,2,Talcahuano,LOC,116,126
txu.059173004388781,19,4,3,Anglo-American Cyclopaedia,ORG,160,186
txu.059173004388781,19,5,0,Uqbar,MISC,45,50
txu.059173004388781,19,6,0,Herbert Ashe,PER,42,54
txu.059173004388781,19,6,1,ferrocarriles del Sur,LOC,73,94
txu.059173004388781,19,6,2,Adrogué,LOC,120,127
txu.059173004388781,20,2,0,Inglaterra,LOC,23,33
txu.059173004388781,20,6,0,Ashe,PER,0,4
txu.059173004388781,20,7,0,Rio Grande do Sul,LOC,66,83
txu.059173004388781,20,8,0,Dios me perdone,ORG,249,264
txu.059173004388781,20,9,0,Herbert Ashe,PER,58,70
txu.059173004388781,20,10,0,Brasil,LOC,31,37
txu.059173004388781,20,12,0,Ashe,PER,0,4
txu.059173004388781,21,0,0,Uqbar y,PER,40,47
txu.059173004388781,21,0,1,Orbis Tertius,PER,55,68
txu.059173004388781,21,1,0,Noche de las Noches,MISC,39,58
txu.059173004388781,21,8,0,Orbis Tertius,LOC,145,158
txu.059173004388781,21,13,0,Néstor Ibarra,PER,0,13
txu.059173004388781,21,13,1,N. R. F.,ORG,47,55
txu.059173004388781,21,13,2,Ezequiel Martínez Estrada,PER,94,119
txu.059173004388781,21,13,3,Drieu La Rochelle,PER,122,139
txu.059173004388781,22,2,0,Américas,LOC,53,61
txu.059173004388781,22,2,1,Europa,LOC,67,73
txu.059173004388781,22,3,0,Alfonso Reyes,PER,0,13
txu.059173004388781,22,5,0,Tlön,PER,81,85
txu.059173004388781,22,6,0,Leibniz,PER,81,88
txu.059173004388781,22,10,0,Tlön,LOC,26,30
txu.059173004388781,22,11,0,Onceno Tomo,MISC,55,66
txu.059173004388781,23,1,0,Tlön,LOC,92,96
txu.059173004388781,23,3,0,Hume,PER,0,4
txu.059173004388781,23,3,1,Berkeley,PER,45,53
txu.059173004388781,23,4,0,Tlön,LOC,82,86
txu.059173004388781,23,9,0,Ursprache,PER,36,45
txu.059173004388781,23,12,0,Xul Solar,MISC,0,9
txu.059173004388781,24,0,0,Ursprache,LOC,5,14
txu.059173004388781,24,0,1,Onceno Tomo,MISC,41,52
txu.059173004388781,24,4,0,Meinong,PER,69,76
txu.059173004388781,24,12,0,Tlön,LOC,37,41
txu.059173004388781,24,13,0,Tlön,LOC,50,54
txu.059173004388781,25,4,0,Spinoza,PER,0,7
txu.059173004388781,25,13,0,Philosophie des Als Ob,ORG,71,93
txu.059173004388781,25,15,0,Los meEn ch hon re,ORG,0,18
txu.059173004388781,25,15,1,"At, ha Buku",ORG,30,41
txu.059173004388781,26,0,0,Tlön,PER,13,17
txu.059173004388781,26,1,0,Juzgan,PER,0,6
txu.059173004388781,26,4,0,Tlön,PER,111,115
txu.059173004388781,26,9,0,Tlön,PER,23,27
txu.059173004388781,26,9,1,RUSSELL,PER,46,53
txu.059173004388781,27,3,0,X,MISC,145,146
txu.059173004388781,27,4,0,Y,MISC,11,12
txu.059173004388781,27,5,0,Z,MISC,12,13
txu.059173004388781,27,6,0,X,MISC,22,23
txu.059173004388781,27,10,0,Tlön,PER,15,19
txu.059173004388781,28,8,0,Tlön,LOC,43,47
txu.059173004388781,28,10,0,Shakespeare,PER,43,54
txu.059173004388781,28,10,1,William Shakespeare,PER,60,79
txu.059173004388781,29,3,0,X,MISC,0,1
txu.059173004388781,29,3,1,Z,MISC,15,16
txu.059173004388781,29,3,2,X,MISC,77,78
txu.059173004388781,29,3,3,X,MISC,80,81
txu.059173004388781,29,5,0,Schopenhauer,PER,0,12
txu.059173004388781,29,5,1,Schopenhauer,PER,37,49
txu.059173004388781,29,5,2,Parerga und Paralipomena,MISC,109,133
txu.059173004388781,29,6,0,Tlön,PER,16,20
txu.059173004388781,30,2,0,Tlön,LOC,18,22
txu.059173004388781,30,6,0,Tao Te King,MISC,65,76
txu.059173004388781,30,6,1,1001 Noches,MISC,83,94
txu.059173004388781,30,11,0,Tlön,LOC,51,55
txu.059173004388781,31,1,0,Onceno Tomo,MISC,90,101
txu.059173004388781,31,10,0,hrônir,PER,27,33
txu.059173004388781,31,10,1,Onceno Tomo,MISC,43,54
txu.059173004388781,32,9,0,Salto Oriental,LOC,0,14
txu.059173004388781,32,10,0,Posdata,LOC,0,7
txu.059173004388781,32,11,0,Antologia de la literatura fantástica,MISC,56,93
txu.059173004388781,33,0,0,Gunnar Erfjord,PER,54,68
txu.059173004388781,33,0,1,Hinton,PER,84,90
txu.059173004388781,33,0,2,Herbert Ashe,PER,109,121
txu.059173004388781,33,1,0,Ouro Preto,LOC,34,44
