vol_id,page,sentence_id,ent_id,entity,entity_type,start_char,end_char
uc1.32106011103568,00000001,0,0,UNIVERSITY OF CALIFORNIA SANTA CRUZ,ORG,1,36
uc1.32106011103568,00000001,0,1,MALTE VARGAS LLOSA,ORG,55,73
uc1.32106011103568,00000001,0,2,La ciudad y los perros ottore,ORG,74,103
uc1.32106011103568,00000005,0,0,BIBLIOTECA DE BOLSILLO,ORG,0,22
uc1.32106011103568,00000005,0,1,MARIO VARGAS LLOSA,PER,48,66
uc1.32106011103568,00000005,0,2,Arequipa,LOC,76,84
uc1.32106011103568,00000005,0,3,Perú,LOC,86,90
uc1.32106011103568,00000005,1,0,Universidad de San Marcos de,ORG,28,56
uc1.32106011103568,00000005,1,1,Lima,LOC,57,61
uc1.32106011103568,00000005,1,2,Madrid,LOC,85,91
uc1.32106011103568,00000005,2,0,París,LOC,32,37
uc1.32106011103568,00000005,2,1,Londres,LOC,58,65
uc1.32106011103568,00000005,2,2,Barcelona,LOC,70,79
uc1.32106011103568,00000005,3,0,Piura,LOC,43,48
uc1.32106011103568,00000005,3,1,Los jefes,MISC,90,99
uc1.32106011103568,00000005,3,2,Premio Leopoldo Alas,MISC,115,135
uc1.32106011103568,00000005,3,3,La ciudad y los perros,MISC,207,229
uc1.32106011103568,00000005,3,4,Premio Biblioteca Breve,MISC,245,268
uc1.32106011103568,00000005,3,5,Premio de la Crítica,MISC,282,302
uc1.32106011103568,00000005,4,0,La casa verde,MISC,36,49
uc1.32106011103568,00000005,4,1,Premio de la Crítica,MISC,74,94
uc1.32106011103568,00000005,4,2,Premio Internacional de Literatura Rómulo Gallegos,MISC,108,158
uc1.32106011103568,00000005,5,0,Los cachorros,MISC,33,46
uc1.32106011103568,00000005,5,1,Conversación en La Catedral,MISC,58,85
uc1.32106011103568,00000005,5,2,García Márquez,PER,98,112
uc1.32106011103568,00000005,5,3,Pantaleón у las visitadoras,MISC,150,177
uc1.32106011103568,00000005,5,4,La orgía perpetua,MISC,189,206
uc1.32106011103568,00000005,5,5,Flaubert,PER,208,216
uc1.32106011103568,00000005,5,6,Madame Bovary,MISC,220,233
uc1.32106011103568,00000005,5,7,La tía Julia y el escribidor,MISC,246,274
uc1.32106011103568,00000005,5,8,La señorita de Tacna,MISC,297,317
uc1.32106011103568,00000005,5,9,Kathie у el hipopótamo,MISC,319,341
uc1.32106011103568,00000005,5,10,La chunga,MISC,343,352
uc1.32106011103568,00000005,5,11,El loco de los balcones,MISC,355,378
uc1.32106011103568,00000005,5,12,La guerra del fin del mundo,MISC,393,420
uc1.32106011103568,00000005,5,13,Historia de Mayta,MISC,422,439
uc1.32106011103568,00000005,5,14,¿Quién mató a Palomino Molero?,MISC,441,471
uc1.32106011103568,00000005,6,0,El hablador,MISC,0,11
uc1.32106011103568,00000005,6,1,Elogio de la madrastra,MISC,14,36
uc1.32106011103568,00000005,7,0,Contra viento y marea,MISC,64,85
uc1.32106011103568,00000005,7,1,La verdad de las mentiras,MISC,117,142
uc1.32106011103568,00000005,7,2,Carta de batalla por Tirant lo Blanc,MISC,145,181
uc1.32106011103568,00000005,8,0,El pez en el agua,MISC,49,66
uc1.32106011103568,00000005,8,1,Lituma en los Andres,MISC,79,99
uc1.32106011103568,00000005,8,2,Premio Planeta,MISC,114,128
uc1.32106011103568,00000007,0,0,Mario Vargas Llosa,PER,0,18
uc1.32106011103568,00000007,0,1,La ciudad y los perros,ORG,19,41
uc1.32106011103568,00000008,0,0,Univ.,ORG,0,5
uc1.32106011103568,00000008,1,0,Neslé Soulé,PER,45,56
uc1.32106011103568,00000008,1,1,Biblioteca de Bolsillo,LOC,82,104
uc1.32106011103568,00000008,1,2,Mario Vargas Llosa,PER,127,145
uc1.32106011103568,00000008,1,3,Perú,LOC,230,234
uc1.32106011103568,00000008,1,4,"Editorial Seix Barral, S. A. y",ORG,251,281
uc1.32106011103568,00000008,1,5,Córcega,LOC,282,289
uc1.32106011103568,00000008,1,6,Barcelona,LOC,301,310
uc1.32106011103568,00000008,1,7,España,LOC,372,378
uc1.32106011103568,00000011,1,0,JEAN PAUL SARTRE,PER,0,16
uc1.32106011103568,00000013,0,0,Jaguar,PER,19,25
uc1.32106011103568,00000013,1,0,Porfirio Cava,PER,201,214
uc1.32106011103568,00000013,5,0,Cava-,PER,13,18
uc1.32106011103568,00000013,9,0,Cava,PER,0,4
uc1.32106011103568,00000013,12,0,Cava,PER,5,9
uc1.32106011103568,00000013,15,0,Boa,PER,6,9
uc1.32106011103568,00000013,17,0,Jaguar,PER,3,9
