vol_id,page,sentence_id,ent_id,entity,entity_type,start_char,end_char
uc1.b3600201,00000001,0,0,UC-NRLF B,ORG,1,10
uc1.b3600201,00000002,0,0,Ber Berkely Berkeley,PER,124,144
uc1.b3600201,00000002,1,0,Berkeley Berkeley Berkeley,PER,2,28
uc1.b3600201,00000002,2,0,Beck Cesley Berkeley Berk,PER,104,129
uc1.b3600201,00000003,0,0,Berkeley,LOC,0,8
uc1.b3600201,00000003,0,1,UNIVERSITY OF CHI' I * OF THE UNIVERSITY OF CALIFORNIA Berkeley AY OF THE UNIVERSITY OF CALIFORNIA Berkely 0 OF THE UNIVERSITY OF CALIFORNIA \ NIA LIBRARY OF THE UNIVERSITY OF CALIFORNIA LIBRARY OF THE UNIVERSITY Berkeley Berkeley AUVA,ORG,9,244
uc1.b3600201,00000005,0,0,MARIO BENEDETTI,PER,1,16
uc1.b3600201,00000009,0,0,Primavera con una esquina rota,ORG,0,30
uc1.b3600201,00000011,0,0,Mario Benedetti,PER,0,15
uc1.b3600201,00000011,0,1,Primavera con una esquina rota,ORG,16,46
uc1.b3600201,00000012,0,0,Alberto Diez,PER,41,53
uc1.b3600201,00000012,0,1,Editorial Nueva Imagen,ORG,62,84
uc1.b3600201,00000012,0,2,México,LOC,105,111
uc1.b3600201,00000012,0,3,D. F.,LOC,116,121
uc1.b3600201,00000012,0,4,Apartado Postal,LOC,122,137
uc1.b3600201,00000012,0,5,México 1,LOC,143,151
uc1.b3600201,00000012,0,6,D. F.,LOC,153,158
uc1.b3600201,00000012,0,7,México,LOC,170,176
uc1.b3600201,00000013,0,0,1.,ORG,0,2
uc1.b3600201,00000015,0,0,amanhã,PER,58,64
uc1.b3600201,00000015,0,1,Morreria,LOC,66,74
uc1.b3600201,00000015,0,2,amanhã,PER,110,116
uc1.b3600201,00000015,1,0,"Almanaque caduco, espejo roto",ORG,16,45
uc1.b3600201,00000015,1,1,RAÚL GONZÁLEZ TUÑÓN :,ORG,46,67
uc1.b3600201,00000017,0,0,Índice Intramuros,PER,0,17
uc1.b3600201,00000017,0,1,Don Rafael,PER,82,92
uc1.b3600201,00000017,0,2,Exilios (Caballo verde,PER,115,137
uc1.b3600201,00000017,0,3,Beatriz,PER,139,146
uc1.b3600201,00000017,0,4,Intramuros,PER,164,174
