"id","title","year","language","authors"
"txu.059173024462719","Una nube llamada Helena; [ensayos]","1958","spa","Lanuza, José Luis, 1903-"
"uc1.$b774760","Advenimiento,","1947","spa","Capdevila, Arturo, 1889-1967."
"txu.059173026715098","El derrumbe /","1985","spa","Yudicello, Lucio, 1950-"
"uva.x000516455","El ratón; novela.","1970","spa","Nella Castro, António."
"txu.059173000710656","De antihéroes y guerras /","1993","spa","Mantel, A. R. (Antonio Raúl)"
"inu.39000005992131","Bajo el terror [novela]","1924","spa","Aliaga Sarmiento, Rosalba."
"txu.059173026563954","Una naranja, el mundo /","1977","spa","Régoli de Mullen, Alicia."
"hvd.hnlhs4","Misia Jeromita.","1898","spa","Ocanios, Carlos María, 1860-1949."
"inu.39000001369862","Hombres en soledad /","1986","spa","Gálvez, Manuel, 1882-1962."
"mdp.39015028320383","La mitad de nada /","1977","spa","Tarnopolsky, Samuel."
"mdp.39015065467246","Tres domingos /","1960","spa","Bombal, Susana."
"uc1.b3778861","Gabriel Andaral /","1971","spa","Mallea, Eduardo, 1903-"
"mdp.39015062914737","Esta generación perdida.","1945","spa","Dickmann, Max, 1902-"
"mdp.39015032438353","El sustituto : [Novela]/","1954","spa","Mazzanti, Carlos."
"txu.059173023798791","Asesinato de perfil; novela.","1962","spa","Amenta, Edgardo."
"txu.059173004863160","Los fuegos de San Telmo /","1979","spa","Díaz, José Pedro."
"txu.059173028018233","El hacedor de silencio /","1985","spa","Di Benedetto, Antonio, 1922-1986."
"txu.059173023798317","La pista del zorro perdido, novela.","1941","spa","Alonso, Silvestre."
"inu.30000076406630","Sanitarios centenarios /","2000","spa","Sorrentino, Fernando."
"txu.059173027989667","Eisejuaz /","1973","spa","Gallardo, Sara."
"mdp.39015036723305","Cuadros de una exposición I /","1984","spa","Albertella, Jorge Luis."
"txu.059173023955288","Los pájaros del bosque; novela.","1964","spa","Picchetti, Leonor, 1942-"
"yale.39002088548541","Si fueras como Octavio [novela inédita].","1922","spa","Saldías, José Antonio, 1891-"
"uc1.b3688811","La pradera de los asfódelos /","1988","spa","Benítez, Rubén."
"txu.059173026575942","Los límites ardientes : novela /","1984","spa","Sibilla, Victoria."
"txu.059173026572434","Donde sopló el olvido /","1979","spa","Felgueras, Esteban M."
"uc1.$b150171","Aventura en la Patagonia; [novela]","1970","spa","Faura Varela, Emma."
"txu.059173023777882","Política y pecado.","1965","spa","Caprotta, Ricardo Américo."
"uc1.$b150172","El cura de Tránsito : novela /","1957","spa","Fernández, Lirio."
"txu.059173024587408","Los que no mueren /","1959","spa","Rivera, Andrés."
"txu.059173026587908","Una madre /","1973","spa","Guido, Beatriz."
"uc1.$b457900","La razon del topo; novela","1971","spa","Peltzer, Federico."
"txu.059173023798340","Amor en tinieblas.","1963","spa","Alonso, Luisa."
"uc1.$b774740","Entre dos luces.","1917","spa","Ocantos, Carlos María, 1860-1949."
"txu.059173026560424","Los pájaros del lago /","1985","spa","Peña, Héctor Rodolfo."
"uc1.$b774745","Tobi /","1896","spa","Ocantos, Carlos María, 1860-1949."
"txu.059173026583543","El Bache /","1981","spa","Della Valle, Eric."
"mdp.39015036719253","Donde sopla la nostalgia /","1985","spa","Goldberg, Mauricio, 1950-"
"txu.059173026734627","La yumba, no sólo es un tango : novela /","1978","spa","Gorbán, Luis."
"txu.059173028015177","Cuadernos de un delfín / Elsa Isabel Bornemann ; ilus., Alberto Peri.","1976","spa","Bornemann, Elsa Isabel."
"txu.059173024411150","Es difícil empezar a vivir.","1941","spa","Verbitsky, Bernardo."
"txu.059173024525127","Viento sur; novela de ambiente austral.","1954","spa","Mediavilla, Gregorio."
"txu.059173024529966","El gaucho Núñez, novela del campo entrerriano. Carátula de Güida.","1944","spa","Mouliá, Enrique de."
"txu.059173023955277","La palabra mágica; novela.","1966","spa","Picchetti, Leonor, 1942-"
"uc1.$b457907","Pequeñas miserias.","1915","spa","Ocantos, Carlos María, 1860-1949."
"uc1.$b162155","Polvo y espanto /","1971","spa","Arias, Abelardo."
"uc1.$b149178","Los inquisidores : novela.","1967","spa","Orgambide, Pedro G."
"wu.89107564379","Palomas tristes tiene la paz / E.D. Borthry.","1982","spa","Borthiry, Enrique David."
"txu.059173024488097","Gente sencilla. [Novela]","1957","spa","Hosne, Roberto, 1913-"
"txu.059173023997936","El camino de los dioses (novela de la próxima guerra)","1926","spa","Ugarte, Manuel, 1878-1951."
"uc1.$b457908","El almacén. [Novela.","1959","spa","Olivari, Nicolás, 1900-1966."
"uc1.$b150161","El camino.","1959","spa","Elizalde, Fernando."
"txu.059173023777893","El hombre al que le negaron la libertad.","1965","spa","Caprotta, Ricardo Américo."
"uc1.$b457910","En el fondo.","1969","spa","Orphée, Elvira."
"uc1.$b150165","El hombre olividado;","1958","spa","Falcioni, Rodolfo."
"txu.059173026735970","Angélica sin alas /","1985","spa","Guiñazú, Graciela."
"osu.32435009548165","Madre América : novela /","1930","spa","Dickmann, Max."
"txu.059173010223028","La mariposa y la máscara /","2000","spa","Pichón Rivière, Marcelo."
"txu.059173023956597","La culpable; [novela.","1964","spa","Ocampo de Pera, María Ofelia."
"txu.059173026578190","Un poco de amor; novela.","1973","spa","Muñoz, Carmen."
"inu.39000005601013","Concierto en mi; novela.","1956","spa","Levinson, Luisa Mercedes."
"uc1.$b774759","Los otros, las máscaras.","1973","spa","Canto, Estela."
"txu.059173026570235","Casino; [novela]","1962","spa","Trossero, Luis van."
"txu.059173023997947","El crimen de las máscaras.","1924","spa","Ugarte, Manuel, 1878-1951."
"txu.059173027910984","La heredad /","1980","spa","Elizalde, Fernando."
"txu.059172131636932","La novela de Perón /","1987","spa","Martínez, Tomaás Eloy."
"mdp.39015063077278","Historia de la policía.","1913","spa","Albert, Luis J."
"txu.059173027934916","Domingo sin fútbol : novela /","1980","spa","Lozzia, Luis Mario."
