"id","title","year","language","authors"
"mdp.39015028321902","No haya paz en tu tumba /","1978","spa","Ochoa, Rubén."
"txu.059173024342262","La prima Elvira; novela.","1958","spa","Avila, Federico, 1904-"
"uc1.$b152895","La caída /","1974","spa","Salazar Mostajo, Jorge."
"hvd.32044010405967","La tierra natal.","1889","spa","Gorriti, Juana Manuela, 1816-1892."
"uc1.b3783135","Más allá del horizonte : novela histórica /","1979","spa","Aguirre Lavayén, Joaquín."
"txu.059173024522548","En los círculos del viento;; novela.","1967","spa","Olmedo López, Eduardo."
"inu.39000005073999","Historia del rey chiquito /","1971","spa","Díaz Machicao, Porfirio."
"txu.059173024520407","Trópico del norte : la novela de un Siringal Paceño /","1949","spa","Pardo Valle, Nazario."
"txu.059173026593649","Tras la cortina de incienso : novela /","1977","spa","Bruzzone de Bloch, Olga."
"uc1.b3783406","Sentina de escombros /","1976","spa","Rocha Monroy, Enrique."
"uc1.b3159618","El Valle del Cuarto Menguante","1975","spa","Boero Rojo, Hugo."
"uc1.b3158376","La de los ojos de luna /","1974","spa","Sanabria Fernández, Hernando."
"txu.059173024335609","Guaporé, hombre y río.","1960","spa","Chávez Suárez, Sócrates."
"txu.059172144932439","Felipe Delgado /","1979","spa","Sáenz, Jaime."
"pst.000005000036","Soledad : novela /","1928","spa","Mitre, Bartolomé, 1821-1906; Mille y Giménez, Juan,"
"txu.059173026720054","La Cruz del Sur (novela).","1969","spa","Ortiz Sanz, Fernando."
"uc1.$b152899","Los vulnerables.","1973","spa","Vallejo de Bolívar, Gaby, 1941-"
"txu.059173026721421","Las campanas de Jerusalén (novela).","1973","spa","Baptista Morales, Javier."
"uc1.b3441308","La vieja casona : escenas del vivir conventillero /","1975","spa","Cruz Rivera, Carlos; David and Mary Rivera Radell Family Trust"
"txu.059173008135755","Manchay Puytu, el amor que quiso ocultar Dios /","1981","spa","Taboada Terán, Néstor."
"uc1.$b145033","La Virgen del lago. (Novela) Crónica de una romería a Copacabana.","1920","spa","Chirveches, Armando, 1883-1926."
"txu.059173026722355","Mundo onírico.","1973","spa","Cruz Rivera, Carlos."
"txu.059173026592952","Chuquiapu-marka : novela hístorica de la ciudad de La Paz /","1973","spa","Aliaga Suárez, Héctor, 1907-"
"uc1.b3169019","La montaña hechizada /","1977","spa","Rodríguez Eguívar, Luis."
"txu.059173026558896","Los signos de la lluvia : novela /","1978","spa","Vargas, Manuel."
