"id","title","year","language","authors"
"txu.059173024518609","Caín, Abel y una mujer /","1944","spa","Vega, Daniel de la, 1892-1971."
"uc1.$b761449","Coiron : tierra de los horizontes sumergidos /","1968","spa","Belmar, Daniel."
"txu.059173024585209","El rancho [novela.","1986","spa","Ramírez, Julio Tadeo, b. 1889."
"txu.059173023889693","Un muerto de mal criterio /","1960","spa","Prieto, Jenaro, 1889-1946."
"txu.059173024551310","Hijo de ladron.","1968","spa","Rojas, Manuel, 1896-1973."
"txu.059173023798328","Páginas del lago. Lago Budi, otoño 1952.","1961","spa","Alonzo, Pedro (Alonzo Retamal), 1929-"
"mdp.39015065604236","Roble huacho.","1955","spa","Belmar, Daniel."
"txu.059173024334402","Un hombre por el camino, novela.","1950","spa","Castro, Baltazar, 1919-"
"uc1.$b152491","La caleta.","1957","spa","Guerrero, Leoncio."
"txu.059173023778830","Lucrecia Durney.","1917","spa","Cid Baeza, Mercedes Astenia."
"txu.059173024331255","Andina.","1949","spa","Cisternas, Marina."
"txu.059173026539858","Tierra fugitiva /","1980","spa","Guerrero, Manuel, 1913-"
"uc1.a0009115908","La varillita de virtud; discurso preliminar de Ricardo Montaner Bello.","1919","spa","Contreras V., Francisco, 1877-1933."
"uc1.$b761321","En la ciudad de los Césares.","1939","spa","Délano, Luis Enrique, 1907-1985."
"txu.059173024547298","Un festín para Adalberto.","1956","spa","Onfray, Jorge."
"uc1.$b260846","Azul del sur.","1943","spa","Koenenkampf, Guillermo."
"uc1.$b152482","Isabel Talbot.","1955","spa","Meléndez, Luis, 1891-"
"txu.059173019191827","El inútil /","2004","spa","Edwards Bello, Joaquín, 1888-1968."
"uc1.$b761439","Sonata,","1955","spa","Belmar, Daniel."
"uc1.$b152483","Mi patria fué su música. [Novela]","1953","spa","Ladrón de Guevara, Matilde."
"uc1.$b152486","Fiebre lenta, novela.","1950","spa","Laso Jarpa, Hugo."
"uc1.$b152364","La hija del pintor","1961","spa","Casanova de Vidal, Adelina."
"txu.059173024358739","Ventana adentro.","1961","spa","Aldunate, María Elena"
"txu.059173026711723","Los hombres del hombre /","1978","spa","Barrios, Eduardo, 1884-1963."
"txu.059173023954070","El adios a la vida; novela.","1917","spa","Saldíaz Vázquez, José."
"uc1.$b460182","El tiempo banal ; novela.","1955","spa","Atías, Guillermo, 1917-"
"txu.059173026707588","La reina de Rapa Nui /","1983","spa","Prado, Pedro, 1886-1952."
"uc1.b3181431","Los conquistadores de la Antártida /","1979","spa","Coloane, Francisco, 1910-2002."
"txu.059173024549227","La maraña : novela /","1958","spa","Lynn, Fedora."
"txu.059173024357893","Manuel Luceno","1931","spa","Acevedo Hernández, Antonio, 1886-1962."
"mdp.39015058464747","Los hombres obscuros; novela.","1961","spa","Guzmán, Nicomedes, 1914-1964."
"txu.059173024342127","En vez de la rutina; novela.","1959","spa","Atias, Waldo."
"mdp.39015027213365","Desde lo alto (novela) ...","1917","spa","Balmaceda Valdés, Gustavo, d 1924."
"uc1.$b152474","Ni esto ni aquello; novela.","1952","spa","Llona, Marcos."
"uc1.$b152477","Muerte en Shanghai.","1953","spa","Marin, Juan, 1897-"
"txu.059173023943165","Una llave y un camino /","1966","spa","Petit, Magdalena."
"uc1.b2833920","El cepo /","1958","spa","Laso, Jaime, 1926-"
"txu.059173023953090","Nunca; novela.","1911","spa","Quirós, Adolfo."
"uc1.$b162390","De otra arcilla.","1960","spa","Montaldo, Gloria."
"uc1.$b761340","Los contrabandistas.","1956","spa","Cruz, Luciano."
"txu.059173024526458","Regazo amargo /","1967","spa","Merino Reyes, Luis."
"uc1.$b761466","Los de adentro /","1945","spa","Espejo, Francisco Javier."
"uc1.$b761344","Puerto de fuego; novela.","1956","spa","Délano, Luis Enrique, 1907-1985."
"txu.059173024399146","Los demás.","1952","spa","Heiremans, Luis Alberto."
"uc1.$b761463","Pillan, novela","1934","spa","Espinosa, Januario, 1879-1946."
"uc1.$b260868","Meditaciones de un hombre solitario.","1940","spa","Sánchez Bolaños, Roberto."
"txu.059173023776562","La Maria grande; novela.","1936","spa","Barros, Juan."
"uc1.b4276549","El purgatorio /","1996","spa","Drago, Gonzalo."
"uva.x001828066","Desarraigados;","1926","spa","Millán U., Augusto, 1889-"
"txu.059173024468497","Relevo, novela.","1961","spa","García Barría, Narciso."
"uc1.$b168929","El huésped ; novela.","1958","spa","Aguirre, Margarita."
"uc1.b3158536","El ideal de una esposa","1971","spa","Grez, Vicente, 1843-1909."
"txu.059173024411285","Cuatro estaciones; novela.","1958","spa","Vergara Prieto, José Manuel, 1929-"
"txu.059173024440931","Diablofuerte [historia de un suplementero]","1939","spa","Fermandoiz, José Luis."
"txu.059173024358885","Fuego, cuchillo y lazo; tipos y paisajes chilenos","1943","spa","Alcalde Cruchaga, Francisco."
"txu.059173023956112","Escalamiento difícil; novela.","1913","spa","Ovalle Castillo, Francisco Javier."
"inu.39000004130691","Gran señor y rajadiablos : texto original completo en dos tomos /","1983","spa","Barrios, Eduardo, 1884-1963."
"uc1.$b162387","Carbon : novela /","1953","spa","Muñoz, Diego."
"uc1.$b761338","Una estilográfica diligente; relatos de un periodista.","1951","spa","Croxatto, Mario."
"uc1.$b761337","Un remordimiento, recuerdos de juventud.","1909","spa","Cox-Stuven, Mariana."
"uc1.$b162382","Somos hechos de barro [novela]","1952","spa","Nib, Norma."
"hvd.32044080650260","Flor silvestre.","1916","spa","Santa Cruz y Ossa, Elvira, 1886-"
"uc1.$b761335","El laurel sobre la lira, novela.","1946","spa","Délano, Luis Enrique, 1907-1985."
"txu.059173024391596","Sombras, novela.","1928","spa","Nemo, Celso."
"txu.059173024556801","Nieves eternas (novela) ...","1911","spa","Pinochet Le-Brun, Tancredo, 1879-1957."
"txu.059173026710200","La vida simplemente /","1983","spa","Castro, Oscar, 1910-1947."
"txu.059173024469434","Sangre de murciélago; novela.","1959","spa","Godoy, Juan, 1911-1981."
"uc1.32106011992515","Coronación /","1978","spa","Donoso, José, 1924-"
"txu.059173026538447","La cuna de Esmeraldo; observaciones y orientaciones americanas, preludio de una novela chilena.","1918","spa","Edwards Bello, Joaquín, 1888-1968."
"txu.059173026731301","Pena de muerte /","1974","spa","Lafourcade, Enrique, 1927-"
"txu.059173026708365","Golondrina de Invierno : novela /","1971","spa","Domingo Silva, Víctor, 1882-1960."
"mdp.39015027222143","Bestia dañina : novela /","1926","spa","Brunet, Marta, 1901-"
"txu.059173023749118","El surco /","1916","spa","Henríquez Pérez, Honorio."
"uc1.$b260883","En los dominios de Ahriman, novela.","1935","spa","Martínez Rozas, Salvador."
"uc1.$b460148","Montaña adentro, novela.","1933","spa","Brunet, Marta, 1901-"
"txu.059173024541655","Hijo del salitre /","1968","spa","Teitelboim, Volodia, 1916-"
"uc1.$b771582","Fantasmas necesarios; novela para tímidos.","1949","spa","Tejeda, Juan, 1953-"
"txu.059173024554974","Memorias de un amargado.","1918","spa","Romero, Alberto, 1896-"
"mdp.39015028331067","Vida y milagros de un primer actor; novela.","1926","spa","Moock, Armando, 1894-1942."
"uiuo.ark:/13960/s24jpj9mj7x","Soliloquios de un hombre extraviado /","1925","spa","Romero, Alberto, 1896-"
"mdp.39015027224214","Crónica del hombre.","1960","spa","Jaramillo, Hernán."
"mdp.39015065469218","Cuero duro; novela.","1958","spa","Jaramillo, Hernán."
"uc1.b3159808","El principe y las ovejas","1961","spa","Lafourcade, Enrique"
"txu.059173024532836","Ranquil : novela de la tierra /","1958","spa","Lomboy, Reinaldo."
"txu.059173002162970","Emelina, novela","1927","spa","Darío, Rubén, 1867-1916."
"txu.059173024390243","De repente; novela.","1964","spa","Muñoz, Diego."
"uc1.$b761306","Una lágrima para el juez.","1961","spa","González Zenteno, Luis."
"uc1.b3528927","Candia.","1950","spa","Aldunate, María Elena"
"txu.059173024541644","La semilla en la arena, novela.","1957","spa","Teitelboim, Volodia, 1916-2008."
"txu.059173023777204","La puebla; novela de la provincia.","1947","spa","Boza, Luis Roberto."
"txu.059173024411230","El dios /","1954","spa","Verdugo, H."
"txu.059173026707012","1810 : memorias de un voluntario de la patria vieja.","1971","spa","Orrego Luco, Luis, 1866-1948."
"txu.059173026538582","La espada y el canelo /","1976","spa","Magnet, Alejandro."
"uc1.$b761426","La cortina de bambú.","1965","spa","Barros Ortiz, Diego, 1908-"
"txu.059173024555809","Este poderoso reloj ;","1954","spa","Pérez de Arce, Camilo, 1912-1970."
"txu.059173023779877","Historia de un pililo; [novela]","1961","spa","Donoso de la Barra, Aurelio, 1931-"
"txu.059173024469423","Angurrientos; novela.","1959","spa","Godoy, Juan, 1911-1981."
"txu.059173023776369","El ramo de violetas,","1907","spa","Bañados Honorato, Guillermo M."
"mdp.39015063782745","Don Jorge y el dragón, novela.","1962","spa","Vergara Prieto, José Manuel, 1929-"
"mdp.39015042406952","La sombra del corregidor : novela de los tiempos coloniales /","1999","spa","Zañartu, Sady, 1893-"
"txu.059173023789542","Norte adentro,","1945","spa","Villarroel, Dinka de."
"txu.059173024334923","Lina y su sombra","1965","spa","Castro, Oscar, 1910-1947."
"txu.059173023955186","Los sueños se disipan; esbozo de novela.","1911","spa","Rodríguez Gamboa, Luis."
"txu.059173026731210","La fiesta del rey Acab /","1982","spa","Lafourcade, Enrique, 1927-"
"txu.059173024413305","Mar hondo; la biogragia del puerto sin esperanza.","1949","spa","Zañartu, Sady, b. 1893."
"uc1.$b260897","Renovales, novela.","1946","spa","Allamand, Maité, 1911-"
"txu.059173026689410","Daniel y los leones dorados /","1985","spa","Vergara, José Manuel."
"uva.x001634340","El mulato Riquelme /","1988","spa","Santiván, Fernando, 1886-1973."
"inu.39000005950782","El abrazo de la tierra.","1933","spa","Yáñez, María Flora."
"txu.059173024509732","El hermano asno : novela /","1926","spa","Barrios, Eduardo, 1884-1963."
"txu.059173024357918","Pedro Urdemales, novela.","1947","spa","Acevedo Hernández, Antonio, 1886-1962."
"pst.000031292153","Aguas estancadas","1929","spa","Castro, Juan Modesto."
"uc1.$b148389","Palomilla brava /","1943","spa","Domingo Silva, Víctor, 1882-1960."
"txu.059173024541236","Carbón y orquideas : novela /","1950","spa","Tangol, Nicasio."
"uc1.$b152535","Lautaro Cortés (novela)","1949","spa","Campos Menéndez, Enrique, 1914-"
"uc1.$b148382","Humilde rebeldía, novela.","1959","spa","Sescovich, Mauricio, 1912-"
"uc1.$b148381","Isla negra.","1959","spa","Rozas Larraín, Carlos."
"txu.059173024469070","Después del desierto","1965","spa","Gertner, María Elena."
"uva.x001232569","Piedra que rueda, novela.","1934","spa","Durand, Luis, 1895-1954."
