"id","title","year","language","authors"
"uc1.32106013692600","La Hojarasca /","1994","spa","García Márquez, Gabriel, 1928-"
"uc1.$b151287","La vida y la época del caos y tiranía de América.","1959","spa","Eguza, Tirso de, pseud."
"hvd.32044013537329","Juana la bruja; novela histórica.","1894","spa","Caicedo Rojas, José, 1816-1898."
"inu.32000003308659","La leyenda de los duendes /","1951","spa","Uribe Holguín, Alberto."
"txu.059173018679818","Que viva la música : novela /","1977","spa","Caicedo Estela, Andrés, 1951-1977."
"txu.059173026698670","Luchas sociales; novela.","1920","spa","Arenas, Jesús."
"txu.059173023777623","El festival de los puentes,","1968","spa","Caicedo, Miguel A., 1919-"
"txu.059173026699402","60 ""minutos"".","1933","spa","Calderón Ramírez, Tomás, 1891-"
"txu.059173026639692","Sombía; aventuras en la selva.","1965","spa","Chaves Sicard, Emilia."
"mdp.39015017689863","La cárcel; novela","1972","spa","Zárate Moreno, Jesús."
"txu.059173026698432","Ayer, nada más : novela /","1930","spa","Alvarez Lleras, Antonio, 1892-"
"mdp.39015027544033","Copos da espuma.","1918","spa","Vargas Vila, José María, 1860-1933."
"txu.059173026537310","Requiem por un corazón; primera novela sobre un trasplante de corazón.","1970","spa","Morales-Pino, Augusto."
"txu.059173024334639","Sol en Tambalimbú : (novela) /","1949","spa","Castrillón Arboleda, Diego."
"txu.059173024301720","El angel del bosque; recreaciones morales - libro para la familia. Novela orijinal,","1876","spa","Torres Torrente, Bernardino, 1813-1886."
"ien.35556019356633","Cosme /","1985","spa","Fuenmayor, Jose Felix, 1885-1966."
"txu.059173026537433","La candelaria /","1974","spa","Mújica, Elisa."
"txu.059172013427730","Entre primos /","1897","spa","Marroquín, José Manuel, 1827-1908."
"uc1.b3784073","Un tal Bernabé Bernal /","1975","spa","Salom Becerra, Alvaro."
"uc1.$b151393","Hombres trasplantados, novela de colonizaje,","1943","spa","Buitrago, Jaime."
"txu.059173023777871","Las luces de la tarde, Bogotá 6 p.m.; novela.","1968","spa","Camelo, Julio Alejandro."
"uc1.b3785043","El desertor : relatos /","1973","spa","Mendoza, Plinio Apuleyo."
"txu.059173026689828","Mis respetables jefes /","1961","spa","Zacs, Vera."
"txu.059173023796377","El gris de una tarde.","1960","spa","Montoya Cualla, Luis."
"txu.059173023777758","Andando.","1963","spa","Calle, Mery."
