"id","title","year","language","authors"
"mdp.39015065602859","El perseguido","1964","spa","Leante, César, 1928-2013."
"njp.32101068579216","Bajo la luz : novela /","1923","spa","Hernández Catá, Alfonso, 1885-1940."
"uc1.$b730143","El tormento de vivir (tristes amores de una niña ingenua) novela","1923","spa","Montori, Arturo, 1878-"
"uc1.b4363547","Frasquito /","1976","spa","Armas y Céspedes, José de, 1834-1900."
"uc1.$b629427","La ultima voluntad y otros relatos","1975","","Carrión, Miguel de, 1875-1929."
"umn.31951d01156997b","El penitente, novela de costumbres cubanas.","1925","spa","Villaverde, Cirilo, 1812-1894."
"inu.30000132019187","Adoración; novela original.","1906","spa","Iglesia, Alvaro de la, 1859-1940."
"hvd.hxcph9","Nena; novela cubana con varias composiciones musicales de mismo autor.","1903","und","Alcalde, Juan."
"uc1.$b252893","Dolientes, novela.","1931","spa","Rodríguez Acosta, Ofelia."
"txu.059173023951491","Un pueblo donde no pasaba nada; novela del tiempo quieto.","1962","spa","Suárez Solís, Rafael, 1881-"
"uiug.30112063777095","Novela erótica /","1909","spa","Hernández Catá, Alfonso, 1885-1940."
"uva.x001239126","Mi t'io el empleado /","1984","spa","Meza y Suárez Inclán, Ramón, 1861-1911."
"txu.059173024548825","Generales y doctores","1962","spa","Loveira, Carlos, 1882-1928."
"uc1.$b260842","Cuando libertan los esclavos.","1936","spa","Soravilla, Lesbia."
"mdp.39015065468210","Carne de quimera (novelines neblinosos)","1947","spa","Labrador Ruiz, Enrique."
"wu.89101201960","Vendaval en los cañaverales,: novela.","1937","spa","Lamar Schweyer, Alberto, 1902-"
"hvd.32044048084537","Ultimas páginas : novela /","1891","spa","Meza y Suárez Inclán, Ramón, 1861-1911."
"uc1.a0006443972","El sacerdote blanco; ó, La familia de uno de los últimos caciques de la isla de Cuba, novela-histórica americana del siglo décimo quinto.","1839","spa","Pusalgas y Guerrís, Ignacio Miguel."
"nyp.33433087390351","Ideales.","1918","spa","Cabrera, Raimundo, 1852-1923."
"txu.059173024412222","Pequeñas novelas,","1909","spa","Villaverde, Emilio."
"txu.059173023794190","Padres e hijos novela.","1967","spa","Leante, César, 1928-"
"txu.059173027925450","El sol, ese enemigo; [novela.","1963","spa","Lorenzo Fuentes, José, 1928-"
"mdp.39015028316688","No sé quién soy. Viñetas de Rigol.","1945","spa","Novás Calvo, Lino, 1905-1983."
"txu.059173025497107","Los animales sagrados; [novela].","1967","spa","Arenal, Humberto, 1927-"
"wu.89108640897","Cuando la caña es amarga : [novela /","1966","spa","Castellanos Velasco, Francisco."
"msu.31293102381278","Ursula; novela original.","1846","spa","Auber, Virginia Felicia, 1825-1897."
"mdp.39015011881136","Celina o los gatos.","1968","spa","Campos, Julieta."
"uc1.$b739642","Anormales.","1937","spa","Fernández Morera, Anastasio, 1884-"
"hvd.32044048084891","El amor filial : novela /","1878","spa","Raquel, 1850-1918."
"txu.059173023790155","La robla.","1967","spa","Eguren, Gustavo, 1925-"
"uc1.32106005048894","De donde son los cantantes /","1980","spa","Sarduy, Severo."
"txu.059173017220844","Dos amores /","1980","spa","Villaverde, Cirilo, 1812-1894."
"hvd.32044048083554","Un hombre de negocios : novela premiada en los juegos florales celebrados en el Liceo de Matanzas, el 4 de Noviembre de 1882 /","1883","spa","Heredia, Nicolás, 1855-1901."
"hvd.32044048086029","El fatalista : novela cubana /","1866","spa","Pichardo y Tapia, Estéban, 1799-1879."
"txu.059173027929010","La religión de los elefantes /","1987","spa","Buzzi, David, 1932-"
"hvd.hxcsla","Las huellas del crimen novela cubana","1879","spa","Guerrero y Pallarés, Teodoro, 1820-1905."
"uiuo.ark:/13960/t54f6jz5r","El estilete de oro; novela de aventuras extraordinarias.","1915","spa","LACOR, PEDRO."
"umn.31951002382193h","Las Honradas : (novela).","1917","spa","Carrión y Cárdenas, Miguel de, 1875-1929."
"txu.059173023954638","De paso por la vida /","1919","spa","Rodríguez-Embil, Luis, b. 1879."
"hvd.32044048082903","Leyendas de un alma triste /","1860","spa","Güell y Renté, José, 1819-1884."
"mdp.39015005277606","Tres tristes tigres","1967","spa","Cabrera Infante, G. (Guillermo), 1929-2005."
"uc1.$b159427","El barranco.","1959","spa","Tejera, Nivaria."
"txu.059173027929348","Notas de un simulador.","1969","spa","Casey, Calvert, 1924-1969."
"uc1.$b454510","Las cercas caminaban.","1970","spa","Iznaga, Alcides."
"uc1.$b730966","Don Enriquito. Novela histórica cubana,","1895","spa","Calcagno, Francisco, 1827-1903."
"mdp.39015040579990","Vivir en Candonga /","1995","spa","Vieta, Ezequiel."
"chi.087792280","Margarita la loca; novela cubana.","1900","spa","Catá, Alvaro, d. 1908."
"iau.31858004433417","La distancia.","1910","spa","Hernández Catá, Alfonso, 1885-1940."
"uc1.$b504065","Juan Criollo /","1974","spa","Loveira, Carlos, 1882-1928."
"txu.059173023956360","El plano inclinado /","1968","spa","Navarro, Noel, 1931-"
"uc1.$b804167","Ciudad rebelde","1967","spa","Amado Blanco, Luis"
"uc1.$b159421","La tejedora de sombreros de yarey.","1962","spa","Villaverde, Cirilo, 1812-1894."
"nyp.33433087341164","Secretos del carnaval; novela de costumbres.","1916","spa","Rubio, Luz."
"txu.059173027959790","Juan Quinquín en Pueblo Mocho /","1976","spa","Feijóo, Samuel, 1914-1992."
"uc1.b4363206","El caserón del cerro.","1961","spa","Pogolotti, Marcelo, 1902-"
"uc1.$b251348","La voluntad de Dios, novelas.","1921","spa","Hernández Catá, Alfonso, 1885-1940."
"hvd.hxcsl8","El escabel de la fortuna; novela original.","1877","spa","Guerrero y Pallarés, Teodoro, 1820-1905."
"uc1.b4363573","Rebelión en la octava casa /","1967","spa","Sarusky, Jaime."
"hvd.hx5wkx","Dolores : páginas de una crónica de familia /","1860","spa","Gómez de Avellaneda, Gertrudis, 1814-1873."
"hvd.32044048083422","La Alondra : el secreto de Estrovo : novela original /","1897","spa","Iglesia, Alvaro de la, 1859-1940."
"nyp.33433074370739","Los ébrios; ó, La familia de Juan Candaya : novela /","1903","spa","Balmaseda, Francisco Javier, 1833-1907."
"uc1.$b251340","La muerte nueva /","1922","spa","Hernández Catá, Alfonso, 1885-1940."
"hvd.hnpgqs","El fondo del tonel : relacion contemporánea /","1884","spa","Ortega Munilla, J. (José), 1856-1922."
"hvd.32044048083547","Leonela : narración cubana /","1893","spa","Heredia, Nicolás, 1855-1901."
"mdp.39015062196137","Caminos llenos de borrascas.","1962","spa","Camus, E. F. (Emilio Fernández), 1898-"
"uc1.b3894803","Cecilia Valdes o la loma del angel","","spa","Villaverde, Cirilo"
"uc1.$b150613","Un pueblo y dos agonías.","1955","spa","Amado-Blanco, Luis, 1905-1975."
"txu.059173026927992","Lilayando : antinovela /","1971","spa","Sánchez-Boudy, José."
"txu.059173025496498","Frutos del azote.","1961","spa","Aparicio, Raúl."
"txu.059173027928265","Celestino antes del alba /","1980","spa","Arenas, Reinaldo, 1943-1990"
"pst.000009472877","Paradiso /","1983","spa","Lezama Lima, José."
"wu.89070489620","Tu vida y la mía /","1967","spa","Riera, Pepita."
"uc1.$b732237","Despues de la zeta : [novela] /","1964","spa","Herrera, Mariano, 1935-"
"uc1.b4529779","Adire y el tiempo roto.","1967","spa","Granados, Manuel, 1931-"
"pst.000019066202","El pulpo de oro : novela política.","1954","spa","Esténger, Rafael, 1899-"
"hvd.hxcsl2","Míseros u opulentos : novela /","1893","spa","Dulzaides del Cairo, Laura."
"hvd.32044048085286","Una cartera en publica /","1872","spa","Valdemar, Diego."
