"id","title","year","language","authors"
"uc1.b4361009","Por así decirlo : variaciones de un mismo texto /","1977","spa","Salazar Tamariz, Hugo."
"txu.059173024587747","Pedro Tipán, historia de una vida ejemplar; novela.","1955","spa","Robayo, Luis Alfredo."
"mdp.39015062931525","Vida del ahorcado.","1932","spa","Palacio, Pablo."
"mdp.39015065602610","Lo que deja la tarde; novela.","1955","spa","Ortega, Matilde de."
"uc1.$b730381","Taza de té.","1932","spa","Salvador, Humberto, 1906-"
"txu.059173024554147","Andariegos, novela.","1956","spa","Rumazo, José."
"uc1.b4361244","La isla virgen /","1978","spa","Aguilera Malta, Demetrio, 1909-"
"txu.059173026694500","Galápagos, la isla de los gatos negros /","1981","spa","Vásconez Hurtado, Gustavo."
"uc1.$b774526","Hombres sin tiempo /","1957","spa","Pareja y Díez Canseco, Alfredo, 1908-1993."
"txu.059173024520495","La Beldaca.","1954","spa","Pareja y Díez Canseco, Alfredo, 1908-"
"inu.32000004726644","El hombre que no supo vivir (Historia de un inadaptado)","1926","spa","Uzcátegui, Emilio, 1899-"
"txu.059173026644375","Sumag Allpa /","1979","spa","Mata, Gonzalo Humberto, 1904-"
"inu.32000004805430","Elba.","1988","spa","Jijon Salcedo, Pedro."
"txu.059173026645345","El espadachín Zabala.","1972","spa","Moscoso Vega, Luis A."
"mdp.39015062938272","Biografía de un bicho.","1941","spa","Garcés, Enrique."
"txu.059173024529864","Lo que niega la vida.","1946","spa","Moscoso Vega, Luis A."
"txu.059173024397300","Los castillos de la frontera; novela.","1954","spa","López Rodríguez, Demetrio."
"uc1.$b463200","Gitana del frutillar, historia de una niña ecuatoriana que creció bajo la tolda gitana para unir dos mundos, dos razas, y dos destinos;","1968","spa","Guevara, Darío C."
"wu.89053903613","Porqué se fueron las garzas /","1983","spa","Jácome, Gustavo Alfredo."
"uva.x000625902","El último río : novela /","1980","spa","Estupiñán Bass, Nelson."
"txu.059172104243766","Las pequeñas estaturas /","1986","spa","Pareja y Díez Canseco, Alfredo, 1908-1993."
"uc1.b3787228","La olla embrujada /","1973","spa","Torres Castillo, Jorge."
