"id","title","year","language","authors"
"wu.89101195881","Sotileza.","1927","spa","Pereda, José María de, 1833-1906."
"uc1.32106009831170","Cumpleaños /","1976","spa","Fuentes, Carlos."
"txu.059173024366351","""Cheche,"" novela de costumbres,","1940","spa","Reyes de Del Río Govea, María Aurelia."
"txu.059173025282520","Bajo la piel; novela.","1966","spa","Ceballos Maldonado, José."
"txu.059173024369983","La muerte de Pamilo.","1964","spa","Ramos Meza, Ernesto."
"uva.x002134286","Juan del Riel /","1990","spa","Anda, José Guadalupe de, 1880-1950"
"uc1.$b154432","El Mexico olvidado, novela.","1954","spa","Rougier Zoquitecatl, F."
"txu.059173025290390","La plaza de Puerto Santo.","1961","spa","Hernández, Luisa Josefina."
"txu.059173010158753","Manos vacías de pan /","1999","spa","Páez, Pino."
"txu.059173025517179","Jóvenes contra viejos; [novela]","1968","spa","Barros Moreno, Luis, 1936-"
"txu.059173024336816","Oro negro, novela.","1941","spa","Sierra, Tina."
"txu.059173025516085","Los fracasados.","1939","spa","Azuela, Mariano, 1873-1952."
"txu.059173025517055","Nosotras, las taquígrafas ... /","1950","spa","Batiza, Sarah."
"txu.059173025293650","El amor de las sirenas <Los destripados>","1908","spa","Frías, Heriberto, 1870-1925."
"uc1.31970029897706","De noche : novela /","1905","spa","González Peña, Carlos, 1885-1955"
"txu.059172013164845","Tangente; novela.","1974","spa","Palacios, Adela."
"uc1.$b154557","Ha muerto el Dr. Benavides; novela.","1954","spa","Ocampo, María Luisa."
"uc1.$b154558","Sombras en la arena; novela.","1957","spa","Ocampo, María Luisa."
"txu.059173025291236","Límite (ideario en fragmentos)","1949","spa","Jayme, José, 1918-1949."
"uc1.b3776560","El cortejo.","1963","spa","Otaola, 1907-"
"uc1.b3776561","En memoria de nadie /","1982","spa","Palacios, Oscar, 1942-"
"txu.059173024366486","A la sombra de Alá, novela;","1926","spa","Robles, Fernando."
"wu.89108640897","Cuando la caña es amarga : [novela /","1966","spa","Castellanos Velasco, Francisco."
"txu.059173025511977","Odisea de la Virgen Morena, historia y política.","1961","spa","Quiroz, Alberto."
"txu.059173025510409","Ese rifle sanitario : semi-novela /","1948","spa","Rubín, Ramón."
"txu.059173030605162","Morelos : morir es nada /","2007","spa","Palou, Pedro Angel, 1966-"
"txu.059173024367456","La vida inútil de Pito Pérez /","1938","spa","Romero, José Rubén, 1890-1952."
"txu.059173024369510","Cristo rey o, La persecución : novela /","1952","spa","Quiroz, Alberto."
"wu.89107644221","San Antonio, S. A. : novela /","1942","spa","González Enríquez, Raúl."
"txu.059173015257050","Mezclilla : (novela proletaria) /","1995","spa","Sarquís, Francisco."
"wu.89105760011","La revancha /","1982","spa","Vera, Agustin."
"txu.059173025281549","Medina del Mar Caribe : seminovela /","1965","spa","Capó Bonnafous, Eduardo."
"wu.89065397598","Las almas solas /","1998","spa","Correa, Eduardo J."
"txu.059173000444257","Un viaje a Termápolis /","1992","spa","Correa, Eduardo J."
"uc1.$b15507","Los gañanes, novela.","1949","spa","Lamberto Moreno, J."
"txu.059173025282756","Los hombres verdaderos; novela.","1959","spa","Castro, Carlo Antonio."
"wu.89108614108","La peña del infortunio.","1909","fre","Betanza, Francisca."
"mdp.39015065470521","El pueblo inocente.","1939","spa","Romero, José Rubén, 1890-1952."
"txu.059173018349096","De Santa Anna á la reforma; memorias de un veterano; relato anecdótico de nuestras luchas y de la vida nacional desde 1851 á 1861, recogido y puesto en forma amena é instructiva","1903","spa","Salado Alvarez, Victoriano, 1867-1931."
"txu.059173025243277","Atitlayapan; novela.","1955","spa","Ocampo, María Luisa, 1905-1974."
"txu.059173025294970","El ultimo duelo, novela social de costumbres mexicanas.","1896","spa","Frías, Heriberto, 1870-1925."
"wu.89015552730","Vagabunda /","1987","spa","Spota, Luis."
"txu.059173025517044","Eso que se llama un niño.","1968","spa","Batiza, Sarah."
"txu.059173025510533","Un idilio a través de la guerra, novela histórica","1923","spa","Ruiz, Eduardo, 1839-1902."
"txu.059173025294857","Tierra caliente; los que sólo saben pensar.","1935","spa","Ferretis, Jorge, 1902-1962."
"txu.059173025293887","Cadenas de soledad, novela selecta para desesperados.","1958","spa","Fuentes Mares, José."
"txu.059173022904394","Vamonos con Pancho Villa!","1935","spa","Muñoz, Rafael Felipe, 1899-1972."
"txu.059173026856249","Tismiche; estampas de una vida adolescente.","1963","spa","Lanz, Irene G. de."
"txu.059173025290379","La noche exquisita; novela.","1965","spa","Hernández, Luisa Josefina."
"uc1.32106011562284","La mitad del infierno /","1993","spa","Palacios, Oscar, 1942-"
"txu.059173025499532","La inmaculada : novel /","1936","spa","Erzell, Catalina d'."
"txu.059173000047508","Lágrimas del corazón : ensayo de novela histórica /","1990","spa","Paniagua, Flavio Antonio, 1843-1911."
"mdp.39015039927044","Linda 67 : historia de un crimen /","1996","spa","Paso, Fernando del, 1935-2018."
"txu.059173024364196","Los inestables; novela","1968","spa","Teruel, Alberto X"
"uc1.b3119143","Luna roja; un paisaje humano del campo de México.","1959","spa","Chávez Landero, Carlos."
"txu.059173024369520","Chifladuras de Sostenes Trucha : (El Apache) /","1944","spa","Quiroz, Alberto."
"txu.059173026842186","Desbandada /","1978","spa","Romero, José Rubén, 1890-1952."
"txu.059173026846540","La iniciación /","1986","spa","Salazar Mallén, Rubén."
"txu.059173026846788","Casi el paraíso /","1987","spa","Spota, Luis."
