"id","title","year","language","authors"
"txu.059173024559038","Extraño caso de amor; novela.","1960","spa","Pavletich, Esteban, 1906-"
"txu.059173018661608","Indole /","1974","spa","Matto de Turner, Clorinda, 1852-1909."
"txu.059173024509335","Phauchinta; novela de la vida rural del Cuzco.  Invitación a leer por Luis E. Valcárcel.","1960","spa","Barrionuevo Navarro, Roberto, 1895-1969."
"txu.059173026778429","El rescate de Leticia /","1978","spa","Montalván, Pablo Carmelo."
"uc1.b4937189","El jinete insomne /","1984","spa","Scorza, Manuel."
"txu.059173017994059","Diario de un cabotaje infortunado, 1930-1936 /","1947","spa","León y Bueno, José."
"uc1.$b315633","Sanatorio.","1938","spa","Parra del Riego, Carlos."
"uc1.b3179353","El amauta Atusparia /","1932","spa","Reyna, Ernesto."
"mdp.39015056205118","En las espigas de junio /","2002","spa","Huamán Cabrera, Félix."
"inu.39000004573296","Almas de fuego.","1907","spa","Sassone, Felipe, 1884-"
"uc1.$b465742","Selva trágica /","1979","spa","Hernández, Arturo D."
"uc1.$b702220","Leguía (1875-1899); contribución al estudio de la historia contemporánea de la América latina.","1928","spa","Dávalos y Lissón, Pedro, b. 1863."
"txu.059173023787434","La heredad [de las memorias de Juan de Atayza.","1923","spa","Saco, Carlos Gabriel."
"txu.059173024532905","Ciudad trágica : novela histórica peruana /","1939","spa","Loayza, Francisco A."
"txu.059173024410726","Sacha-novela; casi novela de leyendas y sucesos amazónicos.","1954","spa","Velarde, César Augusto."
"txu.059172013440931","Tierra en el día : noticia provechosa acerca de las costumbres y creencias en la Ciudad deseada, y otros varios ejemplos amenos /","1975","spa","Ortega, Julio, 1942-"
"uc1.$b627498","Raices a flor de tierra","1974","","Cabada de Ohmeyer, Mercedes"
"mdp.39015019083578","La casa sin hombre,","1953","spa","Sassone, Felipe, 1884-1959."
"mdp.39015027196909","Batalla de Felipe en la casa de palomas [relatos].","1970","spa","González Viaña, Eduardo, 1941-"
"uc1.b3809570","Mors ex vita /","1923","spa","Palma, Clemente, 1872-1946."
"pst.000005120192","""Cuando el agua venga"" (novela).","1964","spa","Alva Herrera, Horacio."
"uc1.b3784987","El mirador de los ángeles /","1974","spa","Diez Canseco, José"
"wu.89106488075","El angel salvador : novela de costumbres cuzqueñas /","1958","spa","Aréstegui, Narciso, 1805-1869."
"yale.39002085762939","El grano de arena; novela","1878","spa","Jara, José Maria A. de la."
"txu.059173023952698","Los juegos verdaderos; [novela.","1968","spa","Ríos, Edmundo de los."
"mdp.39015027543753","Hombres de tierra adentro.","1948","spa","Macedo C., María Rosa."
"uc1.b3606393","Chicha, mar y bonito.","1955","spa","Diez-Canseco, José, 1904-1949."
"txu.059173024549464","Ida y vuelta.","1944","spa","Luna de la Puente, Hortensia."
"uc1.b4161252","El violin de Isua : biografía de un intérprete de música folklórica /","1979","spa","Gushiken, José."
"uc1.32106014967217","El Mundo es ancho y ajeno : novela /","1953","spa","Alegría, Ciro, 1909-1967"
"hvd.32044010530517","Romance contemporáneo sobre el Perú (1867): Los hombres de bien!! primera parte del ""Becerro de oro""","1874","spa","Casos, Fernando, 1828--"
"uc1.$b151022","El comandante Pintado;","1974","spa","Montoro, Isaac Felipe."
"inu.39000005050732","Los ríos navegados /","1961","spa","Castro Saavedra, Carlos"
"txu.059173024350588","Doña Shabi (novela)","1956","spa","Caller Ibérico, Clorinda."
"uc1.b4087356","Un mundo para Julius /","1993","spa","Bryce Echenique, Alfredo, 1939-"
"txu.059173024460757","Años difíciles.","1961","spa","Juániz, Conrado."
"uc1.$b731010","El conspirador (autobiografía de un hombre público) novela político-social.","1892","spa","Cabello de Carbonera, Mercedes, 1845-1909."
"txu.059173026747265","Dolorosa y desnuda realidad /","1910","spa","García Calderón, Ventura, 1886-1959."
"txu.059173024468125","""Sierra mía,"" novela","1945","spa","González Barandiarán, Manuel."
"uc1.b3158789","Mamotreto (en 40 cuadros)","1974","spa","Ampuero, Fernando."
"pst.000009485938","Almas X epistolario sentimental : novela corta /","1922","spa","Sanchez Gutierrez, Carlos."
"inu.30000093658288","Don Quijote en Yanquilandia.","1958","spa","Polar, J. M. (Juan Manuel), 1868-1936; Festival del libro sur-peruano (1st : 1958 : Cuzco)"
"uc1.b4050947","La imitación de nuestro señor yo;","1921","spa","Guillén, Alberto."
"uiug.30112071269150","Vórtice de amor (novela) (De las memorias de un romántico sensual)","1918","spa","SASSONE, FELIPE."
"txu.059173026742807","Glasskán","1968","spa","Estremadoyro, J. M. (José M.)"
"uc1.b3601136","Kikuyo.","1955","spa","Congrains Martín, Enrique."
"uc1.$b465643","Bajo el signo de la Mariscala; novela histórica.","1960","spa","Vegas Seminario, Francisco, 1904-"
"txu.059173024362689","Amor y gloria; el romance de Manuela Sáenz y el Libertador Simón Bolívar.","1952","spa","Alvarado Rivera, María Jesús."
"txu.059173026703532","Identificación de David.","1974","spa","González Viaña, Eduardo, 1941-"
"uc1.b3602461","La evocadora:","1913","spa","Bustamante y Ballivián, Enrique, 1883-1937."
"uc1.b2826395","La culpa fatal /","1924","spa","Samanez, Juan Guillermo."
"uc1.$b465641","Cuando los mariscales combatían.","1959","spa","Vegas Seminario, Francisco, 1904-"
"uc1.$b465640","El Honorable Ponciano. --","1957","spa","Vegas Seminario, Francisco, 1904-"
"txu.059173024519929","Taita Yoveraqué ; [novela]","1956","spa","Vegas Seminario, Francisco, 1904-"
"uva.x000553074","El tungsteno (novela), ""la novela proletaria"".","1931","spa","Vallejo, César, 1892-1938."
"txu.059173024518857","La gesta del caudillo, novela histórica.","1961","spa","Vegas Seminario, Francisco, 1904-"
"mdp.39015002614678","Matalaché.","1966","spa","López Albújar, Enrique, 1872-1966."
"uc1.b3790637","El hechizo de Tomaiquichua.","1943","spa","López Albújar, Enrique, 1872-1966."
"txu.059173024460768","Ana Rosa.","1961","spa","Juániz, Conrado."
"wu.89107551871","Un marido minotauro y sentimental : novels erotica.","","spa","Sassone, Felipe, 1884-"
"uc1.b3787006","La espiral","1972","spa","Llosa, Jorge Guillermo."
"mdp.39015008426077","Cantar de Agapito Robles /","1978","spa","Scorza, Manuel."
"nyp.33433087535765","Manuel Pardo : novela /","1916","spa","Dávalos y Lissón, Pedro, b. 1863."
"txu.059173024520484","Don Ricardo Palma : el patriarca de las tradiciones /","1953","spa","Miró, César."
"uc1.32106010944202","La batalla de Lima /","1979","spa","Thorndike, Guillermo."
"uc1.$b471401","Los zapatos de cordobán.","1938","spa","Valle Goicochea, Luis."
"uc1.32106014112111","Conversación en la catedral","1974","spa","Vargas Llosa, Mario, 1936-"
"wu.89006490510","La Ciudad del Río Hablador.","1944","spa","Miró, César."
