"id","title","year","language","authors"
"mdp.39015029468777","Del rojo de su sombra /","1992","spa","Montero, Mayra, 1952-"
"txu.059172118146429","El cerro de los buitres : novela /","1984","spa","Mattos Cintrón, Wilfredo."
"uc1.b4934747","Kiliagonía /","1980","spa","Zavala, Iris M."
"txu.059173028078122","Amor portátil /","1991","spa","Barsy, Kalman."
"txu.059173028075532","El mas azul de todos los príncipes /","1981","spa","Jusino Campos, Edgardo."
"txu.059173028072024","La peregrinación de Bayoán /","1981","spa","Hostos, Eugenio María de, 1839-1903."
"mdp.39015025159834","Vive y vacila /","1986","spa","Ramos, Juan Antonio, 1948-"
"txu.059173028075656","La otra voz /","1980","spa","Guevara Castañeira, Josefina."
"txu.059173028075259","La torre sin tiempo : (novela) /","1983","spa","González Torres, Rafael A."
"wu.89064229719","Felices días, Tío Sergio /","1995","spa","García Ramis, Magali, 1946-"
"uc1.$b496814","El barbero trashumante.","1969","spa","Cora Vega, Néstor."
"txu.059173023953431","Voluntad y redencion.","1929","spa","McGrigor, Julieta Puente de."
"txu.059173028077163","Póstumo el transmigrado : historia de un hombre que resucitó en el cuerpo de su enemigo /","1975","spa","Tapia y Rivera, Alejandro, 1826-1882."
"txu.059173026668588","Conversao en el Batey : historia de un jíbaro bragao.","1958","spa","Fonfrías, Ernesto Juan."
"mdp.39015011820936","Un oscuro pueblo sonriente /","1984","spa","Soto, Pedro Juan."
"mdp.39015065632799","La brisa mueve las guajanas, novela.","1953","spa","Díaz Montero, Aníbal."
"mdp.39015062576759","Desamores : novela /","2001","spa","Mattos Cintrón, Wilfredo."
"txu.059173028074030","La guaracha del macho Camacho /","1982","spa","Sánchez, Luis Rafael."
"wu.89064231251","Harlem todos los días /","1987","spa","Díaz Valcárcel, Emilio."
"txu.059173028074278","El asesinato de Casandra Ramírez : novela corta /","1986","spa","Santiago-Ibarra, Beatriz M. (Beatriz Mayte)"
"txu.059173004652755","Las pequeñas muertes /","1992","spa","Arroyo, Anita."
"wu.89055386064","Este pueblo no es un manto de sonrisas /","1991","spa","Rodríguez Torres, Carmelo, 1941-"
"mdp.39015076169344","La inutilidad /","2004","spa","Lalo, Eduardo, 1960-"
"mdp.39015040177373","La religión de los aduĺteros /","1996","spa","López-Adorno, Pedro, 1954-"
"txu.059173024462209","Solar Montoya.","1947","spa","Laguerre, Enrique A."
"inu.30000000921944","Ardiente suelo, fría estación /","1988","spa","Soto, Pedro Juan."
"uc1.$b159276","Tropico en Manhattan, novela.","1951","spa","Cotto-Thorner, Guillermo."
"txu.059173028076976","Viento salado : novela /","1981","spa","Palma, Marigloria."
"mdp.39015062573921","Las dos caras de Jano : novela /","1995","spa","Mattos Cintrón, Wilfredo."
"mdp.39015034390693","Taller de invenciones : (novela) /","1993","spa","Díaz Valcárcel, Emilio."
"mdp.39015065717699","Un trapo rojo en la alambrada.","1956","spa","Espiñeira del Olmo,"
"uc1.$b804026","El avispero; novela corta.","1892","spa","Bonafoux y Quintero, Luis, 1855-1918."
"wu.89068819929","El olor de los muertos : (novela) /","1995","spa","Resto, Max, 1963-"
"txu.059173027947623","Hacia un lejano sol /","1974","spa","Canales, Nemesio R; Montaña, Servando"
"wu.89068128818","Figuraciones en el mes de marzo /","1988","eng","Díaz Valcárcel, Emilio."
"uc1.$b454505","La llamarada (novela)","1939","spa","Laguerre, Enrique A."
"txu.059173027947102","Los derrotados /","1973","spa","Andreu Iglesias, César, 1915-1976."
"inu.30000001280753","La ceiba en el tiesto /","1978","spa","Laguerre, Enrique A."
"mdp.39015062876274","Rosa mystica /","1999","spa","Varo, Carlos."
"mdp.39015069295882","Tierra adentro /","2006","spa","Juliá Marín, Ramón, 1878-1917; Feliú Matilla, Fernando"
"txu.059173028077334","Los espejos de sal bajo la luna; documental para una tarde en prisa de amapolas.","1970","spa","Rosa-Nieves, Cesáreo, 1901-1974."
"txu.059173028072160","Cauce sin río : (diario de mi generación) /","1983","spa","Laguerre, Enrique A."
"inu.30000125107775","Estercolero /","2008","spa","Levis Bernard, Jos ̌Ela̕s, 1871-1942; Centeno Aęses, Carmen"
"txu.059173028076648","La ciénaga /","1977","spa","Pérez, José Pepe, 1940-"
"inu.30000132410212","Una mujer y una sota : novela /","1955","spa","Díaz Montero, Aníbal."
"inu.30000005084185","Infortunios de Alonso Ramirez.","1951","spa","Sigüenza y Góngora, Carlos de, 1645-1700."
"uva.x002115940","Seva : historia de la primera invasión norteamericana de la Isla de Puerto Rico, occurida en mayo de 1898 /","1984","spa","López Nieves, Luis, 1950-"
"wu.89017410291","Szomorú vasárnap /","1988","spa","Agrait, Gustavo."
"txu.059173000598498","No todas las suecas son rubias /","1991","spa","Abreu Adorno, Manuel, 1955-1984."
"txu.059173024442970","Raiz y espiga; novela.","1962","spa","Fonfrías, Ernesto Juan."
"uc1.32106018160090","Porque hay silencio /","1998","spa, eng","Ambert, Alba N., 1946-"
"hvd.hnlfkn","Marcos Orellana (historia de un hombre) (novela)","1941","spa","Machuca, Julio."
"mdp.39015034860000","Tu, la oscuridad /","1995","spa","Montero, Mayra, 1952-"
"txu.059173024587135","El niño de Arcilla; novela.","1950","spa","Ribera Chevremont, Evaristo, 1896-1976."
"txu.059173028076091","El buítre y la carroña (novela).","1969","spa","Meléndez, Julio."
"hvd.hnqv1x","Esbozos novelescos /","1894","spa","Bonafoux y Quintero, Luis, 1855-1918."
"uc1.$b762277","El laberinto","1968","spa","Laguerre, Enrique A."
"uc1.$b761501","El mar bajo de la montaña : relato de una mujer sin historia /","1963","spa","Rosa-Nieves, Cesáreo, 1901-"
"txu.059173028077061","Amy Kootsky (novela).","1973","spa","Palma, Marigloria."
"inu.30000087955740","A mis amigos de la locura /","1998","spa","Ruíz Ortíz, Ernesto."
"txu.059173006127348","La casa de la laguna /","1996","spa, eng","Ferré, Rosario."
"wu.89053504619","La soledad tendrá un amigo /","1992","spa","Collazo, Nélson Rafael, 1940-"
"txu.059173026666866","La resaca /","1975","spa","Laguerre, Enrique A."
"txu.059173028075667","Los encadenados;","1973","spa","Guevara Castañeira, Josefina."
"txu.059173024461975","Pueblo,","1938","spa","Labarthe, Pedro Juan, 1906-"
"uiug.30112064839167","El profeta = The prophet : novela festiva /","1920","spa, eng","Amadeo, J. M. (Jesús María)"
"txu.059172130242374","Por boca de caracoles /","1990","spa","Laguerre, Enrique A."
"uc1.b3777326","Los nombres /","1972","spa","Carrero, Jaime, 1931-"
"mdp.39015062573939","El colapso : novela /","2000","spa","Mattos Cintrón, Wilfredo."
"uc1.b3777329","Los amos benévolos : novela /","1977","spa","Laguerre, Enrique A."
"uc1.32106018787686","Maldito amor /","1998","spa","Ferré, Rosario"
"txu.059173017220028","Raquelo tiene un mensaje.","1970","spa","Carrero, Jaime."
"txu.059173023788379","Poncio Pilatos, microestudio bonanovista; novela.","1968","spa","Torres Rosado, Félix Juan."
"txu.059173028076240","Yukiyu : (el espíritu de Borinquen) /","1973","spa, eng","Ordóñez, Eduardo."
"uc1.$b762301","La gratitud humana; novela.","1969","spa","Balseiro, José Agustín, 1900-1991."
"mdp.39015048920436","La ruta eterna : novela /","1926","spa","Balseiro, José Agustín, 1900-1991."
"txu.059173028078381","Príncipe : autobiografía de un perro : novela corta /","1963","spa","Chiesa de Pérez, Carmen."
"mdp.39015040664164","El obispo, todas las noches : novela /","1993","spa","Orsini Luiggi, Sadí, 1938-"
"mdp.39015062576726","Las puertas de San Juan : novela /","1997","spa","Mattos Cintrón, Wilfredo."
"wu.89094815958","Desconstruyendo a Iraq : novela /","2004","spa","Mattos Cintrón, Wilfredo."
"inu.30000132410592","Los dedos de la mano /","1978","spa","Laguerre, Enrique A."
"txu.059173028074642","Febo /","1982","spa","Torres Braschi, Lillian."
"txu.059173023792140","Carmela (novela puertorriqueña)","1966","spa","González García, Matías, 1866-1938."
"uc1.$b159364","Paisa : un relato de la emigración /","1950","spa","González, José Luis, 1926-"
"mdp.39015028374117","El minotauro se devora a sí mismo; novela","1965","spa","Diego Padró, J. I. de (José Isaac), 1896-"
"txu.059173028074529","Y así es el amor /","1986","spa","Vázquez-Torres, Ernesto, 1907-"
"inu.39000002858780","Mare mágnum /","1976","spa","Cuevas, Clara."
"uc1.$b260927","Novus ordo /","1938","spa","Martínez Alvarez, Rafael."
"mdp.39015040737861","Memoria de mi amnesia /","1991","spa","Soto, Pedro Juan."
"uc1.$b260926","Los vates : embeleco fantastico para niños mayores de edad /","1949","spa","Blanco, Tomás, 1896-1975."
"txu.059173026668384","Dicen que de noche tú no duermes /","1985","spa","Díaz Valcárcel, Emilio."
"uc1.b3777336","La muerte anduvo por el Guasio.","1971","spa","Hernández Aquino, Luis."
"txu.059173014222173","Sirena Selena vestida de pena /","2000","spa","Santos-Febres, Mayra, 1966-"
"uva.x001048383","Memorias de un ayer puertorriqueño /","1984","spa","Betancourt Sotomayor, Monserrate, 1902-"
"uc1.$b762293","Flor del cafeto; novela Puertorriqueña.","1936","spa","Gatell, Rafael."
"txu.059173025496192","Una gota de tiempo /","1958","spa","Andreu Iglesias, César, 1915-1976."
"uc1.$b287967","Lucha extraña : novela /","1907","spa","López-Ballesteros, Luis, 1869-1933."
"mdp.39015040667274","La tela de araña /","1992","spa","Hostos, Eugenio María de, 1839-1903."
"txu.059173024342976","En vela mientras el mundo duerme : novela /","1953","spa","Balseiro, José Agustín, 1900-"
"txu.059173024544540","El francotirador; [novela.","1969","spa","Soto, Pedro Juan."
"txu.059173001682432","La esperanza en el ayer de la colina /","1993","spa","Méndez, Humberto."
"txu.059173023954707","Honorable a medias.","1968","spa","Rodríguez Pastor, José, 1894-"
"wu.89075809913","13 novelas cortas /","1974","spa","Cuchí Coll, Isabel."
"txu.059173028074471","Del fondo del corazón : ab imo pectore /","1977","spa","Vecchini, Juan."
"uc1.b4363638","El hombre que no sudaba /","1982","spa","Carrero, Jaime, 1931-"
"txu.059173024544529","Usmaíl (Novela)","1959","spa","Soto, Pedro Juan."
"mdp.39015066788780","La gleba /","2006","spa","Juliá Marín, Ramón, 1878-1917."
"inu.39000004122573","Noches ciegas /","1982","spa","Encarnación, Angel M., 1952-"
"inu.30000001668585","Más allá de ti : [novela a favor del futuro] /","1975","spa","Figueroa, Egberto, 1945-"
"txu.059173024531470","Vida nueva, novela,","1935","spa","Levis Bernard, José Elías, 1871-1942."
"mdp.39015029840975","La segunda hija /","1992","spa","Nolla, Olga."
"uc1.$b15708","Enrique Abril, héroe (novela)","1947","spa","Felices, Jorge."
"hvd.hnlhdi","Historias de ultra-tumba.","1899","spa","Corchado y Juarbe, Manuel, 1840-1884."
"mdp.39015063284437","El príncipe de Blancanieves /","1997","spa","Ramos, Juan Antonio, 1948-"
"uva.x000134583","El retrato del otro /","1976","spa","González Torres, Rafael A."
"txu.059173026668555","Arenales /","1985","spa","Figueroa, Loida."
"txu.059173028078280","Guerra civil González.","1970","spa","Cordero, Ricardo, Dr."
"uc1.$b761513","El triangulo.","1964","spa","Bauzá, Guillermo."
"pst.000031349727","Mi mamá me ama /","1985","spa","Díaz Valcárcel, Emilio."
"txu.059173024544530","Temporada de duendes; [novela]","1970","spa","Soto, Pedro Juan."
"txu.059173027928480","El hombre palabra /","1985","spa","Arroyo, Anita."
"txu.059173028078621","Cundango /","1988","spa","Dapena Vidal, Riggín."
"txu.059173024541804","Enardo y Rosael; o, El amor a través de los siglos; novela original","1944","spa","Tapia y Rivera, Alejandro, 1826-1882."
"txu.059173028076320","Mi vida estudiantil en Nueva Orleans : [novela autobiográfica] /","1971","spa","Nazario, Luis Adam."
"txu.059173028078585","La vida de-- : una novela para el pueblo de alguien del pueblo que se salió del pueblo /","1981","spa","Domínguez de León, Ricardo A., 1955-"
"txu.059173027925981","La trenza de la hermosa luna /","1987","spa","Montero, Mayra, 1952-"
"inu.39000001922363","Veinte siglos después del homicidio /","1980","spa","Rodríguez Torres, Carmelo."
"txu.059173028074427","Nocturna mas no funesta /","1987","spa","Zavala, Iris M."
"uiug.30112045490684","Puesta de sol /","1903","spa","Matos Bernier, Félix."
"wu.89054120993","Las memorias de José Joaquin Henríquez /","1986","spa","Silén, Juan Angel."
"uiug.30112065567866","Prosas ingenuas.","1922","spa","Miranda, Luis Antonio."
"txu.059173001556030","Luz y sombra /","1994","spa","Roqué, Ana, 1853-1933; Torres-Seda, Olga; Paravisini-Gebert, Lizabeth"
"mdp.39015057577929","Cualquier miércoles soy tuya /","2002","spa","Santos-Febres, Mayra, 1966-"
"txu.059173017240604","Vengo a decirle adiós a los muchachos /","1989","spa","Ramos, Josean."
"wu.89070881883","Porque el beso que me diste no lo olvidaré jamás /","1997","spa","Soto, Stella, 1964-"
"txu.059173027947099","El derrumbe /","1981","spa","Andreu Iglesias, 1915-1976."
"txu.059173023788346","Gólgota, microanálisis bonanovista; [novela]","1963","spa","Torres Rosado, Félix Juan."
"txu.059173028076295","Porque nos queremos tanto /","1989","spa","Nolla, Olga."
"txu.059173028077367","Tierras de Dios : novela puertorriqueña /","1962","spa","Rivera Landrón, Francisco."
"txu.059173028076397","Los mil otoños de una primavera.","1971","spa","Muñoz, Manuel, economist."
"ien.35556010883767","La víspera del hombre (novela) /","1979","spa","Marqués, René."
"txu.059173028078213","Muchedumbre de voces /","1977","spa","Cruz Barreto, Roberto."
"txu.059173028075623","La cárcel de cristal /","1987","spa","Hernández Sánchez, Roberto, 1939-"
