"id","title","year","language","authors"
"uc1.$b151045","Cabeza de oro; novela uruguaya.","1906","spa","Maldonado, Horacio, b. 1884."
"txu.059173024404712","Fruta de guerra.","1920","spa","Vidal, Casto M."
"txu.059173023796388","Con motivo de vivir; novela.","1962","spa","Montserrat, María de."
"uc1.$b497106","Con bigote triste /","1971","spa","Achugar, Hugo, 1944-"
"uc1.$b497107","Necrocosmos : novela /","1971","spa","Galmés, Héctor."
"inu.39000003823684","Los Altúnez : novela /","1925","spa","Morrison de Parker, María."
"txu.059173024182392","La luna amarilla /","1980","spa","Zina Fernández, Romeo."
"txu.059173024504207","La arachana; novela.","1955","spa","Carbajal, Carlos."
"txu.059173023788528","Los amigos; novela.","1963","spa","Trobo, Claudio, 1937-"
"mdp.39015019057960","Nadie encendía las lámparas.","1967","spa","Hernández, Felisberto."
"mdp.39015039496693","Cosmopolita; novela.","1896","spa","Mora Alarcón, José-Antonio."
"txu.059173026624083","El museo de los esfuerzos inútiles /","1983","spa","Peri Rossi, Cristina, 1941-"
"mdp.39015065718382","Marjal; novela social.","1965","spa","Casal Muñoz, Julio, 1917-"
"inu.39000000981451","Dejemos hablar al viento /","1985","spa","Onetti, Juan Carlos, 1909-1994"
"uc1.$b151277","El despertar de ""Mama Petrona."" [Novela]","1955","spa","Maneiro Vázquez, Máximo C., 1912-"
"uc1.a0013103783","El árbol /","1910","spa","Nin Frías, Alberto, 1882-1937."
"txu.059173024357769","Las hermanas Lemoine, novela ...","1921","spa","Acosta y Lara, Manuel."
"txu.059173023788517","Junto a lo anterior; novela.","1968","spa","Trobo, Claudio, 1937-"
"txu.059173023951902","Forma de piel; novela.","1967","spa","Somma, Juan Carlos."
"inu.39000005662684","Márgara, que venía de la lluvia.","1936","spa","Delfino, Augusto Mario, 1906-1961."
"uva.x000285277","Ratos de padre /","1972","spa","Rosa, Julio C. da, 1920-"
"uc1.$b151266","Yo insólito. [Novelas]","1952","spa","González Villegas, Maruja."
"uc1.b3787477","Nunca hasta París : novela /","1980","spa","Castillo, Alvaro, 1948-"
"uc1.b3787475","Aquí, yo /","1981","spa","Cantonnet, María Ester."
"txu.059173024528759","Castigo 'e Dios, novela de Montiel Ballesteros.","1930","spa","Montiel Ballesteros, Adolfo, 1888-"
