"id","title","year","language","authors"
"txu.059173023795170","Batalla hacia la aurora; novela.","1958","spa","Mariño-Palacio, Andrés, 1927-1965."
"uc1.b3629162","Lucía : sitios y costumbres gritenses, época de 1825 a 1827 /","1904","spa","Guerrero, Emilio Constantino, 1866-1920."
"txu.059173010073617","Las memorias de Mamá Blanca /","1989","spa","Parra, Teresa de la, 1895-1936; Bosch, Velia"
"txu.059173024300626","Desterrado en Madrid /","1975","spa","Trujillo, Manuel."
"txu.059173024388820","La leyenda del estanque (novela).","1948","spa","Bruzual, Narcisa."
"txu.059173024245007","Peonía /","1985","spa","Romero García, Manuel Vicente, 1865-1917."
"txu.059173023955051","El tumulto.","1961","spa","Rodríguez, Argenis."
"inu.30000107399440","Los topos /","2000","spa","Liendo, Eduardo."
"txu.059173026620956","El reflejo de los remansos azules /","1989","spa","Cabrera Malo, Rafael."
"wu.89031801749","Cubagua /","1987","spa","Núñez, Enrique Bernardo, 1895-1964."
"txu.059173024351660","Hombres de montaña, novela.","1961","spa","Cañizales Márquez, José."
"txu.059173024388810","Guillermo Mendoza (Historia de un hombre atormentado).","1952","spa","Bruzual, Narcisa."
"txu.059173023788889","La brisa viene de lejos /","1959","spa","Valera Martínez, Víctor."
"hvd.hnjpft","Flor : novela /","1905","spa","Picón-Febres, Gonzalo, 1860-1918."
"txu.059173023951811","Amargo el fondo; novela.","1957","spa","Stolk, Gloria."
"txu.059173023788765","Un palmo de buena tierra bajo el cielo.","1953","spa","Uzcátegui Ramírez, Daniel."
"txu.059173024556550","Los tratos de la noche. [Novela]","1955","spa","Picón-Salas, Mariano, 1901-1965."
"txu.059173024340992","El mar es como un potro (Dámaso Velázquez)","1950","spa","Arráiz, Antonio, 1903-1962."
"wu.89081033003","La hija del cacique : o, la conquista de Valencia /","1913","spa","Febres Cordero, Tulio, 1860-1938."
"wu.89008066003","Bajo el signo del escorpión : Poemas /","1972","spa","Gutiérrez Caro, David."
"txu.059173024247319","Cuando quiero llorar no lloro; novela.","1970","spa","Otero Silva, Miguel."
"uc1.b3787225","Casas muertas /","1975","spa","Otero Silva, Miguel."
"uc1.$b730397","El hombre de Hierro (novela)","","spa","Blanco-Fombona, Rufino, 1874-1944."
"inu.30000100687429","Expediente negro /","2004","spa","Rangel, José Vicente."
"txu.059173023791599","Los habitantes, novela.","1961","spa","Garmendia, Salvador."
"txu.059173024245142","La prisión de Fyffes /","1978","spa","Rial, José Antonio, 1911-"
"txu.059173023956010","Nadie era nadie, novela","1958","spa","Osorio Menda, Elvira; Osorio Menda, Isabel; Osorio Menda, Luisa"
"txu.059173024190459","Buchiplumas /","1975","spa","Chirinos, César, 1928-"
"txu.059173024526006","El falso cuaderno de Narciso Espejo; novela.","1959","spa","Meneses, Guillermo, 1911-"
"txu.059173023794509","Hechizo y emboscada; novela.","1951","spa","López, Blanca Rosa."
"txu.059173028044299","El triunfo del ideal, novela.","1901","spa","Dominici, Pedro César, b. 1875."
"nc01.ark:/13960/t3dz2vd9t","Lilia (ensayo de novela venezolana)","1909","spa","Ayala A., Ramón."
"txu.059173023953409","El camino de las escaleras.","1962","spa","Prisco, Rafael di."
"txu.059173024447464","Mene; novela de la vida en la región petrolera del estado Zulia.","1936","spa","Díaz Sánchez, Ramón."
"nc01.ark:/13960/t1mh0726h","Los expatriados /","1909","spa","Blanch S., Juan R."
"txu.059172119683037","El mestizo José Vargas : novela /","1989","spa","Meneses, Guillermo, 1911-1978."
"txu.059173024386541","El hombre de oro : (novela) /","1916","spa","Blanco-Fombona, Rufino, 1874-1944."
"txu.059173023776799","La leyenda del conde Luna /","1956","spa","Barroeta, Pedro."
