"id","title","year","language","authors"
"txu.059173026662752","Enriquillo / Manuel de Jesu?s Galva?n.","1977","spa","Galva?n, Manuel de J. (Manuel de Jesu?s) 1834-1910"
"txu.059173025240406","Moctezuma, el de la silla de oro. ilustraciones de Julio Prieto.","1945","spa","Monterde, Francisco 1894-"
"uc1.$b258402","H?roes mayas: Zamn?. Cocom. Canek. Advertencias de Jos? Attolini y Andr?s Henestrosa ...","1942","spa","Abreu G?mez, Ermilo 1894-1971"
"uc1.b3783174","Yanakuna : novela / Jesu?s Lara.","1981","spa","Lara, Jesu?s"
"txu.059173000927228","Juan Pe?rez Jolote / Ricardo Pozas.","1989","spa","Pozas, Ricardo"
"txu.059173028043933","Tro?pico.","1946","spa","Bernal, Rafael"
"mdp.39015028328501","Cuentos andinos.","1965","spa","L?pez Alb?jar, Enrique 1872-1966"
"txu.059173027965228","La gringa / Carlos Wyld Ospina.","1988","spa","Wyld Ospina, Carlos 1891-1956"
"uc1.$b463205","El chulla Romero y Flores.","1958","spa","Icaza, Jorge 1906-"
"txu.059173026552197","Jose? Tombe?, novela folklo?rica.","1942","spa","Castrillo?n Arboleda, Diego"
"txu.059173025497560","Agua : relatos.","1961","spa","Arguedas, Jos? Mar?a"
"mdp.39015035137838","Redoble por rancas; novela.","1970","spa","Scorza, Manuel"
"uc1.b3600062","Aves sin nido.","1948","spa",""
"wu.89053903613","Porque? se fueron las garzas / Gustavo Alfredo Ja?come.","1983","spa","Ja?come, Gustavo Alfredo"
"mdp.39015043610966","El resplandor, novela.","1937","spa","Magdaleno, Mauricio 1906-1986"
"txu.059173024533056","Nuevos cuentos andinos","1963","spa","Lo?pez Albu?jar, Enrique 1872-1966"
"txu.059173024367693","La bruma lo vuelve azul.","1954","spa","Rub?n, Ram?n"
"uc1.b4113048","Raza de bronce","1957","spa","Arguedas, Alcides 1879-1946"
"txu.059173025282111","Fruto de sangre.","1958","spa","Castan?o, Rosa de"
"txu.059172118011066","Desiertos intactos / Severino Salazar.","1990","spa","Salazar, Severino 1947-"
"mdp.39015028323239","To?; narraciones de caucher?as.","1933","spa","Uribe Piedrahita, C?sar 1897-1951"
"mdp.39015028320763","El jinete insomne / Manuel Scorza.","1984","spa","Scorza, Manuel"
"txu.059173026842051","Lola Casanova / Francisco Rojas Gonza?lez.","1984","spa","Rojas Gonza?lez, Francisco 1903-1951"
"hvd.32044080654601","El ?ltimo rei de los muiscas; novela hist?rica.","1864","spa","Rozo, Jes?s Silvestre 1830-1895"
"uva.x004218395","Los hombres que disperso? la danza / Andre?s Henestrosa.","1997","spa","Henestrosa, Andre?s 1906-"
"pst.000020254056","El tesoro de Cuauhtemoc : novela.","1923","spa","Oteyza, Luis de 1883-1961"
"txu.059173026542295","Cholos : novela. --","1946","spa","Icaza, Jorge 1906-1978"
"txu.059173024294501","Cantar de Agapito Robles / Manuel Scorza.","1984","spa","Scorza, Manuel"
"txu.059173023777237","Anda?gueda, novela.","1946","spa","Botero Restrepo, Jesu?s 1921-"
"uc1.32106017783470","Naufragio de Indios","2003","spa","Abreu Go?mez, Ermilo 1894-1971"
"txu.059173025282756","Los hombres verdaderos; novela.","1959","spa","Castro, Carlo Antonio"
"txu.059173026748020","El padre Horan; escenas de la vida del Cuzco.","1969","spa","Are?stegui, Narciso 1805-1869"
"uc1.b2856014","Yngermina; o, La hija de Calamar; novela historica; o, Recuerdos de la conquista, 1533 a 1537. Con una breve noticia de los usos, costumbres, i religion del pueblo de Calamar ...","1844","spa","Nieto, Juan Jose? 1804-1866"
"uva.x000437137","Los ri?os profundos.","1958","spa","Arguedas, Jose? Mari?a"
"txu.059173025292079","Nimbe, leyenda del Ana?huac.","1947","spa","Gonza?lez Hurtado, Rodolfo"
"uc1.$b501675","Yawar fiesta.","1972","spa","Arguedas, Jose? Mari?a"
"txu.059173027937700","Mulata de Tal.","1967","spa","Asturias, Miguel Angel"
"mdp.39015027974768","Quetzalcoatl, sue?o y vigilia.","1947","spa","Abreu G?mez, Ermilo 1894-1971"
"txu.059173025510373","Cuando el Ta?guaro agoniza.","1960","spa","Rubi?n, Ramo?n"
"uc1.$b148194","La mayordom?a. [Novela.","1952","spa","Barriga Rivas, Rogelio"
"uc1.$b463210","Huairapamushcas; novela.","1948","spa","Icaza, Jorge 1906-1978"
"mdp.39015028321209","Historia de Garabombo, el invisible : novela /","1972","spa","Scorza, Manuel"
"txu.059173023778692","Chambu, novels.","1946","eng","Chaves, Guillermo Edmundo"
"uc1.b3775329","La nube este?ril : drama del mezquital / Antonio Rodri?guez ; grabados de Fernando Castro Pacheco.","1952","spa","Rodri?guez, Antonio 1909-"
"txu.059173017236709","Balu?n-Cana?n / Rosario Castellanos.","1970","spa","Castellanos, Rosario"
"uc1.b3160392","Huasipungo","1934","spa",""
"hvd.hnjr86","Jilma ? continuaci?n de los pizarros; novela orijinal.","1858","spa","P?rez, Felipe 1836-1891"
"uc1.b4363687","Entre la piedra y la cruz / Mario Monteforte Toledo.","1979","spa",""
"uc1.$b15732","Oru?, aceite de piedra [novela]","1949","spa",""
"txu.059173026933077","La conjura de Xinum / Ermilo Abreu Go?mez.","1987","spa","Abreu Go?mez, Ermilo 1894-1971"
"uva.x000161777","Hombres de maiz / Miguel A?ngel Asturias.","1979","spa","Asturias, Miguel Angel"
"txu.059173024468602","La venganza del co?ndor.","1990","spa","Garci?a Caldero?n, Ventura 1886-1959"
"hvd.hnjr84","Huayna Capac : novela orijinal / por Felipe P?rez.","1856","spa","P?rez, Felipe 1836-1891"
"txu.059173026859145","El canto de la grilla / Ramo?n Rubi?n.","1984","spa","Rubi?n, Ramo?n"
"mdp.39015028327438","Nayar, novela.","1941","spa","Men?ndez, Miguel Angel"
"mdp.39015062914646","Los peregrinos inm?viles, novela.","1944","spa","L?pez y Fuentes, Gregorio 1897-1966"
"uc1.32106015565614","Oficio de tinieblas / Rosario Castellanos","1998","spa","Castellanos, Rosario"
"txu.059173025493489","El Indio.","1937","spa","Lo?pez y Fuentes, Gregorio 1897-1966"
