"id","title","year","language","authors"
"uiuo.ark:/13960/t7dr34z3t","Los caciques novela de costumbres nacionales / Mariano Azuela.","1917","spa","Azuela, Mariano 1873-1952"
"txu.059173024368732","Juan Rivera; novela del pensamiento revolucionario.","1936","spa","Puente, Ramo?n"
"uiug.30112064123232","El automovil gris; novela de los tiempos de la revolucion constitucionalista, por J. Ascension Reyes ...","1922","spa","Reyes, J. Ascensio?n"
"uc1.$b158795","Mientras la muerte llega; novela de la revolucio?n.","1958","spa","Lira, Miguel N. (Miguel Nicola?s) 1905-1961"
"uc1.$b155722","Canchola era de a caballo!","1954","spa",""
"uva.x002134286","Juan del Riel / J. Guadalupe de Anda.","1990","spa","Anda, Jose? Guadalupe de 1880-1950"
"mdp.39015028315227","Se llevaron el ca??n para Bachimba / Rafael F. Mu?oz.","1973","spa","Mu?oz, Rafael Felipe 1899-1972"
"uc1.b3299083","Ulises criollo, la vida del autor escrita por ?l mismo.","1945","spa","Vasconcelos, Jos? 1881-1959"
"uc1.$b158794","La tierra grande, novela.","1949","spa","Magdaleno, Mauricio 1906-"
"txu.059173026861511","En tierra de sangre y broma; novela histo?rica contempora?nea, por Salvador Quevedo y Zubieta.","1921","spa","Quevedo y Zubieta, Salvador 1859-1935"
"txu.059173025280149","Yo?rem Tamegua : novela / Djed Bo?rquez [pseud.].","1923","spa","Bojo?rquez, Juan de Dios 1892-"
"osu.32435013861646","Ladrona! : novela Mexicana / Miguel Arce.","1928","spa","Arce, Miguel"
"txu.059173026855483","Memorias de Pancho Villa / Martin Luis Guzman.","1954","spa","Guzma?n, Marti?n Luis 1887-1976"
"txu.059173025516802","Ciudad ...","1942","spa","Beni?tez, Jose? Mari?a 1898-"
"txu.059173024324089","Andr?s P?rez, maderista.","1911","spa","Azuela, Mariano 1873-1952"
"txu.059173024338593","La Esperanza y Hati-ke?; novela mexicana por Alfonso Teja Zabre.","1929","spa","Teja Zabre, Alfonso 1888-1962"
"txu.059173025494095","El resplandor, novela.","1937","spa","Magdaleno, Mauricio 1906-1986"
"uc1.$b726390","Rosenda : versi?n musical de Jesus Trevi?o Tapia / Jos? Rub?n Romero.","1962","spa","Romero, Jos? Rub?n 1890-1952"
"mdp.39015062942308","M?xico manicomio, novela hist?rica contemporanea (?poca de Venustiano Carranza) por Salvador Quevedo y Zubieta.","1927","spa","Quevedo y Zubieta, Salvador 1859-1935"
"wu.89105760011","La revancha / Agustin Vera.","1982","spa","Vera, Agustin"
"txu.059173024354738","La monja de la revolucio?n, novela.","1939","spa","Va?zquez, Ricardo L"
"txu.059173025262442","El dolor de ser ma?quina.","1932","spa","Correa, Eduardo J"
"txu.059173026861500","Me?xico marimacho, novela histo?rica revolucionaria. (Psicologi?a social.)","1933","spa","Quevedo y Zubieta, Salvador 1859-1935"
"txu.059173026847623","Apuntes de un lugaren?o.","1972","spa","Romero, Jose? Rube?n 1890-1952"
"txu.059173024353495","Tropa vieja / Francisco L. Urquizo.","1955","spa","Urquizo, Francisco L. (Francisco Luis) 1891-"
"uc1.b4050898","Tierra, la revoluci?n agraria en M?xico; novela.","1933","spa","L?pez y Fuentes, Gregorio"
"txu.059173025493558","Mi general! Novela mexicana.","1934","spa","Lo?pez y Fuentes, Gregorio 1897-1966"
"txu.059173026861191","El tercer canto del gallo / Jose? Pe?rez Moreno.","1957","spa","Pe?rez Moreno, Jose? 1900-1985"
"txu.059173025290812","Panchito Chapopote, retablo tropical, o relaci?n de un extraordinario sucedido de la her?ica Veracruz:","1928","spa","Icaza, Xavier 1892-"
"uc1.b3598317","Campamento, novela mexicana.","1938","spa","Lo?pez y Fuentes, Gregorio 1897-1966"
"txu.059173025281072","Cartucho; relatos de la lucha en el norte de Me?xico.","1931","spa","Campobello, Nellie 1900-1986"
"txu.059173024368856","Huellas.","1936","spa","Pruneda, Salvador"
"txu.059173022904394","Vamonos con Pancho Villa!","1935","spa","Mun?oz, Rafael Felipe 1899-1972"
"txu.059173025516755","Los guerrilleros, novela villista.","1931","spa","Benedicto, Luis"
"txu.059173026829927","La volanda; novela.","1956","spa","Vela, Arqueles 1899-"
"uc1.$b154335","Lupe Fusiles, novela de la Revolucio?n.","1957","spa","Quiroz, Alberto 1907-"
"txu.059173022904226","""Recuerdo que..."" Visiones aisladas de la revolucio?n, por Francisco L. Urquizo.","1943","spa","Urquizo, Francisco L. (Francisco Luis) 1891-"
"txu.059173026842186","Desbandada / J. Ruben Romero.","1978","spa","Romero, Jose? Rube?n 1890-1952"
"txu.059173025281174","Aztla?n, tierra de las garzas (novela)","1935","spa","Campos, Rube?n M. 1876-1945"
"uc1.$b726062","Bajo el fuego : novela / Mar?a Luisa Ocampo.","1947","spa","Ocampo, Mar?a Luisa 1905-1974"
"txu.059173025243539","Chimeneas, novela [por] Gustavo Ortiz Herna?n.","1937","spa","Ortiz Herna?n, Gustavo"
"uva.x000495855","Contra Villa; relatos de la campan?a 1914-1915.","1935","spa","Gonza?lez, Manuel W. 1889-1956"
"txu.059173025263026","La simiente del corsario.","1958","spa",""
"wu.89068127513","La negra Angustias / Francisco Rojas Gonza?lez.","1993","spa",""
"txu.059173025516620","Las tribulaciones de una familia decente / Mariano Azuela.","1947","spa","Azuela, Mariano 1873-1952"
"txu.059173025295893","Liberacio?n, novela histo?rica-contempora?nea. Portada de Ernesto Garci?a Cabral.","1933","spa","Estrada, Roque b. 1883"
"mdp.39015062908929","La escondida, novela.","1948","spa","Lira, Miguel Nicol?s 1905-"
"yale.39002085761816","La ruina de la casona : novela de la Revolucio?n Mexicana / por E. Maqueo Castellanos.","1921","spa",""
"uc1.$b260303","Transicio?n, novela.","1939","spa","Castan?o, Rosa de"
"txu.059173032052494","Mi caballo, mi perro y mi rifle / J. Rube?n Romero.","1979","spa","Romero, Jose? Rube?n 1890-1952"
"uc1.32106013104580","El a?guila y la serpiente / Marti?n Luis Guzma?n","1994","spa","Guzma?n, Marti?n Luis 1887-1976"
"uc1.32106017784981","Tierra : la revoluc?ion Agraria en M?exico / Gregorio Lo?pez y Fuentes","2004","spa","Lo?pez y Fuentes, Gregorio 1897-1966"
"txu.059173024366781","Don Pascual; ? / La invasi?n de Veracruz por los Americanos en 1914.","1920","spa","Rodr?guez, Alberto A"
"mdp.39015065639034","Frontera junto al mar.","1953","spa","Mancisidor, Jos? 1894-"
"uc1.$b252926","La to?rtola del Ajusco; novela mexicana. Ilustraciones de Ce?sar Neve.","1915","spa","Sesto, Julio 1879-1960"
"uc1.$b253417","La fuga de la quimera; novela.","1915","spa",""
"txu.059173026829756","El campanario / Basilio Vadillo.","1985","spa","Vadillo, Basilio 1885-1935"
"wu.89096842513","Las caballeri?as de la revolucio?n (hazan?as del general Buelna)","1937","spa","Valade?s, Jose? C"
"mdp.49015000094533","Ulises criollo; autobiograf?a.","1964","spa","Vasconcelos, Jos? 1881-1959"
"txu.059173025495270","La majestad cai?da; o, La revolucio?n mexicana, por Juan A. Mateos.","1990","spa","Mateos, Juan A. (Juan Antonio) 1831-1913"
"uc1.b4051446","El Indio.","1937","spa","Lo?pez y Fuentes, Gregorio 1897-1966"
"uc1.$b454407","Paludismo : novela de la tierra caliente de Me?xico / Bernardino Mena Brito.","1950","spa","Mena Brito, Bernardino"
"txu.059173025281094","Las manos de mama?.","1949","spa","Campobello, Nellie 1900-1986"
"uva.x001848647","Mi generacio?n y mi e?poca.","1949","spa","Alessio Robles, Miguel 1884-1951"
"mdp.39015028329640","En la rosa de los vientos ...","1941","spa","Mancisidor, Jos? 1894-1956"
"uc1.31210013668031","","","",""
