"id","title","year","language","authors"
"ien.35556026207993","Cuentos misteriosos.","1920","spa","Nervo, Amado 1870-1919"
"njp.32101068579216","Bajo la luz : novela / de A. Hern?ndez Cat? ; ilustraciones de Ribas.","1923","spa",""
"inu.30000077658064","El vampiro / Froyla?n Turcios.","2000","spa","Turcios, Froyla?n 1875-1943"
"txu.059173023999421","La sombra del humo en el espejo [por] Augusto d'Halmar [pseud.]","1959","spa","Halmar, Augusto d' 1880-1950"
"txu.059173024335733","Figuras animadas; cuentos. Dibujos de Hugo Loayza, grabados de Rosoli Da?vila.","1935","spa","Bedregal, Juan Francisco 1883-1944"
"yale.39002085405380","Por senda propia (novela) Pro?logo de Jose? de la Riva Agu?ero.","1921","spa","Palma, Ange?lica 1883-1935"
"inu.30000132019187","Adoracio?n; novela original.","1906","spa","Iglesia, Alvaro de la 1859-1940"
"uc1.$b299067","Almas y cerebros; historias sentimentales, intimidades parisienses, etc. Pro?logo de Clari?n [pseud.]","1918","fre",""
"txu.059173024542160","La la?mpara en el molino novelas.","1935","spa","Halmar, Augusto d' 1880-1950"
"uiug.30112063777095","Novela ero?tica / Alfonso Herna?ndez-Cata?.","1909","spa","Herna?ndez Cata?, Alfonso 1885-1940"
"txu.059173027937313","La oficina de paz de Orolandia / Rafael Are?valo Marti?nez.","1988","spa","Are?valo Marti?nez, Rafael 1884-1975"
"uc1.b3601158","Bajo las lilas.","1923","spa","Beingolea, Manuel"
"uc1.$b145033","La Virgen del lago. (Novela) Cro?nica de una romeri?a a Copacabana.","1920","spa","Chirveches, Armando 1883-1926"
"yale.39002089546221","Los inmorales (novela)","1919","spa","Loveira, Carlos 1882-1928"
"txu.059173024541870","Los alucinados / Augusto d'Halmar [i.e. A. Thomson].","1935","spa","Halmar, Augusto d' 1880-1950"
"txu.059173025497366","Manuel Aldano (La lucha por la vida).","1922","spa","Are?valo Marti?nez, Rafael 1884-"
"uiuo.ark:/13960/t4cn7dt83","Hojas de bamb? Efr?n Rebolledo.","1910","spa","Rebolledo, Efr?n"
"txu.059172010279670","Entre el polvo de un castillo (cuentos infantiles)","","spa",""
"txu.059173024544449","La sombra de la Casa Blanca; libro de emocio?n, de pasio?n, de verdad y de justicia.","1927","spa","Soto-Hall, Ma?ximo 1871-1944"
"uiuo.ark:/13960/t66400w1t","El falso inca (cronic?n de la conquista) / Roberto Payr?.","1905","spa","Payro, Roberto Jorge 1867-1928"
"uc1.$b251339","El corazo?n.","1923","spa",""
"txu.059173026711723","Los hombres del hombre / Eduardo Barrios.","1978","spa","Barrios, Eduardo 1884-1963"
"mdp.39015062909026","Los gauchos a pie (novela)","1938","spa","Leumann, Carlos Alberto 1887-"
"txu.059173024398085","Raucho : momentos de una juventad contempora?nea : novela / Ricardo Gu?iraldes.","1954","spa","Gu?iraldes, Ricardo 1886-1927"
"uc1.b3809570","Mors ex vita / Clemente Palma.","1923","spa","Palma, Clemente 1872-1946"
"njp.32101057020370","Nikko / Efre?n Rebolledo.","1910","spa","Rebolledo, Efre?n"
"wu.89092533157","La sirena; narraciones fanta?sticas.","1927","spa","Bunge, Carlos O. (Carlos Octavio) 1875-1918"
"txu.059173024542159","La pasion y muerte del cura Deusto / Augusto d'Halmar.","1924","spa","Halmar, Augusto d' 1880-1950"
"nc01.ark:/13960/t3jw8qq2n","Cl?psidra roja / por Vargas Vila.","1916","spa","Vargas Vila, Jos? Mar?a 1860-1933"
"hvd.hnjpg9","Cuentos de poeta.","1900","spa",""
"mdp.39015062905016","Cuentos americanos (dramas m?nimos) juicios cr?ticos de mm. Henri Barbusse y J. Ernest-Charles.","1913","spa","Blanco-Fombona, Rufino 1874-1944"
"txu.059173024589946","La ciudad muerta. cro?nicas de Roma. Recopilacio?n e introduccio?n de Estuardo Nu?n?ez.","1960","spa","Valdelomar, Abraham 1888-1919; Nu?n?ez, Estuardo"
"txu.059173028009607","Divertidas aventuras del nieto de Juan Moreira / Roberto J. Payro? ; pro?logo y notas por Graciela Montes.","1980","spa","Payro?, Roberto Jorge 1867-1928"
"mdp.39015067117567","La tiran?a del frac; cr?nica de un preso.","1905","spa","Ghiraldo, Alberto 1874-1946"
"uc1.$b774501","Ars-verba / J. M. Vargas Vila","1958","spa",""
"txu.059173026747265","Dolorosa y desnuda realidad / Garci?a Caldero?n.","1910","spa","Garci?a Caldero?n, Ventura 1886-1959"
"txu.059173024557633","Alsino / Pedro Prado.","1920","spa","Prado, Pedro 1886-1952"
"uc1.$b253647","Enigma y si?mbolo.","1926","spa",""
"mdp.39015013357945","Ifigenia; diario de una se?orita que escribi? porque se fastidiaba ...","1928","spa","Parra, Teresa de la 1895-1936"
"mdp.39015062401255","El embrujo de Sevilla.","1953","spa","Reyles, Carlos 1868-1938"
"yale.39002085764323","La evocadora:","1913","spa","Bustamante y Ballivia?n, Enrique 1883-1937"
"txu.059173024520112","La sombra alucinante (novela que dejo? ine?dita la autora)","1939","spa","Palma, Ange?lica 1883-1935"
"njp.32101057013979","El diamante de la inquietud : (novelas) / Amado Nervo ; Pro?logo de Alfonso Reyes.","1920","spa","Nervo, Amado 1870-1919"
"hvd.32044048083422","La Alondra : el secreto de Estrovo : novela original / por Alvaro de la Iglesia.","1897","spa","Iglesia, Alvaro de la 1859-1940"
"wu.89095156774","Cuentos de la angustia.","1917","spa","Ghiraldo, Alberto 1874-1946"
"txu.059173024534070","De las memorias intimas del Vizconde de Esperi?a / publicadas por Adolfo Drago-Bracco.","1916","spa","Drago-Bracco, Adolfo b. 1893"
"uc1.$b770948","El tonel de Di?genes : novela / Felipe Sassone ; portada y dibujos de Ricardo Mar?n.","1918","spa","Sassone, Felipe 1884-1959; Mar?n, R. (Ricardo) b. 1874"
"nc01.ark:/13960/t33209900","Gestos de vida : obra in?dita / J.M. Vargas Vila.","1922","spa","Vargas Vila, Jos? Mar?a 1860-1933"
"txu.059173024526210","Pa?ginas ba?rbaras; novela.","1977","spa","Mendoza, Jaime 1873-"
"mdp.39015032432968","Hechizo en la montana : novela / ilustraciones de N?lida Demicheli.","1945","spa","Echag?e, Juan Pablo 1877-1950"
"uc1.32106017784858","Por donde se sube al cielo / Manuel Gutie?rrez Na?jera ; pro?logo y edicio?n Belem Clark de Lara","2004","spa","Gutie?rrez Na?jera, Manuel 1859-1895; Clark de Lara, Belem"
"uva.x002495991","Las memorias de Mam? Blanca / Teresa de la Parra.","1970","spa","Parra, Teresa de la 1895-1936"
"txu.059173023997936","El camino de los dioses (novela de la pro?xima guerra) por Manuel Ugarte.","1926","spa","Ugarte, Manuel 1878-1951"
"uc1.b2848055","Tres novelas fri?volas / Fe?lix del Valle.","1930","spa","Valle, Fe?lix del"
"txu.059173026553225","La tierra nativa / Isaias Gamboa.","1944","spa","Gamboa, Isai?as 1872-1904"
"uc1.31210005622129","Un adulterio / Ciro B. Ceballos.","1982","spa","Ceballos, Ciro B. 1877-1938"
"hvd.hnjri1","Copos de espuma / J. M. Vargas Vila.","1902","spa",""
"nc01.ark:/13960/t6vx13t3b","El sendero de las almas : novelas cortas / J.M. Vargas Vila.","1920","spa","Vargas Vila, Jos? Mar?a 1860-1933"
"uc1.31970001319935","Sangre patricia : [novela] / Manuel D?az Rodr?guez","1972","spa","D?az Rodr?guez, Manuel 1871-1927"
"txu.059173024386530","La mitra en la mano : novela / R. Blanco-Fombona.","1934","spa","Blanco-Fombona, Rufino 1874-1944"
"uc1.$b253417","La fuga de la quimera; novela.","1915","spa",""
"txu.059173023955142","La insurrecci?n, novela.","1911","spa","Rodr?guez-Embil, Luis b. 1879"
"mdp.39015027198749","El mal metaf?sico (vida rom?ntica) novela.","1943","spa","G?lvez, Manuel 1882-1962"
"hvd.hnlhp1","Una tarde de oto?o... (Peque?a sinfon?a sentimental)","1906","spa","Ugarte, Manuel 1878-1951"
"hvd.32044048083414","De navidad : historia de un billete premiado / por Alvaro de la Iglesia.","1900","spa","Iglesia, Alvaro de la 1859-1940"
"mdp.39015049784922","Fuegos f?tuos; novelas.","1971","spa","Hern?ndez Cat?, Alfonso 1885-1940"
"mdp.39015032086558","Don Segundo Sombra / Ricardo G?iraldes.","1992","spa","G?iraldes, Ricardo 1886-1927"
