"id","title","year","language","authors"
"mdp.39015040068242","Mezquite Road / Gabriel Trujillo Mu?oz.","1995","spa","Trujillo Mu?oz, Gabriel 1958-"
"mdp.39015063239233","Trabajos del reino / Yuri Herrera.","2004","spa","Herrera, Yuri 1970-"
"mdp.39015054451763","Idos de la mente : la incre?ble y (a veces) triste historia de Ram?n y Cornelio / Luis Humberto Crosthwaite.","2001","spa","Crosthwaite, Luis Humberto 1962-"
"uc1.b3722770","Guerrero negro.","","spa","Rasc?n Banda, V?ctor Hugo"
"txu.059173030605050","Balas de plata / E?lmer Mendoza.","2008","spa","Mendoza, Elmer"
"txu.059173026646803","El divino / Gustavo Alvarez Gardeaza?bal.","1986","spa","Alvarez Gardeaza?bal, Gustavo"
"mdp.39015050804775","Sangre ajena / Arturo Alape.","2000","spa","Alape, Arturo"
"mdp.39015040572763","Tierra blanca / Leonides Alfaro B.","1997","spa","Alfaro B., Leonides 1945-"
"mdp.39015056163135","Comandante Para?so / Gustavo Alvarez Gardeaz?bal.","2002","spa","Alvarez Gardeaz?bal, Gustavo"
"txu.059173005330029","Rosario Tijeras / Jorge Franco Ramos.","1999","spa","Franco Ramos, Jorge"
"txu.059173004983945","Juan Justino judicial / Gerardo Cornejo M.","1996","spa","Cornejo M., Gerardo (Cornejo Murrieta)"
"mdp.39015056205316","La zona del silencio / Homero Aridjis.","2002","spa","Aridjis, Homero"
"mdp.39015061778067","La santa muerte : sexteto del amor las mujeres, los perros y la muerte. / Homero Aridjis.","2003","spa","Aridjis, Homero"
"wu.89052113339","Sabor de engan?o / Vi?ctor Hugo Rasco?n Banda.","1992","spa","Rasco?n Banda, Vi?ctor Hugo 1948-"
"uc1.32106016211820","Estrella de la calle sexta / Luis Humberto Crosthwaite","2000","spa","Crosthwaite, Luis Humberto, 1962-"
"mdp.39015061205111","El eskimal y la mariposa / Nahum Montt.","2004","spa","Montt, Nahum 1967-"
"inu.30000087824060","Parai?so travel / Jorge Franco.","2002","spa","Franco Ramos, Jorge"
"txu.059173032183561","Un asesino solitario / Elmer Mendoza.","2001","spa","Mendoza, Elmer"
"mdp.39015056430138","Tierra de nadie / Eduardo Antonio Parra.","1999","spa","Parra, Eduardo Antonio"
"mdp.39015057028014","Batallas en el Monte de Venus / ?scar Collazos.","2003","spa","Collazos, ?scar 1942-"
"uc1.32106012535404","La Virgen de los Sicarios / Fernando Vallejo","1995","spa","Vallejo, Fernando"
"txu.059173017166261","Made in Tijuana / Heriberto Ye?pez.","2005","spa","Ye?pez, Heriberto"
"uc1.b3784095","Misa en tiempo de guerra / Abelardo Ventura.","1984","spa","Ventura, Abelardo"
"txu.059172132376178","El cadaver errante / Gonzalo Martre?.","1993","spa","Martre?, Gonzalo"
"mdp.39015040067384","El leopardo al sol / Laura Restrepo.","1996","spa","Restrepo, Laura"
"mdp.39015057579982","Qu?tate de la v?a Perico / Umberto Valverde.","2001","spa","Valverde, Umberto"
"uc1.b3598462","El baile de los montan?eses / Vi?ctor H. Rasco?n.","1982","spa","Rasco?n, Vi?ctor H"
"uc1.b3785042","La mala hierba / Juan Gossain.","1981","spa","Gossain, Juan"
"txu.059173006697903","La vida de un muerto / Oscar de la Borbolla.","1998","spa","Borbolla, Oscar de la 1951-"
"mdp.39015056814810","Cartas cruzadas / Dar?o Jaramillo Agudelo.","1964","spa","Jaramillo Agudelo, Dar?o 1947-"
"txu.059173019056210","A.B.U.R.T.O. / Heriberto Ye?pez.","2005","spa","Ye?pez, Heriberto"
"txu.059173015451507","Angosta / He?ctor Abad Faciolince.","2004","spa","Abad Faciolince, He?ctor Joaqui?n"
"mdp.39015062859577","Testamento de un hombre de negocios / Luis Fayad.","2004","spa","Fayad, Luis"
"uc1.b3776399","Voces en el umbral : nueva dramaturgia mexicana / Victor Hugo Rasco?n Banda.","1983","spa",""
"txu.059173026647930","El cada?ver de papa?, y Versiones poe?ticas / Jaime Manrique Ardila.","1978","spa","Manrique, Jaime 1949-; Manrique, Jaime 1949-"
"txu.059173001836897","La novela inconclusa de Bernardino Casablanca / Ce?sar Lo?pez Cuadras.","1994","spa","Lo?pez Cuadras, Ce?sar"
"txu.059173026649335","Coca : novela de la mafia criolla / Herna?n Hoyos.","1977","spa","Hoyos, Herna?n"
"txu.059173004256667","Volver a Santa Rosa / Vi?ctor Hugo Rasco?n Banda.","1996","spa","Rasco?n Banda, Vi?ctor Hugo 1948-"
"wu.89083299057","Mala noche / Jorge Franco Ramos.","1997","spa","Franco Ramos, Jorge"
"ien.35556034377929","La lectora / Sergio Alvarez Guari?n.","2001","spa","Alvarez, Sergio 1965-"
"inu.30000093063380","El amante de Janis Joplin / E?lmer Mendoza.","2003","spa","Mendoza, Elmer"
"txu.059173032944293","Al otro lado / Heriberto Ye?pez.","2008","spa","Ye?pez, Heriberto"
"mdp.39015060049072","Delirio / Laura Restrepo.","2004","spa","Restrepo, Laura"
"mdp.39015061331362","Bajo el disfraz : los cantares prohibidos / Jesu?s Alvarado","2003","spa","Alvarado, Jesu?s 1969-"
"txu.059173000933050","Contrabando / Vi?ctor Hugo Rasco?n Banda.","1993","spa","Rasco?n Banda, Vi?ctor Hugo 1948-"
"txu.059173004317091","Playa azul : guion cinematografico de Victor Hugo Rascon Banda : basado en su obra teatral homo?nima.","1995","spa","Rasco?n Banda, Vi?ctor Hugo 1948-"
