"id","title","year","language","authors"
"txu.059173023794280","Cristianismo sin alma; novela histo?rica.","1956","spa","Ferreira, Ernesto Leo?n"
"txu.059173026544042","Tierra asolada; novela.","1954","spa","Leon, Fernando Ponce de"
"uc1.32106013692600","La Hojarasca / Gabriel Garci?a Ma?rquez","1994","spa",""
"txu.059173024335890","Carretera al mar.","1960","spa","Bayer, Tulio"
"txu.059173026639932","Barbacoa; novela.","1971","spa","Cocheri?n, Iva?n"
"inu.39000005102764","Cafe? exasperacio?n.","1963","spa","Botero Restrepo, Jesu?s 1921-"
"txu.059173023794043","Los olvidados.","1950","spa","Lara Santos, Alberto"
"txu.059173024545827","Quie?n dijo miedo.","1960","spa","Sani?n Echeverri, Jaime"
"txu.059173025244327","Tierra sin Dios : novela / Julio Ortiz Ma?rquez.","1954","spa","Ortiz Ma?rquez, Julio"
"txu.059173023790166","De cara a la vida : novela / C. Esguerra Florez.","1956","spa","Esguerra Flo?rez, Carlos"
"txu.059173026646950","La sombra del sayo?n; algo de la violencia en el Huila; novela.","1964","spa","Angel M., Augusto (Angel Maya)"
"ien.35556017717729","Co?ndores no entierran todos los di?as / Gustavo Alvarez Gardeaza?bal.","1982","spa",""
"pst.000005047727","El dia del odio / [por] J. A. Osorio Lizarazo.","1952","spa","Osorio Lizarazo, J. A. (Jose? Antonio) 1900-"
"txu.059173023956666","El exilado; novela.","1954","spa","Ojeda Z., Ari?tides"
"inu.30000007139037","El coronel no tiene quien le escriba / Gabriel Garca? Mr?quez.","1972","spa",""
"txu.059173023793109","Un hueco en el aire.","1968","spa","Iba?n?ez, Jaime"
"txu.059173024461272","Danza para ratas.","1954","spa","Laguado, Arturo"
"txu.059173026689125","Secuestro y rescate; [novela.","1963","spa","Yarce Tabares, Efrai?m"
"uc1.b3631530","Las guerrillas del llano; testimonio de una lucha de cuatro an?os por la libertad.","1959","spa","Franco Isaza, Eduardo"
"txu.059173023778364","El monstruo, novela.","1957","spa","Castan?o, Alberto"
"uc1.$b151351","El monstruo; novela.","1955","spa","Pareja, Carlos Henrique 1900-"
"txu.059173024557360","Cara o sello; novela [por] Fernando Ponce de Leo?n.","1966","spa","Ponce de Leo?n P., Fernando (Ponce de Leo?n Pari?s) 1917-"
"wu.89107725533","La tara del papa.","1976","spa",""
"txu.059173026538072","Ellos estaban solos frente al monte.","1969","spa","Pe?rez Medina, Luis 1915-"
